flight,combined_processable,combined_detections,combined_rate
2026_07_15_gym/flight_01,25,25,1.0000
2026_07_15_gym/flight_11,92,69,0.7500
2026_07_15_gym/flight_12,92,84,0.9130
2026_07_15_gym/flight_13,75,46,0.6133
2026_07_15_gym/flight_14,90,83,0.9222
2026_07_15_gym/flight_15,97,83,0.8557
2026_07_15_gym/flight_17,88,65,0.7386
2026_07_15_gym/flight_19,87,79,0.9080
2026_07_15_gym/flight_20,89,84,0.9438
2026_07_15_gym/flight_21,87,83,0.9540
2026_07_15_gym/flight_22,91,78,0.8571
2026_07_15_gym/flight_23,80,74,0.9250
2026_07_15_gym/flight_24,84,82,0.9762
2026_07_15_gym/flight_25,90,83,0.9222
2026_07_15_gym/flight_26,87,81,0.9310
2026_07_15_gym/flight_27,78,72,0.9231
2026_07_15_gym/flight_28,92,86,0.9348
2026_07_15_gym/flight_29,90,86,0.9556
2026_07_15_gym/flight_31,87,87,1.0000
2026_07_15_gym/flight_33,78,72,0.9231
2026_07_15_gym/flight_36,83,74,0.8916
2026_07_15_gym/flight_38,77,75,0.9740
2026_07_15_gym/flight_43,88,82,0.9318
2026_07_15_gym/flight_45,85,79,0.9294
2026_07_15_gym/flight_47,95,87,0.9158
2026_07_15_gym/flight_48,90,78,0.8667
2026_07_15_gym/flight_49,87,78,0.8966
2026_07_15_gym/flight_50,84,74,0.8810
2026_07_15_gym/flight_52,56,54,0.9643
2026_07_15_gym/flight_53,41,40,0.9756
2026_07_15_gym/flight_54,35,34,0.9714
2026_07_15_gym/flight_55,28,28,1.0000
2026_07_15_gym/flight_56,38,37,0.9737
2026_07_15_gym/flight_57,25,25,1.0000
2026_07_15_gym/flight_58,18,18,1.0000
2026_07_15_gym/flight_59,15,15,1.0000
2026_07_15_gym/flight_60,41,41,1.0000
2026_07_21_gym/flight_1,91,83,0.9121
2026_07_21_gym/flight_10,33,31,0.9394
2026_07_21_gym/flight_100,85,76,0.8941
2026_07_21_gym/flight_101,72,69,0.9583
2026_07_21_gym/flight_102,79,72,0.9114
2026_07_21_gym/flight_103,76,68,0.8947
2026_07_21_gym/flight_104,84,81,0.9643
2026_07_21_gym/flight_105,83,81,0.9759
2026_07_21_gym/flight_106,89,84,0.9438
2026_07_21_gym/flight_107,78,78,1.0000
2026_07_21_gym/flight_108,79,73,0.9241
2026_07_21_gym/flight_109,83,79,0.9518
2026_07_21_gym/flight_11,56,55,0.9821
2026_07_21_gym/flight_110,75,72,0.9600
2026_07_21_gym/flight_111,76,75,0.9868
2026_07_21_gym/flight_112,75,66,0.8800
2026_07_21_gym/flight_113,80,77,0.9625
2026_07_21_gym/flight_114,80,75,0.9375
2026_07_21_gym/flight_115,76,71,0.9342
2026_07_21_gym/flight_116,86,84,0.9767
2026_07_21_gym/flight_117,82,76,0.9268
2026_07_21_gym/flight_118,74,72,0.9730
2026_07_21_gym/flight_119,64,61,0.9531
2026_07_21_gym/flight_12,42,40,0.9524
2026_07_21_gym/flight_120,84,82,0.9762
2026_07_21_gym/flight_121,87,78,0.8966
2026_07_21_gym/flight_122,95,93,0.9789
2026_07_21_gym/flight_123,86,77,0.8953
2026_07_21_gym/flight_124,82,74,0.9024
2026_07_21_gym/flight_125,82,81,0.9878
2026_07_21_gym/flight_126,86,85,0.9884
2026_07_21_gym/flight_13,47,46,0.9787
2026_07_21_gym/flight_14,39,39,1.0000
2026_07_21_gym/flight_15,54,54,1.0000
2026_07_21_gym/flight_16,36,34,0.9444
2026_07_21_gym/flight_17,19,18,0.9474
2026_07_21_gym/flight_18,65,62,0.9538
2026_07_21_gym/flight_19,60,58,0.9667
2026_07_21_gym/flight_2,31,27,0.8710
2026_07_21_gym/flight_20,50,48,0.9600
2026_07_21_gym/flight_21,84,78,0.9286
2026_07_21_gym/flight_22,76,73,0.9605
2026_07_21_gym/flight_23,79,77,0.9747
2026_07_21_gym/flight_24,77,74,0.9610
2026_07_21_gym/flight_25,84,76,0.9048
2026_07_21_gym/flight_26,84,83,0.9881
2026_07_21_gym/flight_27,76,75,0.9868
2026_07_21_gym/flight_28,75,67,0.8933
2026_07_21_gym/flight_29,86,85,0.9884
2026_07_21_gym/flight_3,41,40,0.9756
2026_07_21_gym/flight_30,83,80,0.9639
2026_07_21_gym/flight_31,78,75,0.9615
2026_07_21_gym/flight_32,87,87,1.0000
2026_07_21_gym/flight_33,80,73,0.9125
2026_07_21_gym/flight_34,81,80,0.9877
2026_07_21_gym/flight_35,91,83,0.9121
2026_07_21_gym/flight_36,84,83,0.9881
2026_07_21_gym/flight_37,84,79,0.9405
2026_07_21_gym/flight_38,94,83,0.8830
2026_07_21_gym/flight_39,84,77,0.9167
2026_07_21_gym/flight_4,35,34,0.9714
2026_07_21_gym/flight_40,76,72,0.9474
2026_07_21_gym/flight_41,90,83,0.9222
2026_07_21_gym/flight_42,88,81,0.9205
2026_07_21_gym/flight_43,88,85,0.9659
2026_07_21_gym/flight_44,81,74,0.9136
2026_07_21_gym/flight_45,80,78,0.9750
2026_07_21_gym/flight_46,88,79,0.8977
2026_07_21_gym/flight_47,91,82,0.9011
2026_07_21_gym/flight_48,82,79,0.9634
2026_07_21_gym/flight_49,86,84,0.9767
2026_07_21_gym/flight_5,36,35,0.9722
2026_07_21_gym/flight_50,86,70,0.8140
2026_07_21_gym/flight_51,95,85,0.8947
2026_07_21_gym/flight_52,91,89,0.9780
2026_07_21_gym/flight_53,90,84,0.9333
2026_07_21_gym/flight_54,71,70,0.9859
2026_07_21_gym/flight_55,82,80,0.9756
2026_07_21_gym/flight_56,82,75,0.9146
2026_07_21_gym/flight_57,83,76,0.9157
2026_07_21_gym/flight_58,94,85,0.9043
2026_07_21_gym/flight_59,96,84,0.8750
2026_07_21_gym/flight_6,42,41,0.9762
2026_07_21_gym/flight_60,92,90,0.9783
2026_07_21_gym/flight_61,42,42,1.0000
2026_07_21_gym/flight_62,45,43,0.9556
2026_07_21_gym/flight_63,44,40,0.9091
2026_07_21_gym/flight_64,49,49,1.0000
2026_07_21_gym/flight_65,45,44,0.9778
2026_07_21_gym/flight_66,37,37,1.0000
2026_07_21_gym/flight_67,27,27,1.0000
2026_07_21_gym/flight_68,51,49,0.9608
2026_07_21_gym/flight_69,50,49,0.9800
2026_07_21_gym/flight_7,28,28,1.0000
2026_07_21_gym/flight_70,41,41,1.0000
2026_07_21_gym/flight_71,27,27,1.0000
2026_07_21_gym/flight_72,43,41,0.9535
2026_07_21_gym/flight_73,56,55,0.9821
2026_07_21_gym/flight_74,49,45,0.9184
2026_07_21_gym/flight_75,47,46,0.9787
2026_07_21_gym/flight_76,49,48,0.9796
2026_07_21_gym/flight_77,46,44,0.9565
2026_07_21_gym/flight_78,43,42,0.9767
2026_07_21_gym/flight_79,36,32,0.8889
2026_07_21_gym/flight_8,36,34,0.9444
2026_07_21_gym/flight_80,29,28,0.9655
2026_07_21_gym/flight_81,31,31,1.0000
2026_07_21_gym/flight_82,36,35,0.9722
2026_07_21_gym/flight_83,41,40,0.9756
2026_07_21_gym/flight_84,26,26,1.0000
2026_07_21_gym/flight_85,41,40,0.9756
2026_07_21_gym/flight_86,33,32,0.9697
2026_07_21_gym/flight_87,42,40,0.9524
2026_07_21_gym/flight_88,49,40,0.8163
2026_07_21_gym/flight_89,24,24,1.0000
2026_07_21_gym/flight_9,41,41,1.0000
2026_07_21_gym/flight_90,46,45,0.9783
2026_07_21_gym/flight_91,79,76,0.9620
2026_07_21_gym/flight_92,78,76,0.9744
2026_07_21_gym/flight_93,81,72,0.8889
2026_07_21_gym/flight_94,86,80,0.9302
2026_07_21_gym/flight_95,86,82,0.9535
2026_07_21_gym/flight_96,78,75,0.9615
2026_07_21_gym/flight_97,74,72,0.9730
2026_07_21_gym/flight_98,81,77,0.9506
2026_07_21_gym/flight_99,80,76,0.9500
AVERAGE,,,0.9452
LABELED_RECALL (flight_01 + flight_22),,,0.8875
CONFIG,,,"stride=1 thresh=16 open_k=3(ELLIPSE) close_k=30(RECT, changed from ELLIPSE) min_area=30 max_area=50000 min_circ=0.3 + exclusion_mask_v4(12 zones total) + trajectory_filter(max_speed=80,min_run=2) - FULL 163-FLIGHT DATASET, RECT CLOSE KERNEL VALIDATION"
