flight,combined_processable,combined_detections,combined_rate
2026_07_15_gym/flight_01,25,25,1.0000
2026_07_15_gym/flight_11,92,77,0.8370
2026_07_15_gym/flight_12,92,86,0.9348
2026_07_15_gym/flight_13,75,48,0.6400
2026_07_15_gym/flight_14,90,83,0.9222
2026_07_15_gym/flight_15,97,87,0.8969
2026_07_15_gym/flight_17,88,74,0.8409
2026_07_15_gym/flight_19,87,82,0.9425
2026_07_15_gym/flight_20,89,86,0.9663
2026_07_15_gym/flight_21,87,84,0.9655
2026_07_15_gym/flight_22,91,87,0.9560
2026_07_15_gym/flight_23,80,73,0.9125
2026_07_15_gym/flight_24,84,81,0.9643
2026_07_15_gym/flight_25,90,82,0.9111
2026_07_15_gym/flight_26,87,83,0.9540
2026_07_15_gym/flight_27,78,73,0.9359
2026_07_15_gym/flight_28,92,92,1.0000
2026_07_15_gym/flight_29,90,89,0.9889
2026_07_15_gym/flight_31,87,86,0.9885
2026_07_15_gym/flight_33,78,75,0.9615
2026_07_15_gym/flight_36,83,81,0.9759
2026_07_15_gym/flight_38,77,77,1.0000
2026_07_15_gym/flight_43,88,87,0.9886
2026_07_15_gym/flight_45,85,81,0.9529
2026_07_15_gym/flight_47,95,88,0.9263
2026_07_15_gym/flight_48,90,82,0.9111
2026_07_15_gym/flight_49,87,78,0.8966
2026_07_15_gym/flight_50,84,71,0.8452
2026_07_15_gym/flight_52,56,55,0.9821
2026_07_15_gym/flight_53,41,40,0.9756
2026_07_15_gym/flight_54,35,34,0.9714
2026_07_15_gym/flight_55,28,28,1.0000
2026_07_15_gym/flight_56,38,37,0.9737
2026_07_15_gym/flight_57,25,25,1.0000
2026_07_15_gym/flight_58,18,18,1.0000
2026_07_15_gym/flight_59,15,15,1.0000
2026_07_15_gym/flight_60,41,40,0.9756
2026_07_21_gym/flight_1,91,87,0.9560
2026_07_21_gym/flight_10,33,32,0.9697
2026_07_21_gym/flight_100,85,83,0.9765
2026_07_21_gym/flight_101,72,71,0.9861
2026_07_21_gym/flight_102,79,73,0.9241
2026_07_21_gym/flight_103,76,71,0.9342
2026_07_21_gym/flight_104,84,82,0.9762
2026_07_21_gym/flight_105,83,82,0.9880
2026_07_21_gym/flight_106,89,83,0.9326
2026_07_21_gym/flight_107,78,76,0.9744
2026_07_21_gym/flight_108,79,76,0.9620
2026_07_21_gym/flight_109,83,81,0.9759
2026_07_21_gym/flight_11,56,54,0.9643
2026_07_21_gym/flight_110,75,75,1.0000
2026_07_21_gym/flight_111,76,75,0.9868
2026_07_21_gym/flight_112,75,71,0.9467
2026_07_21_gym/flight_113,80,80,1.0000
2026_07_21_gym/flight_114,80,79,0.9875
2026_07_21_gym/flight_115,76,71,0.9342
2026_07_21_gym/flight_116,86,84,0.9767
2026_07_21_gym/flight_117,82,81,0.9878
2026_07_21_gym/flight_118,74,73,0.9865
2026_07_21_gym/flight_119,64,60,0.9375
2026_07_21_gym/flight_12,42,41,0.9762
2026_07_21_gym/flight_120,84,84,1.0000
2026_07_21_gym/flight_121,87,83,0.9540
2026_07_21_gym/flight_122,95,91,0.9579
2026_07_21_gym/flight_123,86,80,0.9302
2026_07_21_gym/flight_124,82,79,0.9634
2026_07_21_gym/flight_125,82,82,1.0000
2026_07_21_gym/flight_126,86,86,1.0000
2026_07_21_gym/flight_13,47,47,1.0000
2026_07_21_gym/flight_14,39,39,1.0000
2026_07_21_gym/flight_15,54,54,1.0000
2026_07_21_gym/flight_16,36,36,1.0000
2026_07_21_gym/flight_17,19,19,1.0000
2026_07_21_gym/flight_18,65,64,0.9846
2026_07_21_gym/flight_19,60,60,1.0000
2026_07_21_gym/flight_2,31,30,0.9677
2026_07_21_gym/flight_20,50,50,1.0000
2026_07_21_gym/flight_21,84,82,0.9762
2026_07_21_gym/flight_22,76,74,0.9737
2026_07_21_gym/flight_23,79,78,0.9873
2026_07_21_gym/flight_24,77,77,1.0000
2026_07_21_gym/flight_25,84,79,0.9405
2026_07_21_gym/flight_26,84,83,0.9881
2026_07_21_gym/flight_27,76,76,1.0000
2026_07_21_gym/flight_28,75,72,0.9600
2026_07_21_gym/flight_29,86,85,0.9884
2026_07_21_gym/flight_3,41,39,0.9512
2026_07_21_gym/flight_30,83,83,1.0000
2026_07_21_gym/flight_31,78,76,0.9744
2026_07_21_gym/flight_32,87,86,0.9885
2026_07_21_gym/flight_33,80,79,0.9875
2026_07_21_gym/flight_34,81,79,0.9753
2026_07_21_gym/flight_35,91,86,0.9451
2026_07_21_gym/flight_36,84,82,0.9762
2026_07_21_gym/flight_37,84,83,0.9881
2026_07_21_gym/flight_38,94,87,0.9255
2026_07_21_gym/flight_39,84,81,0.9643
2026_07_21_gym/flight_4,35,35,1.0000
2026_07_21_gym/flight_40,76,72,0.9474
2026_07_21_gym/flight_41,90,88,0.9778
