frame_number,u,v
5,210.1359,590.8763
6,218.2464,572.8390
7,222.6938,557.6637
8,235.8996,543.0009
9,248.4889,527.4476
10,255.9262,515.8590
11,266.5060,504.4909
12,273.3840,485.8638
13,283.9755,472.8557
14,296.9906,465.9082
15,303.1844,449.8286
16,315.1959,434.7561
17,330.2431,426.5040
18,333.6710,416.3301
19,347.5640,403.5057
20,360.4739,394.5101
21,367.7059,385.5719
22,377.1316,374.1413
23,389.3973,369.5951
24,396.6842,360.8987
25,408.7463,351.1713
26,423.9845,348.3981
27,428.3466,338.9208
28,438.0156,329.4791
29,452.3330,326.9997
30,457.7936,320.6339
31,466.3847,312.7540
32,481.9978,310.6520
33,488.7324,308.1346
34,499.8033,302.2966
35,512.7107,300.1017
36,519.6825,297.5911
37,529.8667,294.2270
38,543.3680,293.1158
39,550.4998,288.8476
40,564.0486,291.8686
41,575.6325,289.1789
42,583.3911,288.0640
43,595.2155,289.1126
44,607.1609,289.9113
45,616.7051,291.3158
46,628.8523,293.4834
47,640.6262,296.4446
48,650.1560,298.6418
49,661.8861,302.8084
50,673.9632,307.0628
51,683.0441,309.8279
52,695.6658,316.6644
53,707.7490,320.7179
54,718.4041,323.7552
55,731.6365,331.8012
56,743.4343,338.4533
57,754.8910,343.8540
58,768.2940,354.4939
59,780.1353,362.2761
60,788.7327,368.8463
61,804.4549,382.0042
62,816.5592,390.5114
63,826.9802,401.6957
64,841.7531,411.2981
65,851.7106,419.8482
66,866.8860,432.6456
67,880.6467,451.2483
68,893.6926,461.4108
69,907.4371,479.1587
70,919.6918,496.6358
71,933.3637,513.5023
72,946.3399,533.7174
73,961.9126,547.6186
74,969.8148,568.0754
75,986.8346,586.5879
76,999.7498,605.1647
77,1013.6038,620.3523
79,1034.3929,669.9856
80,1043.6320,693.2729
81,1060.0772,714.1015
82,1071.0783,737.0388
83,1084.3780,750.3820
84,1092.8487,775.8487
85,1104.4147,806.7768
86,1113.2093,830.7043
87,1127.8668,846.9883
88,1135.2058,876.1889
89,1139.6823,899.1876
90,1152.1939,921.3769
91,1158.0048,945.5624
