frame_number,u,v
21,149.0061,687.6794
22,160.4500,673.8401
23,169.8462,657.0567
24,179.7193,642.8338
25,192.6473,632.0617
26,199.1185,617.0984
27,211.3066,604.5409
28,224.0129,593.5116
30,239.2741,556.7519
31,257.9588,556.0813
32,266.2147,540.5023
33,279.3675,532.4071
34,291.3062,522.1376
35,302.7419,511.4488
36,314.1594,503.2959
37,325.8869,494.3648
38,331.7826,481.9377
39,347.4446,478.4187
40,357.2515,470.6180
41,370.0145,459.2556
42,383.6969,458.4275
43,392.6200,451.2238
44,403.6072,444.4717
45,414.6089,441.1413
46,427.4594,435.6235
47,435.7139,429.0645
48,449.9925,426.2955
49,461.5079,421.0417
50,466.1521,413.9485
51,484.3362,417.0081
54,520.3333,411.2593
55,533.6884,415.8550
56,542.2295,416.0214
57,552.8041,417.0315
58,562.5188,417.9313
59,571.9280,418.4454
60,582.2060,421.1228
61,595.6588,420.8147
62,602.9605,422.2390
63,615.8966,425.9868
64,626.2179,432.0354
65,637.7370,436.4540
66,647.2237,443.6098
67,657.6828,446.1422
68,669.2334,450.9470
69,678.0447,458.0494
70,689.2600,462.0604
71,706.3422,465.6074
72,718.6924,478.6550
73,729.1240,482.2826
74,735.4287,494.1574
75,746.2621,504.7877
76,760.0831,512.2637
77,767.6675,523.1108
78,778.3160,536.5076
79,791.4116,543.2069
80,800.2281,556.2829
81,809.7177,566.0335
82,820.8809,578.4320
83,830.4657,595.1785
84,842.8121,607.8788
85,855.1751,621.2910
86,863.5797,635.0441
87,872.3106,649.4366
88,880.6808,665.1312
89,891.3944,678.8255
90,902.1305,693.8358
91,911.8238,707.2966
92,920.1079,726.9515
93,929.9012,742.3994
94,940.4851,753.1828
95,951.4900,771.2066
96,955.6513,795.1736
97,972.0639,807.2329
98,974.4333,827.6383
99,980.0860,844.7285
100,987.6870,861.0635
101,996.0569,878.1068
102,1004.8238,895.9063
103,1013.2684,911.9961
104,1021.2014,931.5791
