cam,bin_center_u,bin_center_v,distinct_flights,total_points,example_flight,example_frame,example_u,example_v
cam1,1380,460,16,19,flight_1,150,1391.2,449.1
cam0,1180,620,12,19,flight_13,80,1183.3,615.8
cam0,1100,620,11,14,flight_14,50,1085.0,627.1
cam1,1140,700,11,15,flight_1,122,1144.6,687.7
cam1,1180,700,10,11,flight_102,104,1165.6,687.4
cam1,1420,380,9,11,flight_102,101,1411.5,397.5
cam0,1060,620,6,9,flight_13,98,1074.7,623.7
cam0,1020,660,6,6,flight_25,124,1006.6,643.9
cam1,1260,660,6,6,flight_13,88,1243.9,672.3
cam1,380,820,4,5,flight_15,43,393.2,800.5
cam1,380,860,4,4,flight_15,48,373.7,864.7
cam1,420,820,3,3,flight_13,57,421.9,807.3
cam1,1380,380,3,4,flight_25,126,1394.4,397.4
