cam,bin_center_u,bin_center_v,distinct_flights,total_points,example_flight,example_frame,example_u,example_v
cam1,1420,420,113,385,flight_11,66,1435.4,408.1
cam0,1140,620,76,154,flight_1,125,1128.1,636.4
cam1,1380,420,60,369,flight_10,65,1399.3,415.2
cam0,1020,660,42,129,flight_10,62,1028.9,648.8
cam0,1060,660,42,57,flight_103,52,1051.9,645.7
cam0,1180,620,12,17,flight_13,80,1183.3,615.8
cam0,1100,620,9,11,flight_14,50,1085.0,627.1
cam0,1060,620,5,5,flight_17,68,1075.4,623.8
cam1,380,860,4,4,flight_15,48,373.7,864.7
cam0,1060,780,3,3,flight_1,155,1068.0,775.4
cam0,1020,820,3,3,flight_126,119,1030.5,830.6
cam0,1100,780,3,3,flight_15,106,1090.9,771.7
cam1,380,820,3,3,flight_15,43,393.2,800.5
