flight,ellipse_combined_rate,rect_combined_rate,delta_pp,flagged_regression
2026_07_15_gym/flight_01,1.0000,1.0000,0.00,
2026_07_15_gym/flight_11,0.8370,0.7500,-8.70,YES
2026_07_15_gym/flight_12,0.9348,0.9130,-2.18,YES
2026_07_15_gym/flight_13,0.6400,0.6133,-2.67,YES
2026_07_15_gym/flight_14,0.9222,0.9222,0.00,
2026_07_15_gym/flight_15,0.8969,0.8557,-4.12,YES
2026_07_15_gym/flight_17,0.8409,0.7386,-10.23,YES
2026_07_15_gym/flight_19,0.9425,0.9080,-3.45,YES
2026_07_15_gym/flight_20,0.9663,0.9438,-2.25,YES
2026_07_15_gym/flight_21,0.9655,0.9540,-1.15,
2026_07_15_gym/flight_22,0.9560,0.8571,-9.89,YES
2026_07_15_gym/flight_23,0.9125,0.9250,1.25,
2026_07_15_gym/flight_24,0.9643,0.9762,1.19,
2026_07_15_gym/flight_25,0.9111,0.9222,1.11,
2026_07_15_gym/flight_26,0.9540,0.9310,-2.30,YES
2026_07_15_gym/flight_27,0.9359,0.9231,-1.28,
2026_07_15_gym/flight_28,1.0000,0.9348,-6.52,YES
2026_07_15_gym/flight_29,0.9889,0.9556,-3.33,YES
2026_07_15_gym/flight_31,0.9885,1.0000,1.15,
2026_07_15_gym/flight_33,0.9615,0.9231,-3.84,YES
2026_07_15_gym/flight_36,0.9759,0.8916,-8.43,YES
2026_07_15_gym/flight_38,1.0000,0.9740,-2.60,YES
2026_07_15_gym/flight_43,0.9886,0.9318,-5.68,YES
2026_07_15_gym/flight_45,0.9529,0.9294,-2.35,YES
2026_07_15_gym/flight_47,0.9263,0.9158,-1.05,
2026_07_15_gym/flight_48,0.9111,0.8667,-4.44,YES
2026_07_15_gym/flight_49,0.8966,0.8966,0.00,
2026_07_15_gym/flight_50,0.8452,0.8810,3.58,
2026_07_15_gym/flight_52,0.9821,0.9643,-1.78,
2026_07_15_gym/flight_53,0.9756,0.9756,0.00,
2026_07_15_gym/flight_54,0.9714,0.9714,0.00,
2026_07_15_gym/flight_55,1.0000,1.0000,0.00,
