stride,diff_threshold,open_kernel,avg_combined_rate,labeled_recall,meets_recall_gate,is_baseline
1,16,3,0.8739519165953696,0.9259259259259259,True,False
1,20,3,0.6560926795791558,0.9259259259259259,True,False
1,16,5,0.5137679685638482,0.9259259259259259,True,False
1,20,5,0.35827665569740896,0.9074074074074074,True,False
1,16,7,0.34248287943940114,0.9259259259259259,True,False
1,20,7,0.2772394489568403,0.9074074074074074,True,True
2,8,3,1.0,0.5555555555555556,False,False
3,8,0,0.9986842105263157,0.7037037037037037,False,False
3,8,3,0.9986842105263157,0.7222222222222222,False,False
1,12,0,0.9976744186046511,0.6851851851851852,False,False
3,12,0,0.9975609756097562,0.7592592592592593,False,False
3,8,5,0.9965517241379309,0.7407407407407407,False,False
2,8,5,0.9954928498467824,0.6111111111111112,False,False
3,12,3,0.9951920381272779,0.7777777777777778,False,False
2,12,0,0.992328785446763,0.7222222222222222,False,False
2,12,3,0.9919341894060996,0.8148148148148148,False,False
1,8,3,0.9916071428571429,0.5555555555555556,False,False
1,8,0,0.9909471470979307,0.2777777777777778,False,False
3,16,0,0.9905809715675344,0.7777777777777778,False,False
2,8,0,0.9867411461357195,0.25925925925925924,False,False
2,16,0,0.986422975184032,0.8333333333333334,False,False
3,8,7,0.9861212696003363,0.7222222222222222,False,False
1,16,0,0.9763614526272514,0.8333333333333334,False,False
3,12,5,0.9759298031075216,0.7777777777777778,False,False
1,12,3,0.9732220057074707,0.8333333333333334,False,False
3,16,3,0.9712314168548687,0.7777777777777778,False,False
2,8,7,0.9609938961349431,0.6851851851851852,False,False
3,20,0,0.9551962416667188,0.7777777777777778,False,False
2,12,5,0.9549264331041764,0.8518518518518519,False,False
2,16,3,0.9482425965141719,0.8518518518518519,False,False
2,20,0,0.9478980123523513,0.8333333333333334,False,False
1,8,5,0.9458513111565438,0.6111111111111112,False,False
3,12,7,0.920590185750728,0.7777777777777778,False,False
1,20,0,0.9099430178853838,0.8703703703703703,False,False
3,20,3,0.882661668755816,0.7777777777777778,False,False
3,16,5,0.8824829175059575,0.7777777777777778,False,False
2,12,7,0.8229532477775365,0.8518518518518519,False,False
1,8,7,0.7968913265702953,0.6296296296296297,False,False
3,16,7,0.7910533040268533,0.7777777777777778,False,False
2,20,3,0.7900735686870041,0.8518518518518519,False,False
1,12,5,0.783465245292849,0.8148148148148148,False,False
2,16,5,0.7587330435919964,0.8333333333333334,False,False
3,20,5,0.7049462294149628,0.7407407407407407,False,False
2,16,7,0.6156888503559552,0.8518518518518519,False,False
3,20,7,0.5698162836541818,0.7777777777777778,False,False
2,20,5,0.5643393771872137,0.8518518518518519,False,False
1,12,7,0.5412262235012488,0.8518518518518519,False,False
2,20,7,0.4356701231007949,0.8518518518518519,False,False
