session,flight,cam,frame_number,click1_x,click1_y,click2_x,click2_y,centroid_x,centroid_y,diameter_px
2026_07_21_gym,flight_1,cam0,163,1102.0,925.0,1134.0,925.0,1118.0000,925.0000,32.0000
2026_07_21_gym,flight_1,cam1,163,1248.0,942.0,1278.0,940.0,1263.0000,941.0000,30.0666
2026_07_21_gym,flight_2,cam0,92,1017.0,969.0,1056.0,969.0,1036.5000,969.0000,39.0000
2026_07_21_gym,flight_2,cam1,92,1192.0,986.0,1226.0,987.0,1209.0000,986.5000,34.0147
2026_07_21_gym,flight_3,cam0,110,1146.0,865.0,1176.0,865.0,1161.0000,865.0000,30.0000
2026_07_21_gym,flight_3,cam1,110,1284.0,887.0,1311.0,887.0,1297.5000,887.0000,27.0000
2026_07_21_gym,flight_4,cam0,107,889.0,949.0,925.0,950.0,907.0000,949.5000,36.0139
2026_07_21_gym,flight_4,cam1,107,1059.0,977.0,1091.0,977.0,1075.0000,977.0000,32.0000
2026_07_21_gym,flight_5,cam0,93,969.0,978.0,1011.0,977.0,990.0000,977.5000,42.0119
2026_07_21_gym,flight_5,cam1,93,1158.0,996.0,1195.0,994.0,1176.5000,995.0000,37.0540
2026_07_21_gym,flight_6,cam0,96,1075.0,930.0,1109.0,929.0,1092.0000,929.5000,34.0147
2026_07_21_gym,flight_6,cam1,96,1231.0,949.0,1260.0,948.0,1245.5000,948.5000,29.0172
2026_07_21_gym,flight_7,cam0,86,759.0,974.0,799.0,974.0,779.0000,974.0000,40.0000
2026_07_21_gym,flight_7,cam1,86,957.0,1007.0,995.0,1006.0,976.0000,1006.5000,38.0132
2026_07_21_gym,flight_8,cam0,79,951.0,980.0,993.0,980.0,972.0000,980.0000,42.0000
2026_07_21_gym,flight_8,cam1,79,1144.0,999.0,1181.0,998.0,1162.5000,998.5000,37.0135
2026_07_21_gym,flight_9,cam0,90,1127.0,929.0,1160.0,928.0,1143.5000,928.5000,33.0151
2026_07_21_gym,flight_9,cam1,90,1282.0,942.0,1308.0,940.0,1295.0000,941.0000,26.0768
2026_07_21_gym,flight_10,cam0,85,952.0,960.0,990.0,960.0,971.0000,960.0000,38.0000
2026_07_21_gym,flight_10,cam1,85,1132.0,980.0,1165.0,980.0,1148.5000,980.0000,33.0000
2026_07_21_gym,flight_11,cam0,91,1104.0,977.0,1147.0,979.0,1125.5000,978.0000,43.0465
2026_07_21_gym,flight_11,cam1,91,1287.0,982.0,1323.0,982.0,1305.0000,982.0000,36.0000
2026_07_21_gym,flight_12,cam0,100,1107.0,952.0,1146.0,953.0,1126.5000,952.5000,39.0128
2026_07_21_gym,flight_12,cam1,100,1275.0,964.0,1307.0,964.0,1291.0000,964.0000,32.0000
2026_07_21_gym,flight_13,cam0,92,1128.0,934.0,1162.0,934.0,1145.0000,934.0000,34.0000
2026_07_21_gym,flight_13,cam1,92,1284.0,948.0,1314.0,949.0,1299.0000,948.5000,30.0167
2026_07_21_gym,flight_14,cam0,122,1065.0,972.0,1103.0,972.0,1084.0000,972.0000,38.0000
2026_07_21_gym,flight_14,cam1,122,1243.0,985.0,1275.0,985.0,1259.0000,985.0000,32.0000
2026_07_21_gym,flight_15,cam0,116,1221.0,906.0,1251.0,906.0,1236.0000,906.0000,30.0000
2026_07_21_gym,flight_15,cam1,116,1356.0,921.0,1382.0,920.0,1369.0000,920.5000,26.0192
2026_07_21_gym,flight_16,cam0,74,1048.0,955.0,1084.0,953.0,1066.0000,954.0000,36.0555
2026_07_21_gym,flight_16,cam1,74,1216.0,971.0,1248.0,970.0,1232.0000,970.5000,32.0156
2026_07_21_gym,flight_17,cam0,80,677.0,992.0,719.0,992.0,698.0000,992.0000,42.0000
2026_07_21_gym,flight_17,cam1,80,892.0,1033.0,933.0,1033.0,912.5000,1033.0000,41.0000
2026_07_21_gym,flight_18,cam0,110,951.0,937.0,984.0,937.0,967.5000,937.0000,33.0000
2026_07_21_gym,flight_18,cam1,110,1113.0,966.0,1143.0,965.0,1128.0000,965.5000,30.0167
2026_07_21_gym,flight_19,cam0,123,1051.0,944.0,1087.0,944.0,1069.0000,944.0000,36.0000
2026_07_21_gym,flight_19,cam1,123,1214.0,965.0,1242.0,965.0,1228.0000,965.0000,28.0000
2026_07_21_gym,flight_20,cam0,99,1144.0,942.0,1179.0,943.0,1161.5000,942.5000,35.0143
2026_07_21_gym,flight_20,cam1,99,1295.0,958.0,1324.0,958.0,1309.5000,958.0000,29.0000
2026_07_21_gym,flight_21,cam0,151,1136.0,929.0,1167.0,928.0,1151.5000,928.5000,31.0161
2026_07_21_gym,flight_21,cam1,151,1280.0,947.0,1309.0,946.0,1294.5000,946.5000,29.0172
2026_07_21_gym,flight_22,cam0,124,946.0,926.0,979.0,925.0,962.5000,925.5000,33.0151
2026_07_21_gym,flight_22,cam1,125,1111.0,955.0,1140.0,954.0,1125.5000,954.5000,29.0172
2026_07_21_gym,flight_23,cam0,118,1117.0,929.0,1149.0,928.0,1133.0000,928.5000,32.0156
2026_07_21_gym,flight_23,cam1,118,1266.0,950.0,1294.0,949.0,1280.0000,949.5000,28.0179
2026_07_21_gym,flight_24,cam0,114,1047.0,936.0,1080.0,934.0,1063.5000,935.0000,33.0606
2026_07_21_gym,flight_24,cam1,114,1209.0,959.0,1239.0,956.0,1224.0000,957.5000,30.1496
