session,flight_id,N_requested,N_used,status,speed_m_s,elevation_deg,accel_mag_m_s2,gravity_crosscheck_diff_deg,registration_used,n_paired_frames,flag_reason
2026_07_21_gym,flight_1,20,20,ok,8.2353,59.5765,14.6132,26.5153,registration1,87,"|a|=14.61 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_1,30,30,ok,7.9761,57.6013,10.7797,7.1537,registration1,87,
2026_07_21_gym,flight_2,20,20,ok,8.7692,-7.1613,9.2005,31.1385,registration1,30,"|a|=9.20 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_2,30,30,ok,8.8544,-6.0410,9.1260,16.0461,registration1,30,"|a|=9.13 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_3,20,20,ok,10.1119,5.2111,10.7631,38.5105,registration1,39,
2026_07_21_gym,flight_3,30,30,ok,9.9503,5.2681,9.2880,26.5577,registration1,39,"|a|=9.29 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_4,20,20,ok,8.2528,-5.1173,11.3739,49.7102,registration1,35,"|a|=11.37 outside nominal band [9.8,11.0]; gravity crosscheck diff=49.7 deg > 45.0"
2026_07_21_gym,flight_4,30,30,ok,7.9418,-4.9432,8.8585,29.6902,registration1,35,"|a|=8.86 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_5,20,20,ok,7.9993,0.5616,10.9317,17.7985,registration1,36,
2026_07_21_gym,flight_5,30,30,ok,8.0491,-1.1072,9.4299,21.6745,registration1,36,"|a|=9.43 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_6,20,20,ok,8.2771,8.2766,15.5183,43.8157,registration1,42,"|a|=15.52 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_6,30,30,ok,8.3031,6.6051,10.2716,17.6190,registration1,42,
2026_07_21_gym,flight_7,20,20,ok,7.9528,-9.9658,11.7958,41.2374,registration1,28,"|a|=11.80 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_7,30,28,ok,7.9328,-9.9091,9.5971,21.2932,registration1,28,"|a|=9.60 outside nominal band [9.8,11.0]; adjusted from 30 -> 28, flight has fewer usable frames"
2026_07_21_gym,flight_8,20,20,ok,7.9572,-2.0347,10.0717,22.9537,registration1,36,
2026_07_21_gym,flight_8,30,30,ok,8.1016,-2.8309,9.2416,23.5305,registration1,36,"|a|=9.24 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_9,20,20,ok,8.9426,3.7332,9.8535,25.8104,registration1,41,
2026_07_21_gym,flight_9,30,30,ok,8.7304,3.7486,9.2978,18.2314,registration1,41,"|a|=9.30 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_10,20,20,ok,8.6481,-3.3350,9.5231,18.6717,registration1,32,"|a|=9.52 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_10,30,30,ok,8.5410,-3.7017,8.9140,14.1386,registration1,32,"|a|=8.91 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_11,20,20,ok,6.4724,22.7475,9.7589,10.3144,registration1,54,"|a|=9.76 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_11,30,30,ok,6.4784,23.5838,10.3814,10.9482,registration1,54,
2026_07_21_gym,flight_12,20,20,ok,8.3249,4.6069,9.3247,17.9660,registration1,41,"|a|=9.32 outside nominal band [9.8,11.0]"
