bin,T_ms,deadline_ms,n_fit_ok,latency_median_ms,latency_p95_ms,T_ready_median_ms,T_ready_p95_ms,margin_median_ms,margin_p95_ms,feasible_p95,position_error_median_mm,position_error_iqr_mm
FLAT,150.0,490.0,30,117.09522266608353,131.0106472162219,267.09522266608354,281.0106472162219,222.90477733391646,208.9893527837781,True,183.38243319012133,168.86661813465722
FLAT,200.0,490.0,35,129.51755466653654,134.35790816700705,329.5175546665365,334.35790816700705,160.48244533346346,155.64209183299295,True,135.11540202908654,116.26123087724287
FLAT,250.0,490.0,35,138.28129666640112,155.86737396751218,388.2812966664011,405.8673739675122,101.71870333359888,84.13262603248782,True,107.29918554602332,68.6188530070441
FLAT,300.0,490.0,35,144.83090766581395,161.08137926633157,444.8309076658139,461.08137926633157,45.16909233418605,28.918620733668433,True,80.47811049792786,67.33239530831456
FLAT,350.0,490.0,35,155.229387664857,169.68007166764386,505.229387664857,519.6800716676439,-15.229387664857,-29.68007166764386,False,63.8768837668463,52.68361124643005
FLAT,400.0,490.0,35,163.5530546667675,170.53012556672715,563.5530546667675,570.5301255667272,-73.55305466676751,-80.53012556672715,False,48.67351837195135,57.97485173504006
FLAT,450.0,490.0,35,173.48436966600516,182.23038946591936,623.4843696660051,632.2303894659194,-133.48436966600516,-142.23038946591936,False,41.06598219757856,36.286991819977935
FLAT,490.0,490.0,35,176.26490566755334,193.3113239656823,666.2649056675533,683.3113239656823,-176.26490566755334,-193.3113239656823,False,38.75388244376335,40.42825439550315
FLAT,500.0,490.0,35,183.64738866562644,201.70040296732134,683.6473886656264,701.7004029673213,-193.64738866562644,-211.70040296732134,False,37.974623236249734,28.41821255719951
FLAT,550.0,490.0,35,187.69066866735616,194.98505166598284,737.6906686673561,744.9850516659828,-247.69066866735616,-254.98505166598284,False,24.30040607375521,28.045268485870686
FLAT,600.0,490.0,35,192.2545186659942,200.8284756661082,792.2545186659942,800.8284756661083,-302.25451866599417,-310.8284756661082,False,21.873927404939558,14.860122197068105
FLAT,650.0,490.0,35,195.57422166566053,208.30838526623944,845.5742216656605,858.3083852662394,-355.5742216656605,-368.30838526623944,False,24.30040607375521,20.55793039520706
FLAT,700.0,490.0,35,201.48742466668287,222.35715446711208,901.4874246666828,922.3571544671121,-411.48742466668284,-432.3571544671121,False,20.349454189574157,19.775803092043752
FLAT,750.0,490.0,35,201.69644366732487,217.70337946849565,951.6964436673248,967.7033794684957,-461.69644366732484,-477.70337946849565,False,20.349454189574157,25.83761931089892
FLAT,800.0,490.0,35,201.93564966662476,225.22395956541095,1001.9356496666247,1025.223959565411,-511.9356496666247,-535.223959565411,False,20.366012790231146,20.22947409794049
FLAT,850.0,490.0,35,201.81398066754141,225.2266844681153,1051.8139806675415,1075.2266844681153,-561.8139806675414,-585.2266844681153,False,20.349454189574157,17.05210589019706
FLAT,900.0,490.0,35,201.83170366721848,225.33372236785164,1101.8317036672186,1125.3337223678516,-611.8317036672184,-635.3337223678516,False,20.349454189574157,17.05210589019706
FLAT,950.0,490.0,35,201.77301766599217,225.13250236582627,1151.7730176659923,1175.1325023658262,-661.7730176659921,-685.1325023658262,False,20.349454189574157,17.05210589019706
FLAT,1000.0,490.0,35,201.772370668749,236.7442136660839,1201.772370668749,1236.7442136660839,-711.772370668749,-746.7442136660839,False,20.349454189574157,17.05210589019706
FLAT,1050.0,490.0,35,201.92529566554973,226.84062346803643,1251.9252956655498,1276.8406234680365,-761.9252956655497,-786.8406234680365,False,20.349454189574157,17.05210589019706
FLAT,1100.0,490.0,35,201.76344366713116,225.20493516611552,1301.7634436671312,1325.2049351661155,-811.7634436671311,-835.2049351661155,False,20.349454189574157,17.05210589019706
FLAT,1150.0,490.0,35,201.66699866733202,225.13542436674854,1351.666998667332,1375.1354243667486,-861.666998667332,-885.1354243667486,False,20.349454189574157,17.05210589019706
FLAT,1200.0,490.0,35,201.91627766533443,224.90345736608526,1401.9162776653345,1424.9034573660851,-911.9162776653344,-934.9034573660853,False,20.349454189574157,17.05210589019706
