session,flight,bin,T_ms,vx_own,vy_own,vz_own,vx_ref,vy_ref,vz_ref,err_vx,err_vy,err_vz,velocity_error_mm_s
2026_07_15_gym,flight_11,LOB,150,3349.1901407111227,-997.170217118187,-5037.59735622974,3304.8516263415,-769.4306561761109,-5138.347986857855,44.33851436962277,-227.73956094207608,100.75063062811478,252.94643908653373
2026_07_15_gym,flight_11,LOB,200,3297.5692717759775,-1147.2846641983087,-5192.3650223185905,3304.8516263415,-769.4306561761109,-5138.347986857855,-7.2823545655223825,-377.85400802219783,-54.017035460735315,381.7650117368319
2026_07_15_gym,flight_11,LOB,250,3296.75601176795,-1224.7592848853974,-5238.393316182662,3304.8516263415,-769.4306561761109,-5138.347986857855,-8.095614573549938,-455.3286287092865,-100.04532932480652,466.2604068729317
2026_07_15_gym,flight_11,LOB,300,3250.0556706258017,-1032.241508613788,-5342.671716737982,3304.8516263415,-769.4306561761109,-5138.347986857855,-54.795955715698256,-262.8108524376771,-204.32372988012685,337.3726834139691
2026_07_15_gym,flight_11,LOB,350,3279.5683549063024,-1030.4333451084835,-5301.559967394545,3304.8516263415,-769.4306561761109,-5138.347986857855,-25.28327143519755,-261.0026889323726,-163.21198053669013,308.86857728668963
2026_07_15_gym,flight_11,LOB,400,3311.242973505301,-1085.038253102879,-5259.075101141385,3304.8516263415,-769.4306561761109,-5138.347986857855,6.391347163801129,-315.6075969267681,-120.72711428352977,337.9704730885317
2026_07_15_gym,flight_11,LOB,450,3305.967113428026,-990.422476611489,-5262.84080763082,3304.8516263415,-769.4306561761109,-5138.347986857855,1.1154870865261728,-220.99182043537803,-124.49282077296448,253.64757328780422
2026_07_15_gym,flight_11,LOB,490,3268.2072482313665,-784.4270476405998,-5264.949084693196,3304.8516263415,-769.4306561761109,-5138.347986857855,-36.6443781101334,-14.996391464488852,-126.60109783534062,132.6481819594528
2026_07_15_gym,flight_11,LOB,500,3303.4793851910076,-1012.1390902155412,-5272.174405155989,3304.8516263415,-769.4306561761109,-5138.347986857855,-1.3722411504923002,-242.70843403943024,-133.82641829813383,277.16200539423613
2026_07_15_gym,flight_11,LOB,550,3286.5326019886484,-909.3860812681969,-5286.2289108767045,3304.8516263415,-769.4306561761109,-5138.347986857855,-18.319024352851557,-139.955425092086,-147.88092401884933,204.43061256723624
2026_07_15_gym,flight_11,LOB,600,3223.570791512445,-763.2320014391937,-5369.5681304844,3304.8516263415,-769.4306561761109,-5138.347986857855,-81.28083482905504,6.198654736917206,-231.220143626545,245.16882397592062
2026_07_15_gym,flight_11,LOB,650,3234.3827454235593,-711.5919100427188,-5321.141052699077,3304.8516263415,-769.4306561761109,-5138.347986857855,-70.46888091794062,57.83874613339208,-182.7930658412215,204.26573048786963
2026_07_15_gym,flight_11,LOB,700,3240.4366401709826,-743.2898959552558,-5328.98877444354,3304.8516263415,-769.4306561761109,-5138.347986857855,-64.4149861705173,26.1407602208551,-190.64078758568485,202.9200327211747
2026_07_15_gym,flight_11,LOB,750,3232.409354435406,-706.4255246655193,-5322.099436915031,3304.8516263415,-769.4306561761109,-5138.347986857855,-72.44227190609399,63.00513151059158,-183.75145005717604,207.32130800691505
2026_07_15_gym,flight_11,LOB,800,3238.08284350251,-707.1196971199406,-5312.614900604783,3304.8516263415,-769.4306561761109,-5138.347986857855,-66.76878283898986,62.310959056170304,-174.26691374692746,196.74776544392859
2026_07_15_gym,flight_11,LOB,850,3256.5213415720514,-753.3299675119708,-5300.224017458222,3304.8516263415,-769.4306561761109,-5138.347986857855,-48.330284769448554,16.10068866414008,-161.8760306003669,169.70238031414402
2026_07_15_gym,flight_11,LOB,900,3266.67448074574,-821.7148375602058,-5303.023604186934,3304.8516263415,-769.4306561761109,-5138.347986857855,-38.17714559576007,-52.284181384094836,-164.6756173290787,176.9440279058832
2026_07_15_gym,flight_11,LOB,950,3257.5050101948286,-696.5191226428612,-5266.971797209783,3304.8516263415,-769.4306561761109,-5138.347986857855,-47.346616146671295,72.91153353324967,-128.6238103519281,155.24779667408885
2026_07_15_gym,flight_11,LOB,1000,3260.5482106485197,-788.257958717325,-5306.064045101992,3304.8516263415,-769.4306561761109,-5138.347986857855,-44.30341569298025,-18.827302541214067,-167.71605824413655,174.48763897764866
2026_07_15_gym,flight_11,LOB,1050,3281.183241119429,-890.2968844496781,-5311.096759919184,3304.8516263415,-769.4306561761109,-5138.347986857855,-23.66838522207081,-120.86622827356723,-172.7487730613284,212.15790390719033
2026_07_15_gym,flight_11,LOB,1100,3272.202036611275,-837.0726633991894,-5302.768506855479,3304.8516263415,-769.4306561761109,-5138.347986857855,-32.64958973022476,-67.64200722307851,-164.42051999762407,180.76378024097679
2026_07_15_gym,flight_11,LOB,1150,3272.202036611275,-837.0726633991894,-5302.768506855479,3304.8516263415,-769.4306561761109,-5138.347986857855,-32.64958973022476,-67.64200722307851,-164.42051999762407,180.76378024097679
2026_07_15_gym,flight_11,LOB,1200,3272.202036611275,-837.0726633991894,-5302.768506855479,3304.8516263415,-769.4306561761109,-5138.347986857855,-32.64958973022476,-67.64200722307851,-164.42051999762407,180.76378024097679
2026_07_15_gym,flight_11,LOB,1250,3251.0061615743975,-776.6973197621414,-5310.670106347695,3304.8516263415,-769.4306561761109,-5138.347986857855,-53.845464767102385,-7.266663586030518,-172.32211948983968,180.68495051090505
2026_07_15_gym,flight_12,LOB,150,2781.0655547490305,-542.4940308974927,-7060.6206536105365,2840.1306607224806,-44.1792316943354,-6786.943831774399,-59.065105973450045,-498.31479920315735,-273.6768218361376,571.581427846345
2026_07_15_gym,flight_12,LOB,200,2666.5072501105865,-324.4490442076013,-7253.158373897389,2840.1306607224806,-44.1792316943354,-6786.943831774399,-173.6234106118941,-280.2698125132659,-466.21454212298977,571.0098561370686
2026_07_15_gym,flight_12,LOB,250,2839.7889276080664,-607.2799717815817,-6918.622973677248,2840.1306607224806,-44.1792316943354,-6786.943831774399,-0.34173311441418264,-563.1007400872463,-131.67914190284955,578.2922761723494
2026_07_15_gym,flight_12,LOB,300,2710.774604106136,-129.77024463608382,-7141.457343126374,2840.1306607224806,-44.1792316943354,-6786.943831774399,-129.35605661634463,-85.59101294174842,-354.51351135197547,386.96077399503037
2026_07_15_gym,flight_12,LOB,350,2693.3645762611363,-88.29734337262798,-7187.766814728964,2840.1306607224806,-44.1792316943354,-6786.943831774399,-146.76608446134424,-44.11811167829258,-400.8229829545653,429.12207469526464
2026_07_15_gym,flight_12,LOB,400,2799.3416815911078,-180.62408009378822,-6945.23966933018,2840.1306607224806,-44.1792316943354,-6786.943831774399,-40.7889791313728,-136.44484839945284,-158.29583755578096,212.92841440450178
2026_07_15_gym,flight_12,LOB,450,2578.195569027802,83.3294333187832,-7418.007040914549,2840.1306607224806,-44.1792316943354,-6786.943831774399,-261.9350916946787,127.5086650131186,-631.0632091401503,695.0605914917
2026_07_15_gym,flight_12,LOB,490,2569.8954857217777,646.4298980871428,-7212.044594697526,2840.1306607224806,-44.1792316943354,-6786.943831774399,-270.23517500070284,690.6091297814781,-425.10076292312715,854.7974488631886
2026_07_15_gym,flight_12,LOB,500,2796.919602775613,-117.94180952454188,-6932.04579584989,2840.1306607224806,-44.1792316943354,-6786.943831774399,-43.21105794686764,-73.76257783020648,-145.1019640754912,168.41227210512275
2026_07_15_gym,flight_12,LOB,550,2478.9463999448194,269.80487451083525,-7676.682661618742,2840.1306607224806,-44.1792316943354,-6786.943831774399,-361.18426077766117,313.98410620517063,-889.738829844343,1010.2847492245666
2026_07_15_gym,flight_12,LOB,600,2830.4576134223616,-73.98341573303449,-6869.966377092794,2840.1306607224806,-44.1792316943354,-6786.943831774399,-9.673047300118924,-29.80418403869909,-83.0225453183948,88.73894444621152
2026_07_15_gym,flight_12,LOB,650,2827.788367444592,-82.7197383257445,-6874.869265066134,2840.1306607224806,-44.1792316943354,-6786.943831774399,-12.34229327788853,-38.5405066314091,-87.92543329173532,96.79144938630867
2026_07_15_gym,flight_12,LOB,700,2828.349096622708,-118.48802316950255,-6889.827029548089,2840.1306607224806,-44.1792316943354,-6786.943831774399,-11.781564099772368,-74.30879147516715,-102.88319777368997,127.45804849940649
2026_07_15_gym,flight_12,LOB,750,2832.9819956338188,-74.06560521525914,-6856.025336925277,2840.1306607224806,-44.1792316943354,-6786.943831774399,-7.148665088661801,-29.88637352092374,-69.081505150878,75.6078903864727
2026_07_15_gym,flight_12,LOB,800,2823.795741675615,10.476044258704963,-6818.4566594630105,2840.1306607224806,-44.1792316943354,-6786.943831774399,-16.334919046865707,54.65527595304036,-31.51282768861165,65.16967913610415
2026_07_15_gym,flight_12,LOB,850,2865.0470820940373,-108.81486554012656,-6781.402763953327,2840.1306607224806,-44.1792316943354,-6786.943831774399,24.91642137155668,-64.63563384579116,5.54106782107192,69.49314102276479
2026_07_15_gym,flight_12,LOB,950,2813.518484674903,64.15655798139993,-6827.633403257284,2840.1306607224806,-44.1792316943354,-6786.943831774399,-26.612176047577577,108.33578967573533,-40.689571482885185,118.74549450868952
2026_07_15_gym,flight_12,LOB,1000,2814.6636255798817,79.22256231501315,-6820.0212351989285,2840.1306607224806,-44.1792316943354,-6786.943831774399,-25.46703514259889,123.40179400934855,-33.07740342452962,130.27159038328017
2026_07_15_gym,flight_12,LOB,1050,2879.1598456680895,-80.23288813067438,-6752.969264959544,2840.1306607224806,-44.1792316943354,-6786.943831774399,39.029184945608904,-36.05365643633898,33.97456681485528,63.0667472619698
2026_07_15_gym,flight_12,LOB,1150,2865.2686329533544,-95.06751486609804,-6762.227873599975,2840.1306607224806,-44.1792316943354,-6786.943831774399,25.137972230873856,-50.88828317176264,24.715958174423577,61.90649077867016
