bin,T_ms,n,X_depth_bias_mm_s,X_depth_scatter_rms_mm_s,X_depth_median_abs_mm_s,Y_width_bias_mm_s,Y_width_scatter_rms_mm_s,Y_width_median_abs_mm_s,Z_up_bias_mm_s,Z_up_scatter_rms_mm_s,Z_up_median_abs_mm_s
FLAT,150,30,-193.87843614661264,276.2656733857523,188.41990315603152,178.83720429611395,453.56245378041467,285.48688790869517,-156.61392926235882,200.36234677154098,158.04804135995937
FLAT,200,35,-110.7597218918498,186.15186872682776,153.75205814904893,83.74471090940585,310.85008701484696,208.9865443256855,-102.39722650310208,130.42177365190312,111.14930679357622
FLAT,250,35,-101.45902618094101,139.81149230308233,118.48469423767165,104.26061556211754,239.92282565972525,152.5392268031522,-87.31575795748388,108.42651968300737,88.6743511071054
FLAT,300,35,-68.60043290520012,113.79394803868264,102.22114926607082,67.8238612824955,216.62290550210798,148.52206495150332,-67.54424169682869,86.05829227876505,74.93480178980099
FLAT,350,35,-65.9391412031382,88.9777697818979,80.98619800729557,47.815782784972654,166.76510728213447,103.36976555668844,-51.584327469272814,71.6632250354607,56.26090483468943
FLAT,400,35,-48.55206275000333,78.89485275578349,60.49827326135892,33.683144782237655,143.85881556509526,68.84520817618227,-38.526474404942306,57.3749926061678,42.98783730962441
FLAT,450,35,-40.81159058810325,62.48126316248876,53.581060790358606,32.74264762134286,130.94426573556876,72.07656178192315,-29.18882725434626,47.49000392441409,33.45266929252739
FLAT,490,35,-33.785845268263905,57.39621457534104,52.399148378301106,38.08733515124743,118.99037711843646,77.61363286252924,-24.67861604176113,43.93196977467086,30.201755862775826
FLAT,500,35,-30.034157546627934,48.84359702169803,36.217123167572026,31.77882955502957,89.27130847672763,60.353392331925534,-21.21944040690574,38.34523559756811,32.90231957508695
FLAT,550,35,-20.5406843995255,41.34007900347731,27.86338170576255,28.882889905646504,81.05818147599524,45.800640528750165,-7.729149345278113,27.844549175062546,19.61094536812743
FLAT,600,35,-11.48431245166617,28.68037053328398,19.987010915509018,13.960710603968757,80.74655252863747,31.285097072370434,1.0473607975476884,18.1697231106269,10.380393597856255
FLAT,650,35,-12.737328969148985,32.272936123881756,22.29258573421066,-8.118117096997358,57.77047047836614,38.7472963840641,3.0808209762534458,17.596560794790815,7.713234373795785
FLAT,700,35,-8.348372921024227,30.7740723746375,18.844179563350735,-21.845352808554544,56.6819103019633,40.83649250553003,2.8875840863872195,16.754194417119646,7.581594359498013
FLAT,750,35,-3.9079110063313367,27.249792042709586,18.07849982537664,-26.27381020133411,64.64054130687389,46.10764523087306,4.714067908888708,15.763344313975603,7.8376644198274334
FLAT,800,35,-4.017951575836325,27.345371631597345,18.07849982537664,-25.21881769149013,63.12856526074006,45.800640528750165,3.295150405132972,14.203656161541987,7.581594359498013
FLAT,850,35,-4.998812988578201,26.523721685469656,17.97848378018716,-28.549247237672866,61.640448656701814,40.13171985184101,3.376186187541706,13.98951361106952,6.670000108255408
FLAT,900,35,-4.998812988578201,26.523721685469656,17.97848378018716,-28.549247237672866,61.640448656701814,40.13171985184101,3.376186187541706,13.98951361106952,6.670000108255408
FLAT,950,35,-4.998812988578201,26.523721685469656,17.97848378018716,-28.549247237672866,61.640448656701814,40.13171985184101,3.376186187541706,13.98951361106952,6.670000108255408
FLAT,1000,35,-4.998812988578201,26.523721685469656,17.97848378018716,-28.549247237672866,61.640448656701814,40.13171985184101,3.376186187541706,13.98951361106952,6.670000108255408
FLAT,1050,35,-4.998812988578201,26.523721685469656,17.97848378018716,-28.549247237672866,61.640448656701814,40.13171985184101,3.376186187541706,13.98951361106952,6.670000108255408
FLAT,1100,35,-4.998812988578201,26.523721685469656,17.97848378018716,-28.549247237672866,61.640448656701814,40.13171985184101,3.376186187541706,13.98951361106952,6.670000108255408
FLAT,1150,35,-4.998812988578201,26.523721685469656,17.97848378018716,-28.549247237672866,61.640448656701814,40.13171985184101,3.376186187541706,13.98951361106952,6.670000108255408
FLAT,1200,35,-4.998812988578201,26.523721685469656,17.97848378018716,-28.549247237672866,61.640448656701814,40.13171985184101,3.376186187541706,13.98951361106952,6.670000108255408
FLAT,1250,35,-4.998812988578201,26.523721685469656,17.97848378018716,-28.549247237672866,61.640448656701814,40.13171985184101,3.376186187541706,13.98951361106952,6.670000108255408
MID,150,7,-37.58447113856976,88.35650075766277,88.216696689944,44.458902180169524,258.3483154172565,78.77102669873747,-15.568000744792114,123.96026974444875,91.29877365484754
MID,200,10,-48.19167018747307,107.51907355949655,72.82593090195314,82.77076971308216,281.973262712167,67.67438687481172,-58.478235523257354,173.34451591790184,106.58728106623266
MID,250,10,-19.86133295059576,115.29677918131193,52.87062067647889,47.45661680910534,284.1792819434437,143.7576806472941,-27.35009198382909,177.37515515387327,74.44762015463311
MID,300,12,49.69607297458314,158.12424510294136,65.6567698825877,-81.64796338834306,304.4593108153255,81.85076104845112,29.249503165859664,171.90231047021646,90.81686010609019
