cls,A,window,success_rate,success,wrong_velocity,wrong_position,wrong_class,late,no_response
SHORT,72.0000,150,70.2128,33,0,3,1,0,10
SHORT,72.0000,200,89.3617,42,1,1,1,0,2
SHORT,72.0000,250,91.4894,43,0,0,2,0,2
SHORT,72.0000,300,87.2340,41,0,0,2,4,0
SHORT,72.0000,350,65.9574,31,0,0,1,15,0
SHORT,72.0000,400,40.4255,19,0,0,0,28,0
SHORT,72.0000,450,25.5319,12,0,0,0,35,0
SHORT,72.0000,490,21.2766,10,0,0,0,37,0
SHORT,72.0000,500,21.2766,10,0,0,0,37,0
SHORT,72.0000,550,19.1489,9,0,0,0,38,0
SHORT,72.0000,600,17.0213,8,0,0,0,39,0
SHORT,72.0000,650,12.7660,6,0,0,0,41,0
SHORT,72.0000,700,10.6383,5,0,0,0,42,0
SHORT,72.0000,750,6.3830,3,0,0,0,44,0
SHORT,72.0000,800,0.0000,0,0,0,0,47,0
SHORT,72.0000,850,0.0000,0,0,0,0,47,0
SHORT,72.0000,900,0.0000,0,0,0,0,47,0
SHORT,72.0000,950,0.0000,0,0,0,0,47,0
SHORT,72.0000,1000,0.0000,0,0,0,0,47,0
SHORT,72.0000,1050,0.0000,0,0,0,0,47,0
SHORT,72.0000,1100,0.0000,0,0,0,0,47,0
SHORT,72.0000,1150,0.0000,0,0,0,0,47,0
SHORT,72.0000,1200,0.0000,0,0,0,0,46,1
SHORT,72.0000,1250,0.0000,0,0,0,0,47,0
LONG,72.0000,150,13.3333,8,0,7,10,0,35
LONG,72.0000,200,38.3333,23,0,10,12,0,15
LONG,72.0000,250,53.3333,32,0,9,10,0,9
LONG,72.0000,300,70.0000,42,0,7,10,0,1
LONG,72.0000,350,73.3333,44,0,5,11,0,0
LONG,72.0000,400,88.3333,53,0,1,6,0,0
LONG,72.0000,450,88.3333,53,0,4,2,0,1
LONG,72.0000,490,93.3333,56,0,0,3,0,1
LONG,72.0000,500,90.0000,54,0,2,3,0,1
