cls,A,window,success_rate,success,wrong_velocity,wrong_position,wrong_class,late,no_response
SHORT,72.0000,150,46.8085,22,0,14,1,0,10
SHORT,72.0000,200,70.2128,33,5,6,1,0,2
SHORT,72.0000,250,76.5957,36,4,3,2,0,2
SHORT,72.0000,300,76.5957,36,1,4,2,4,0
SHORT,72.0000,350,63.8298,30,0,1,1,15,0
SHORT,72.0000,400,38.2979,18,0,1,0,28,0
SHORT,72.0000,450,23.4043,11,0,1,0,35,0
SHORT,72.0000,490,21.2766,10,0,0,0,37,0
SHORT,72.0000,500,19.1489,9,0,1,0,37,0
SHORT,72.0000,550,19.1489,9,0,0,0,38,0
SHORT,72.0000,600,17.0213,8,0,0,0,39,0
SHORT,72.0000,650,12.7660,6,0,0,0,41,0
SHORT,72.0000,700,8.5106,4,0,1,0,42,0
SHORT,72.0000,750,6.3830,3,0,0,0,44,0
SHORT,72.0000,800,0.0000,0,0,0,0,47,0
SHORT,72.0000,850,0.0000,0,0,0,0,47,0
SHORT,72.0000,900,0.0000,0,0,0,0,47,0
SHORT,72.0000,950,0.0000,0,0,0,0,47,0
SHORT,72.0000,1000,0.0000,0,0,0,0,47,0
SHORT,72.0000,1050,0.0000,0,0,0,0,47,0
SHORT,72.0000,1100,0.0000,0,0,0,0,47,0
SHORT,72.0000,1150,0.0000,0,0,0,0,47,0
SHORT,72.0000,1200,0.0000,0,0,0,0,46,1
SHORT,72.0000,1250,0.0000,0,0,0,0,47,0
LONG,72.0000,150,1.6667,1,0,14,10,0,35
LONG,72.0000,200,13.3333,8,0,25,12,0,15
LONG,72.0000,250,23.3333,14,0,27,10,0,9
LONG,72.0000,300,35.0000,21,0,28,10,0,1
LONG,72.0000,350,45.0000,27,0,22,11,0,0
LONG,72.0000,400,53.3333,32,0,22,6,0,0
LONG,72.0000,450,61.6667,37,0,20,2,0,1
LONG,72.0000,490,75.0000,45,0,11,3,0,1
LONG,72.0000,500,75.0000,45,0,11,3,0,1
LONG,72.0000,550,80.0000,48,0,8,3,0,1
LONG,72.0000,600,83.3333,50,0,9,1,0,0
LONG,72.0000,650,93.3333,56,0,3,1,0,0
LONG,72.0000,700,95.0000,57,0,2,1,0,0
LONG,72.0000,750,93.3333,56,0,1,0,3,0
LONG,72.0000,800,80.0000,48,0,1,0,10,1
LONG,72.0000,850,65.0000,39,0,0,0,21,0
LONG,72.0000,900,46.6667,28,0,0,0,31,1
LONG,72.0000,950,23.3333,14,0,0,1,45,0
LONG,72.0000,1000,15.0000,9,0,0,0,51,0
LONG,72.0000,1050,8.3333,5,0,0,0,55,0
LONG,72.0000,1100,5.0000,3,0,0,0,53,4
LONG,72.0000,1150,1.6667,1,0,0,0,59,0
LONG,72.0000,1200,0.0000,0,0,0,0,59,1
LONG,72.0000,1250,0.0000,0,0,0,0,59,1
SHORT,135.0000,150,46.8085,22,0,14,1,0,10
SHORT,135.0000,200,70.2128,33,5,6,1,0,2
SHORT,135.0000,250,65.9574,31,4,3,2,5,2
SHORT,135.0000,300,51.0638,24,1,4,2,16,0
SHORT,135.0000,350,36.1702,17,0,1,1,28,0
SHORT,135.0000,400,23.4043,11,0,1,0,35,0
SHORT,135.0000,450,19.1489,9,0,1,0,37,0
SHORT,135.0000,490,19.1489,9,0,0,0,38,0
SHORT,135.0000,500,17.0213,8,0,1,0,38,0
SHORT,135.0000,550,17.0213,8,0,0,0,39,0
