threshold_mm,cls,A,window,success_rate,success,wrong_placement,wrong_class,late,no_response
1000.0000,SHORT,72.0000,150,72.3404,34,2,1,0,10
1000.0000,SHORT,72.0000,200,91.4894,43,1,1,0,2
1000.0000,SHORT,72.0000,250,91.4894,43,0,2,0,2
1000.0000,SHORT,72.0000,300,87.2340,41,0,2,4,0
1000.0000,SHORT,72.0000,350,65.9574,31,0,1,15,0
1000.0000,SHORT,72.0000,400,40.4255,19,0,0,28,0
1000.0000,SHORT,72.0000,450,25.5319,12,0,0,35,0
1000.0000,SHORT,72.0000,490,21.2766,10,0,0,37,0
1000.0000,SHORT,72.0000,500,21.2766,10,0,0,37,0
1000.0000,SHORT,72.0000,550,19.1489,9,0,0,38,0
1000.0000,SHORT,72.0000,600,17.0213,8,0,0,39,0
1000.0000,SHORT,72.0000,650,12.7660,6,0,0,41,0
1000.0000,SHORT,72.0000,700,10.6383,5,0,0,42,0
1000.0000,SHORT,72.0000,750,6.3830,3,0,0,44,0
1000.0000,SHORT,72.0000,800,0.0000,0,0,0,47,0
1000.0000,SHORT,72.0000,850,0.0000,0,0,0,47,0
1000.0000,SHORT,72.0000,900,0.0000,0,0,0,47,0
1000.0000,SHORT,72.0000,950,0.0000,0,0,0,47,0
1000.0000,SHORT,72.0000,1000,0.0000,0,0,0,47,0
1000.0000,SHORT,72.0000,1050,0.0000,0,0,0,47,0
1000.0000,SHORT,72.0000,1100,0.0000,0,0,0,47,0
1000.0000,SHORT,72.0000,1150,0.0000,0,0,0,47,0
1000.0000,SHORT,72.0000,1200,0.0000,0,0,0,46,1
1000.0000,SHORT,72.0000,1250,0.0000,0,0,0,47,0
1000.0000,LONG,72.0000,150,16.6667,10,5,10,0,35
1000.0000,LONG,72.0000,200,40.0000,24,9,12,0,15
1000.0000,LONG,72.0000,250,56.6667,34,7,10,0,9
1000.0000,LONG,72.0000,300,73.3333,44,5,10,0,1
1000.0000,LONG,72.0000,350,76.6667,46,3,11,0,0
1000.0000,LONG,72.0000,400,88.3333,53,1,6,0,0
1000.0000,LONG,72.0000,450,90.0000,54,3,2,0,1
1000.0000,LONG,72.0000,490,93.3333,56,0,3,0,1
1000.0000,LONG,72.0000,500,93.3333,56,0,3,0,1
1000.0000,LONG,72.0000,550,91.6667,55,1,3,0,1
1000.0000,LONG,72.0000,600,96.6667,58,1,1,0,0
1000.0000,LONG,72.0000,650,98.3333,59,0,1,0,0
1000.0000,LONG,72.0000,700,98.3333,59,0,1,0,0
1000.0000,LONG,72.0000,750,95.0000,57,0,0,3,0
1000.0000,LONG,72.0000,800,81.6667,49,0,0,10,1
1000.0000,LONG,72.0000,850,65.0000,39,0,0,21,0
1000.0000,LONG,72.0000,900,46.6667,28,0,0,31,1
1000.0000,LONG,72.0000,950,23.3333,14,0,1,45,0
1000.0000,LONG,72.0000,1000,15.0000,9,0,0,51,0
1000.0000,LONG,72.0000,1050,8.3333,5,0,0,55,0
1000.0000,LONG,72.0000,1100,5.0000,3,0,0,53,4
1000.0000,LONG,72.0000,1150,1.6667,1,0,0,59,0
1000.0000,LONG,72.0000,1200,0.0000,0,0,0,59,1
1000.0000,LONG,72.0000,1250,0.0000,0,0,0,59,1
1000.0000,SHORT,135.0000,150,72.3404,34,2,1,0,10
1000.0000,SHORT,135.0000,200,91.4894,43,1,1,0,2
1000.0000,SHORT,135.0000,250,80.8511,38,0,2,5,2
1000.0000,SHORT,135.0000,300,61.7021,29,0,2,16,0
1000.0000,SHORT,135.0000,350,38.2979,18,0,1,28,0
1000.0000,SHORT,135.0000,400,25.5319,12,0,0,35,0
1000.0000,SHORT,135.0000,450,21.2766,10,0,0,37,0
1000.0000,SHORT,135.0000,490,19.1489,9,0,0,38,0
1000.0000,SHORT,135.0000,500,19.1489,9,0,0,38,0
1000.0000,SHORT,135.0000,550,17.0213,8,0,0,39,0
1000.0000,SHORT,135.0000,600,12.7660,6,0,0,41,0
1000.0000,SHORT,135.0000,650,10.6383,5,0,0,42,0
1000.0000,SHORT,135.0000,700,6.3830,3,0,0,44,0
1000.0000,SHORT,135.0000,750,0.0000,0,0,0,47,0
1000.0000,SHORT,135.0000,800,0.0000,0,0,0,47,0
1000.0000,SHORT,135.0000,850,0.0000,0,0,0,47,0
1000.0000,SHORT,135.0000,900,0.0000,0,0,0,47,0
1000.0000,SHORT,135.0000,950,0.0000,0,0,0,47,0
1000.0000,SHORT,135.0000,1000,0.0000,0,0,0,47,0
1000.0000,SHORT,135.0000,1050,0.0000,0,0,0,47,0
1000.0000,SHORT,135.0000,1100,0.0000,0,0,0,47,0
1000.0000,SHORT,135.0000,1150,0.0000,0,0,0,47,0
1000.0000,SHORT,135.0000,1200,0.0000,0,0,0,46,1
1000.0000,SHORT,135.0000,1250,0.0000,0,0,0,47,0
1000.0000,LONG,135.0000,150,16.6667,10,5,10,0,35
1000.0000,LONG,135.0000,200,40.0000,24,9,12,0,15
1000.0000,LONG,135.0000,250,56.6667,34,7,10,0,9
1000.0000,LONG,135.0000,300,73.3333,44,5,10,0,1
1000.0000,LONG,135.0000,350,76.6667,46,3,11,0,0
1000.0000,LONG,135.0000,400,88.3333,53,1,6,0,0
1000.0000,LONG,135.0000,450,90.0000,54,3,2,0,1
1000.0000,LONG,135.0000,490,93.3333,56,0,3,0,1
1000.0000,LONG,135.0000,500,93.3333,56,0,3,0,1
1000.0000,LONG,135.0000,550,91.6667,55,1,3,0,1
1000.0000,LONG,135.0000,600,96.6667,58,1,1,0,0
1000.0000,LONG,135.0000,650,98.3333,59,0,1,0,0
1000.0000,LONG,135.0000,700,93.3333,56,0,1,3,0
1000.0000,LONG,135.0000,750,83.3333,50,0,0,10,0
1000.0000,LONG,135.0000,800,66.6667,40,0,0,19,1
1000.0000,LONG,135.0000,850,43.3333,26,0,0,34,0
1000.0000,LONG,135.0000,900,23.3333,14,0,0,45,1
1000.0000,LONG,135.0000,950,15.0000,9,0,0,51,0
1000.0000,LONG,135.0000,1000,8.3333,5,0,0,55,0
1000.0000,LONG,135.0000,1050,1.6667,1,0,0,59,0
1000.0000,LONG,135.0000,1100,1.6667,1,0,0,55,4
1000.0000,LONG,135.0000,1150,0.0000,0,0,0,60,0
1000.0000,LONG,135.0000,1200,0.0000,0,0,0,59,1
1000.0000,LONG,135.0000,1250,0.0000,0,0,0,59,1
1000.0000,SHORT,220.0000,150,70.2128,33,2,1,1,10
1000.0000,SHORT,220.0000,200,72.3404,34,1,1,9,2
1000.0000,SHORT,220.0000,250,44.6809,21,0,2,22,2
1000.0000,SHORT,220.0000,300,25.5319,12,0,2,33,0
1000.0000,SHORT,220.0000,350,21.2766,10,0,1,36,0
1000.0000,SHORT,220.0000,400,19.1489,9,0,0,38,0
1000.0000,SHORT,220.0000,450,19.1489,9,0,0,38,0
1000.0000,SHORT,220.0000,490,14.8936,7,0,0,40,0
1000.0000,SHORT,220.0000,500,14.8936,7,0,0,40,0
1000.0000,SHORT,220.0000,550,12.7660,6,0,0,41,0
1000.0000,SHORT,220.0000,600,10.6383,5,0,0,42,0
1000.0000,SHORT,220.0000,650,4.2553,2,0,0,45,0
1000.0000,SHORT,220.0000,700,0.0000,0,0,0,47,0
1000.0000,SHORT,220.0000,750,0.0000,0,0,0,47,0
1000.0000,SHORT,220.0000,800,0.0000,0,0,0,47,0
1000.0000,SHORT,220.0000,850,0.0000,0,0,0,47,0
1000.0000,SHORT,220.0000,900,0.0000,0,0,0,47,0
1000.0000,SHORT,220.0000,950,0.0000,0,0,0,47,0
1000.0000,SHORT,220.0000,1000,0.0000,0,0,0,47,0
1000.0000,SHORT,220.0000,1050,0.0000,0,0,0,47,0
1000.0000,SHORT,220.0000,1100,0.0000,0,0,0,47,0
1000.0000,SHORT,220.0000,1150,0.0000,0,0,0,47,0
1000.0000,SHORT,220.0000,1200,0.0000,0,0,0,46,1
1000.0000,SHORT,220.0000,1250,0.0000,0,0,0,47,0
1000.0000,LONG,220.0000,150,16.6667,10,5,10,0,35
1000.0000,LONG,220.0000,200,40.0000,24,9,12,0,15
1000.0000,LONG,220.0000,250,56.6667,34,7,10,0,9
1000.0000,LONG,220.0000,300,73.3333,44,5,10,0,1
1000.0000,LONG,220.0000,350,76.6667,46,3,11,0,0
1000.0000,LONG,220.0000,400,88.3333,53,1,6,0,0
1000.0000,LONG,220.0000,450,90.0000,54,3,2,0,1
1000.0000,LONG,220.0000,490,93.3333,56,0,3,0,1
1000.0000,LONG,220.0000,500,93.3333,56,0,3,0,1
1000.0000,LONG,220.0000,550,91.6667,55,1,3,0,1
1000.0000,LONG,220.0000,600,96.6667,58,1,1,0,0
1000.0000,LONG,220.0000,650,88.3333,53,0,1,6,0
1000.0000,LONG,220.0000,700,70.0000,42,0,0,18,0
1000.0000,LONG,220.0000,750,55.0000,33,0,0,27,0
1000.0000,LONG,220.0000,800,33.3333,20,0,0,39,1
1000.0000,LONG,220.0000,850,23.3333,14,0,0,46,0
1000.0000,LONG,220.0000,900,10.0000,6,0,0,53,1
1000.0000,LONG,220.0000,950,6.6667,4,0,0,56,0
1000.0000,LONG,220.0000,1000,1.6667,1,0,0,59,0
1000.0000,LONG,220.0000,1050,0.0000,0,0,0,60,0
1000.0000,LONG,220.0000,1100,0.0000,0,0,0,56,4
1000.0000,LONG,220.0000,1150,0.0000,0,0,0,60,0
1000.0000,LONG,220.0000,1200,0.0000,0,0,0,59,1
1000.0000,LONG,220.0000,1250,0.0000,0,0,0,59,1
