y_offset_mm,n_inside
-5370,0
-5360,1
-5350,1
-5340,1
-5330,1
-5320,1
-5310,1
-5300,1
-5290,1
-5280,1
-5270,2
-5260,2
-5250,2
-5240,2
-5230,2
-5220,2
-5210,2
-5200,2
-5190,2
-5180,2
-5170,2
-5160,2
-5150,3
-5140,3
-5130,4
-5120,4
-5110,4
-5100,4
-5090,5
-5080,6
-5070,6
-5060,6
-5050,7
-5040,7
-5030,7
-5020,8
-5010,8
-5000,8
-4990,8
-4980,8
-4970,8
-4960,9
-4950,9
-4940,9
-4930,9
-4920,9
-4910,9
-4900,9
-4890,10
-4880,10
-4870,10
-4860,10
-4850,10
-4840,11
-4830,12
-4820,14
-4810,14
-4800,15
-4790,16
-4780,17
-4770,17
-4760,17
-4750,18
-4740,18
-4730,18
-4720,18
-4710,19
-4700,20
-4690,23
-4680,24
-4670,24
-4660,24
-4650,25
-4640,25
-4630,25
-4620,25
-4610,27
-4600,27
-4590,27
-4580,28
-4570,28
-4560,33
-4550,35
-4540,35
-4530,36
-4520,37
-4510,39
-4500,42
-4490,42
-4480,44
-4470,44
-4460,44
-4450,44
-4440,45
-4430,46
-4420,47
-4410,47
-4400,47
-4390,49
-4380,50
-4370,52
-4360,52
-4350,52
-4340,53
-4330,54
-4320,55
-4310,55
-4300,55
-4290,55
-4280,55
-4270,58
-4260,61
-4250,61
-4240,62
-4230,62
-4220,64
-4210,65
-4200,66
-4190,66
-4180,68
-4170,68
-4160,72
-4150,74
-4140,74
-4130,76
-4120,76
-4110,76
-4100,76
-4090,78
-4080,81
-4070,81
-4060,81
-4050,81
-4040,81
-4030,81
-4020,81
-4010,82
-4000,82
-3990,82
-3980,82
-3970,84
-3960,84
-3950,85
-3940,85
-3930,86
-3920,86
-3910,87
-3900,87
-3890,88
-3880,88
-3870,88
-3860,88
-3850,88
-3840,88
-3830,88
-3820,89
-3810,92
-3800,92
-3790,93
-3780,93
-3770,93
-3760,93
-3750,96
-3740,98
-3730,98
-3720,98
-3710,98
-3700,98
-3690,98
-3680,99
-3670,99
-3660,100
-3650,100
-3640,101
-3630,101
-3620,101
-3610,101
-3600,102
