cls,window_ms,D_mm,phase_i,phase_j,origin_y_mm,origin_z_mm,n_included,n_correct,match_fraction
SHORT,400,200,0,0,-2910.0000,0.0000,47,24,0.510638
SHORT,400,200,0,1,-2910.0000,20.0000,47,21,0.446809
SHORT,400,200,0,2,-2910.0000,40.0000,47,21,0.446809
SHORT,400,200,0,3,-2910.0000,60.0000,47,26,0.553191
SHORT,400,200,0,4,-2910.0000,80.0000,47,28,0.595745
SHORT,400,200,0,5,-2910.0000,100.0000,47,26,0.553191
SHORT,400,200,0,6,-2910.0000,120.0000,47,25,0.531915
SHORT,400,200,0,7,-2910.0000,140.0000,47,26,0.553191
SHORT,400,200,0,8,-2910.0000,160.0000,47,27,0.574468
SHORT,400,200,0,9,-2910.0000,180.0000,47,27,0.574468
SHORT,400,200,1,0,-2890.0000,0.0000,47,26,0.553191
SHORT,400,200,1,1,-2890.0000,20.0000,47,24,0.510638
SHORT,400,200,1,2,-2890.0000,40.0000,47,23,0.489362
SHORT,400,200,1,3,-2890.0000,60.0000,47,26,0.553191
SHORT,400,200,1,4,-2890.0000,80.0000,47,27,0.574468
SHORT,400,200,1,5,-2890.0000,100.0000,47,25,0.531915
SHORT,400,200,1,6,-2890.0000,120.0000,47,25,0.531915
SHORT,400,200,1,7,-2890.0000,140.0000,47,27,0.574468
SHORT,400,200,1,8,-2890.0000,160.0000,47,28,0.595745
SHORT,400,200,1,9,-2890.0000,180.0000,47,28,0.595745
SHORT,400,200,2,0,-2870.0000,0.0000,47,32,0.680851
SHORT,400,200,2,1,-2870.0000,20.0000,47,28,0.595745
SHORT,400,200,2,2,-2870.0000,40.0000,47,27,0.574468
SHORT,400,200,2,3,-2870.0000,60.0000,47,30,0.638298
SHORT,400,200,2,4,-2870.0000,80.0000,47,31,0.659574
SHORT,400,200,2,5,-2870.0000,100.0000,47,28,0.595745
SHORT,400,200,2,6,-2870.0000,120.0000,47,29,0.617021
SHORT,400,200,2,7,-2870.0000,140.0000,47,30,0.638298
SHORT,400,200,2,8,-2870.0000,160.0000,47,30,0.638298
SHORT,400,200,2,9,-2870.0000,180.0000,47,32,0.680851
SHORT,400,200,3,0,-2850.0000,0.0000,47,29,0.617021
SHORT,400,200,3,1,-2850.0000,20.0000,47,25,0.531915
SHORT,400,200,3,2,-2850.0000,40.0000,47,24,0.510638
SHORT,400,200,3,3,-2850.0000,60.0000,47,28,0.595745
SHORT,400,200,3,4,-2850.0000,80.0000,47,29,0.617021
SHORT,400,200,3,5,-2850.0000,100.0000,47,25,0.531915
SHORT,400,200,3,6,-2850.0000,120.0000,47,26,0.553191
SHORT,400,200,3,7,-2850.0000,140.0000,47,27,0.574468
SHORT,400,200,3,8,-2850.0000,160.0000,47,27,0.574468
SHORT,400,200,3,9,-2850.0000,180.0000,47,29,0.617021
SHORT,400,200,4,0,-2830.0000,0.0000,47,29,0.617021
SHORT,400,200,4,1,-2830.0000,20.0000,47,26,0.553191
SHORT,400,200,4,2,-2830.0000,40.0000,47,24,0.510638
SHORT,400,200,4,3,-2830.0000,60.0000,47,30,0.638298
SHORT,400,200,4,4,-2830.0000,80.0000,47,31,0.659574
SHORT,400,200,4,5,-2830.0000,100.0000,47,27,0.574468
SHORT,400,200,4,6,-2830.0000,120.0000,47,27,0.574468
SHORT,400,200,4,7,-2830.0000,140.0000,47,28,0.595745
SHORT,400,200,4,8,-2830.0000,160.0000,47,28,0.595745
SHORT,400,200,4,9,-2830.0000,180.0000,47,30,0.638298
SHORT,400,200,5,0,-2810.0000,0.0000,47,27,0.574468
SHORT,400,200,5,1,-2810.0000,20.0000,47,27,0.574468
SHORT,400,200,5,2,-2810.0000,40.0000,47,24,0.510638
SHORT,400,200,5,3,-2810.0000,60.0000,47,30,0.638298
SHORT,400,200,5,4,-2810.0000,80.0000,47,31,0.659574
SHORT,400,200,5,5,-2810.0000,100.0000,47,28,0.595745
SHORT,400,200,5,6,-2810.0000,120.0000,47,27,0.574468
SHORT,400,200,5,7,-2810.0000,140.0000,47,27,0.574468
SHORT,400,200,5,8,-2810.0000,160.0000,47,27,0.574468
SHORT,400,200,5,9,-2810.0000,180.0000,47,29,0.617021
SHORT,400,200,6,0,-2790.0000,0.0000,47,28,0.595745
SHORT,400,200,6,1,-2790.0000,20.0000,47,28,0.595745
SHORT,400,200,6,2,-2790.0000,40.0000,47,25,0.531915
SHORT,400,200,6,3,-2790.0000,60.0000,47,30,0.638298
SHORT,400,200,6,4,-2790.0000,80.0000,47,31,0.659574
SHORT,400,200,6,5,-2790.0000,100.0000,47,27,0.574468
SHORT,400,200,6,6,-2790.0000,120.0000,47,27,0.574468
SHORT,400,200,6,7,-2790.0000,140.0000,47,27,0.574468
SHORT,400,200,6,8,-2790.0000,160.0000,47,27,0.574468
