session,flight,flight_id,cls,window_ms,D_mm,ref_row,ref_col,pred_row,pred_col,match,cy_ref,cz_ref,cy_own,cz_own
2026_07_15_gym,flight_17,2026_07_15_gym/flight_17,SHORT,400,200,12,16,12,15,False,308.7450,2440.2234,134.8920,2493.4231
2026_07_15_gym,flight_33,2026_07_15_gym/flight_33,SHORT,400,200,6,18,6,17,False,847.5983,1336.5944,621.4942,1345.7319
2026_07_15_gym,flight_52,2026_07_15_gym/flight_52,SHORT,400,200,4,16,4,16,True,445.2437,941.9632,347.3195,940.8320
2026_07_15_gym,flight_53,2026_07_15_gym/flight_53,SHORT,400,200,3,19,3,18,False,917.7359,670.0211,836.3495,669.3727
2026_07_15_gym,flight_56,2026_07_15_gym/flight_56,SHORT,400,200,4,16,4,16,True,302.9030,813.1907,318.9548,818.6406
2026_07_15_gym,flight_60,2026_07_15_gym/flight_60,SHORT,400,200,3,16,3,16,True,382.5731,758.5657,372.5464,772.2927
2026_07_21_gym,flight_11,2026_07_21_gym/flight_11,SHORT,400,200,2,22,3,21,False,1566.3291,588.2383,1445.3253,601.3017
2026_07_21_gym,flight_115,2026_07_21_gym/flight_115,SHORT,400,200,6,18,6,18,True,838.2266,1343.1434,754.0289,1202.7389
2026_07_21_gym,flight_118,2026_07_21_gym/flight_118,SHORT,400,200,5,16,4,15,False,431.5127,1095.3220,256.1919,881.1421
2026_07_21_gym,flight_119,2026_07_21_gym/flight_119,SHORT,400,200,3,18,3,18,True,727.0311,708.7948,760.4864,753.1441
2026_07_21_gym,flight_12,2026_07_21_gym/flight_12,SHORT,400,200,3,19,2,19,False,1027.2504,648.6292,1009.3778,594.6157
2026_07_21_gym,flight_13,2026_07_21_gym/flight_13,SHORT,400,200,4,18,4,19,False,867.3622,928.8121,927.8650,946.9908
2026_07_21_gym,flight_14,2026_07_21_gym/flight_14,SHORT,400,200,2,20,2,20,True,1175.1617,451.7246,1167.6671,443.6412
2026_07_21_gym,flight_15,2026_07_21_gym/flight_15,SHORT,400,200,7,18,7,18,True,733.3937,1442.5177,731.6165,1478.0702
2026_07_21_gym,flight_16,2026_07_21_gym/flight_16,SHORT,400,200,2,18,2,18,True,733.0109,488.5736,823.7589,487.8313
2026_07_21_gym,flight_18,2026_07_21_gym/flight_18,SHORT,400,200,1,12,1,13,False,-361.3933,337.4237,-163.1844,335.5473
2026_07_21_gym,flight_19,2026_07_21_gym/flight_19,SHORT,400,200,4,16,3,16,False,389.2905,814.9237,312.1014,790.7951
2026_07_21_gym,flight_2,2026_07_21_gym/flight_2,SHORT,400,200,1,18,1,18,True,799.9221,304.5992,786.0494,292.6255
2026_07_21_gym,flight_20,2026_07_21_gym/flight_20,SHORT,400,200,5,17,5,17,True,659.4521,1034.7235,684.9977,1037.1535
2026_07_21_gym,flight_3,2026_07_21_gym/flight_3,SHORT,400,200,6,15,6,15,True,197.6076,1256.7685,190.1627,1210.3650
2026_07_21_gym,flight_54,2026_07_21_gym/flight_54,SHORT,400,200,7,16,7,16,True,443.1584,1474.4993,444.0597,1428.6962
2026_07_21_gym,flight_6,2026_07_21_gym/flight_6,SHORT,400,200,3,16,3,16,True,343.7293,797.8586,331.8106,795.7426
2026_07_21_gym,flight_61,2026_07_21_gym/flight_61,SHORT,400,200,2,21,2,20,False,1335.9711,523.3557,1285.9749,490.3761
2026_07_21_gym,flight_62,2026_07_21_gym/flight_62,SHORT,400,200,6,17,6,17,True,672.4618,1340.2053,662.4891,1319.3270
2026_07_21_gym,flight_63,2026_07_21_gym/flight_63,SHORT,400,200,4,17,3,17,False,625.2754,830.7890,505.3223,793.4264
2026_07_21_gym,flight_64,2026_07_21_gym/flight_64,SHORT,400,200,6,15,5,15,False,245.2022,1217.3062,157.9781,1184.7168
2026_07_21_gym,flight_65,2026_07_21_gym/flight_65,SHORT,400,200,2,16,2,16,True,432.1015,585.2489,461.9271,552.5619
2026_07_21_gym,flight_66,2026_07_21_gym/flight_66,SHORT,400,200,1,16,1,15,False,299.8348,328.8815,273.4509,295.9737
2026_07_21_gym,flight_68,2026_07_21_gym/flight_68,SHORT,400,200,5,21,4,21,False,1356.5307,1058.9734,1326.3498,999.9823
2026_07_21_gym,flight_69,2026_07_21_gym/flight_69,SHORT,400,200,7,17,6,16,False,571.7132,1400.1898,416.0917,1392.2565
2026_07_21_gym,flight_70,2026_07_21_gym/flight_70,SHORT,400,200,3,17,3,17,True,602.1815,658.0310,604.4305,627.6367
2026_07_21_gym,flight_72,2026_07_21_gym/flight_72,SHORT,400,200,3,17,3,17,True,494.1916,723.2996,498.1310,685.5239
2026_07_21_gym,flight_73,2026_07_21_gym/flight_73,SHORT,400,200,5,20,5,20,True,1254.4479,1195.7443,1245.9292,1121.8885
2026_07_21_gym,flight_74,2026_07_21_gym/flight_74,SHORT,400,200,6,22,6,22,True,1662.5648,1325.1526,1544.1986,1284.5865
2026_07_21_gym,flight_75,2026_07_21_gym/flight_75,SHORT,400,200,4,20,4,21,False,1184.5493,923.7531,1311.1714,884.6287
