cls,window_ms,D_mm,grid_rows,grid_cols,n_included,n_correct,match_fraction,clears_94_2
SHORT,400,200,20,25,47,24,0.510638,False
SHORT,400,250,16,20,47,32,0.680851,False
SHORT,400,300,14,17,47,31,0.659574,False
SHORT,400,400,10,13,47,39,0.829787,False
SHORT,400,500,8,10,47,40,0.851064,False
SHORT,400,600,7,9,47,39,0.829787,False
SHORT,400,800,5,7,47,42,0.893617,False
SHORT,400,1000,4,5,47,43,0.914894,False
SHORT,400,1250,4,4,47,42,0.893617,False
SHORT,400,1670,3,3,47,43,0.914894,False
SHORT,400,2500,2,2,47,46,0.978723,True
LONG,850,200,20,25,60,27,0.450000,False
LONG,850,250,16,20,60,42,0.700000,False
LONG,850,300,14,17,60,39,0.650000,False
LONG,850,400,10,13,60,43,0.716667,False
LONG,850,500,8,10,60,55,0.916667,False
LONG,850,600,7,9,60,49,0.816667,False
LONG,850,800,5,7,60,52,0.866667,False
LONG,850,1000,4,5,60,58,0.966667,True
LONG,850,1250,4,4,60,53,0.883333,False
LONG,850,1670,3,3,60,56,0.933333,False
LONG,850,2500,2,2,60,60,1.000000,True
