cls,window_ms,D_mm,grid_rows,grid_cols,n_included,match_fraction_mean,match_fraction_min,match_fraction_max,match_fraction_sd,match_fraction_phase0,clears_94_2,clears_94_2_worst
SHORT,400,200,20,25,47,0.591277,0.446809,0.723404,0.053598,0.510638,False,False
SHORT,400,250,16,20,47,0.658298,0.574468,0.765957,0.052188,0.680851,False,False
SHORT,400,300,14,17,47,0.711489,0.595745,0.829787,0.054604,0.659574,False,False
SHORT,400,400,10,13,47,0.779574,0.617021,0.872340,0.054621,0.829787,False,False
SHORT,400,500,8,10,47,0.808298,0.680851,0.914894,0.053784,0.851064,False,False
SHORT,400,600,7,9,47,0.855532,0.723404,0.957447,0.047888,0.829787,False,False
SHORT,400,800,5,7,47,0.892766,0.787234,0.957447,0.034429,0.893617,False,False
SHORT,400,1000,4,5,47,0.897234,0.808511,1.000000,0.043817,0.914894,False,False
SHORT,400,1250,4,4,47,0.934894,0.851064,1.000000,0.033751,0.893617,False,False
SHORT,400,1670,3,3,47,0.951702,0.872340,1.000000,0.030068,0.914894,True,False
SHORT,400,2500,2,2,47,0.962340,0.872340,1.000000,0.028995,0.978723,True,False
LONG,850,200,20,25,60,0.596833,0.450000,0.666667,0.039489,0.450000,False,False
LONG,850,250,16,20,60,0.665000,0.566667,0.766667,0.040035,0.700000,False,False
LONG,850,300,14,17,60,0.705000,0.566667,0.833333,0.063048,0.650000,False,False
LONG,850,400,10,13,60,0.776167,0.666667,0.883333,0.046978,0.716667,False,False
LONG,850,500,8,10,60,0.815833,0.700000,0.916667,0.051660,0.916667,False,False
LONG,850,600,7,9,60,0.847833,0.766667,0.950000,0.041140,0.816667,False,False
LONG,850,800,5,7,60,0.881167,0.800000,0.966667,0.033965,0.866667,False,False
LONG,850,1000,4,5,60,0.901500,0.800000,0.983333,0.037572,0.966667,False,False
LONG,850,1250,4,4,60,0.929833,0.850000,0.983333,0.027517,0.883333,False,False
LONG,850,1670,3,3,60,0.957333,0.883333,1.000000,0.026386,0.933333,True,False
LONG,850,2500,2,2,60,0.967000,0.883333,1.000000,0.024942,1.000000,True,False
