session,flight,fps,phase,T_ms,status,airborne,n_detected,n_points_used,cy_own,cz_own,cy_ref,cz_ref,position_error_mm,velocity_error_mm_s,cls_own,hit_miss_match,t_cross_own_ms
2026_07_15_gym,flight_11,30,0,150,not_fit_eligible,True,5,5,,,,,,,,,
2026_07_15_gym,flight_11,30,0,200,not_fit_eligible,True,7,7,,,,,,,,,
2026_07_15_gym,flight_11,30,0,250,fit_failed,True,8,8,,,,,,,,,
2026_07_15_gym,flight_11,30,0,300,fit_failed,True,10,10,,,,,,,,,
2026_07_15_gym,flight_11,30,0,350,fit_failed,True,11,11,,,,,,,,,
2026_07_15_gym,flight_11,30,0,400,fit_failed,True,12,12,,,,,,,,,
2026_07_15_gym,flight_11,30,0,450,fit_failed,True,13,13,,,,,,,,,
2026_07_15_gym,flight_11,30,0,490,fit_failed,True,13,13,,,,,,,,,
2026_07_15_gym,flight_11,30,0,500,fit_failed,True,13,13,,,,,,,,,
2026_07_15_gym,flight_11,30,0,550,fit_failed,True,14,14,,,,,,,,,
2026_07_15_gym,flight_11,30,0,600,fit_failed,True,15,15,,,,,,,,,
2026_07_15_gym,flight_11,30,0,650,fit_failed,True,16,16,,,,,,,,,
2026_07_15_gym,flight_11,30,0,700,ok,True,18,18,1344.1204349801078,2707.4039683015885,1314.3592502562951,2917.588176914399,212.28078025661742,240.2060039641017,MISS_HIGH_WIDE,True,1204.5433122455793
2026_07_15_gym,flight_11,30,0,750,ok,True,19,19,1328.4756320082943,2730.22338903522,1314.3592502562951,2917.588176914399,187.89581147747253,215.4335637843507,MISS_HIGH_WIDE,True,1202.3269896670186
2026_07_15_gym,flight_11,30,0,800,ok,True,21,21,1353.6380982334313,2747.6679582042057,1314.3592502562951,2917.588176914399,174.40099949521755,172.86813733739768,MISS_HIGH_WIDE,True,1197.496463728311
2026_07_15_gym,flight_11,30,0,850,ok,True,21,21,1353.6380982334313,2747.6679582042057,1314.3592502562951,2917.588176914399,174.40099949521755,172.86813733739768,MISS_HIGH_WIDE,True,1197.496463728311
2026_07_15_gym,flight_11,30,0,900,ok,True,22,22,1356.3623639957455,2735.993527001442,1314.3592502562951,2917.588176914399,186.38905129008663,196.24856006864795,MISS_HIGH_WIDE,True,1200.5293129689637
2026_07_15_gym,flight_11,30,0,950,ok,True,22,22,1356.3623639957455,2735.993527001442,1314.3592502562951,2917.588176914399,186.38905129008663,196.24856006864795,MISS_HIGH_WIDE,True,1200.5293129689637
2026_07_15_gym,flight_11,30,0,1000,ok,True,24,24,1326.3330742949684,2781.9314671065335,1314.3592502562951,2917.588176914399,136.18412307609321,144.10547203461678,MISS_HIGH_WIDE,True,1195.5842860174423
2026_07_15_gym,flight_11,30,0,1050,ok,True,25,25,1393.1593112086741,2733.433390495921,1314.3592502562951,2917.588176914399,200.30585355134767,190.15767547032573,MISS_HIGH_WIDE,True,1198.3935532555927
2026_07_15_gym,flight_11,30,0,1100,fit_failed,True,26,26,,,,,,,,,
