rate,T_ms,n_phases,n_pair,median_err_60fps_paired_mm,median_err_rate_mm,ratio_rate_over_60,median_n_points_60fps_paired,median_n_points_rate
30,150,2,0,,,,,
30,200,2,0,,,,,
30,250,2,45,130.5547,137.0121,1.0495,16.0,8.0
30,300,2,108,96.5654,104.2970,1.0801,19.0,10.0
30,350,2,132,93.1136,99.8168,1.0720,22.0,11.0
30,400,2,168,97.9307,90.0901,0.9199,25.0,13.0
30,450,2,189,103.8536,106.4501,1.0250,28.0,14.0
30,490,2,193,94.3846,102.4730,1.0857,30.0,15.0
30,500,2,195,85.6323,91.8195,1.0723,31.0,16.0
30,550,2,196,79.7529,83.2653,1.0440,33.0,17.0
30,600,2,205,67.2869,66.0806,0.9821,36.0,19.0
30,650,2,207,58.4736,63.8783,1.0924,39.0,19.0
30,700,2,206,54.8563,63.3924,1.1556,41.0,21.0
30,750,2,207,52.9511,55.6070,1.0502,44.0,22.0
30,800,2,208,51.4196,50.3695,0.9796,46.0,24.0
30,850,2,213,44.5838,51.3470,1.1517,49.0,24.0
30,900,2,211,39.9605,41.8223,1.0466,51.0,26.0
30,950,2,211,39.4626,43.3105,1.0975,53.0,27.0
30,1000,2,210,39.0171,35.7527,0.9163,56.0,28.0
30,1050,2,210,34.9113,36.0192,1.0317,58.0,29.0
30,1100,2,203,26.8029,31.5611,1.1775,61.0,31.0
30,1150,2,208,25.3500,29.3224,1.1567,64.0,32.0
30,1200,2,208,26.2750,25.3592,0.9651,66.0,33.5
30,1250,2,208,25.4931,24.7162,0.9695,69.0,34.0
20,150,1,0,,,,,
20,200,1,0,,,,,
20,250,1,0,,,,,
20,300,1,0,,,,,
20,350,1,28,73.6766,107.4540,1.4585,22.0,8.0
20,400,1,44,118.7347,87.2646,0.7350,25.0,9.0
20,450,1,66,80.0064,92.4566,1.1556,28.0,10.0
20,490,1,66,76.9570,92.4566,1.2014,30.0,10.0
20,500,1,82,78.1179,73.9276,0.9464,31.0,11.0
20,550,1,90,70.1363,84.7890,1.2089,33.0,12.0
20,600,1,95,54.9469,67.0762,1.2207,36.0,13.0
20,650,1,98,56.5734,65.3254,1.1547,39.0,14.0
20,700,1,101,61.9062,60.5703,0.9784,41.0,15.0
20,750,1,99,52.8724,56.5875,1.0703,44.0,15.0
20,800,1,102,52.6021,62.5141,1.1884,46.0,16.0
20,850,1,105,44.5838,56.6013,1.2695,49.0,17.0
20,900,1,102,41.8710,54.0884,1.2918,51.0,18.0
20,950,1,104,40.8151,45.1140,1.1053,53.0,18.0
20,1000,1,103,37.3300,41.5071,1.1119,56.0,19.0
20,1050,1,103,34.9646,39.7134,1.1358,59.0,20.0
20,1100,1,100,27.0114,35.6384,1.3194,61.0,21.0
20,1150,1,100,25.6311,35.1044,1.3696,64.0,22.0
20,1200,1,100,26.2750,31.5696,1.2015,66.0,22.0
20,1250,1,102,25.4931,28.3194,1.1109,69.0,23.0
