rate,T_ms,n_flights_common,n_phases,n_observations,median_err_mm,median_n_points,ratio_vs_60
60,150,0,1,0,,,
30,150,0,2,0,,,
20,150,0,1,0,,,
60,200,0,1,0,,,
30,200,0,2,0,,,
20,200,0,1,0,,,
60,250,0,1,0,,,
30,250,0,2,0,,,
20,250,0,1,0,,,
60,300,0,1,0,,,
30,300,0,2,0,,,
20,300,0,1,0,,,
60,350,19,1,19,67.8386,22.0,1.0000
30,350,19,2,38,82.1222,11.0,1.2106
20,350,19,1,19,79.5931,8.0,1.1733
60,400,42,1,42,103.9631,25.0,1.0000
30,400,42,2,84,76.1220,13.0,0.7322
20,400,42,1,42,83.2825,9.0,0.8011
60,450,63,1,63,70.8518,28.0,1.0000
30,450,63,2,126,83.3803,14.0,1.1768
20,450,63,1,63,89.0112,10.0,1.2563
60,490,65,1,65,77.3910,30.0,1.0000
30,490,65,2,130,80.6413,15.0,1.0420
20,490,65,1,65,95.9020,10.0,1.2392
60,500,78,1,78,75.1006,31.0,1.0000
30,500,78,2,156,73.5984,16.0,0.9800
20,500,78,1,78,69.3768,11.0,0.9238
60,550,84,1,84,64.9463,34.0,1.0000
30,550,84,2,168,74.2098,17.0,1.1426
20,550,84,1,84,79.5223,12.0,1.2244
60,600,91,1,91,49.6865,36.0,1.0000
30,600,91,2,182,58.5884,19.0,1.1792
20,600,91,1,91,66.0611,13.0,1.3296
60,650,95,1,95,55.9312,39.0,1.0000
30,650,95,2,190,57.6469,20.0,1.0307
20,650,95,1,95,62.0472,14.0,1.1093
60,700,96,1,96,52.4177,41.0,1.0000
30,700,96,2,192,60.9717,21.0,1.1632
20,700,96,1,96,60.0242,15.0,1.1451
60,750,96,1,96,52.2203,44.0,1.0000
30,750,96,2,192,51.1808,22.0,0.9801
20,750,96,1,96,54.6444,15.0,1.0464
60,800,99,1,99,51.3202,46.0,1.0000
30,800,99,2,198,48.2007,24.0,0.9392
20,800,99,1,99,61.7058,16.0,1.2024
60,850,104,1,104,43.7670,49.0,1.0000
30,850,104,2,208,51.1121,24.0,1.1678
20,850,104,1,104,55.5320,17.0,1.2688
60,900,101,1,101,41.4460,51.0,1.0000
30,900,101,2,202,41.1060,26.0,0.9918
20,900,101,1,101,53.9574,18.0,1.3019
60,950,102,1,102,39.6682,53.0,1.0000
30,950,102,2,204,41.8364,27.0,1.0547
20,950,102,1,102,44.4264,18.0,1.1199
60,1000,101,1,101,37.3300,56.0,1.0000
30,1000,101,2,202,35.0655,28.0,0.9393
20,1000,101,1,101,41.5071,19.0,1.1119
60,1050,101,1,101,34.8580,59.0,1.0000
30,1050,101,2,202,35.8241,29.0,1.0277
20,1050,101,1,101,39.3045,20.0,1.1276
60,1100,98,1,98,26.7062,61.0,1.0000
30,1100,98,2,196,31.0795,31.0,1.1638
20,1100,98,1,98,35.6384,21.0,1.3345
60,1150,99,1,99,25.3500,64.0,1.0000
30,1150,99,2,198,28.7949,32.0,1.1359
20,1150,99,1,99,35.0190,22.0,1.3814
60,1200,100,1,100,26.2750,66.0,1.0000
30,1200,100,2,200,24.9319,34.0,0.9489
20,1200,100,1,100,31.5696,22.0,1.2015
60,1250,99,1,99,25.3126,69.0,1.0000
30,1250,99,2,198,24.1623,34.0,0.9546
20,1250,99,1,99,27.4493,23.0,1.0844
