rate,T_ms,n_phases,n_total,n_failed,fail_fraction
60,150,1,107,45,0.420561
60,200,1,107,17,0.158879
60,250,1,107,11,0.102804
60,300,1,107,1,0.009346
60,350,1,107,0,0.000000
60,400,1,107,0,0.000000
60,450,1,107,1,0.009346
60,490,1,107,1,0.009346
60,500,1,107,1,0.009346
60,550,1,107,1,0.009346
60,600,1,107,0,0.000000
60,650,1,107,0,0.000000
60,700,1,107,0,0.000000
60,750,1,107,0,0.000000
60,800,1,107,1,0.009346
60,850,1,107,0,0.000000
60,900,1,107,1,0.009346
60,950,1,107,0,0.000000
60,1000,1,107,0,0.000000
60,1050,1,107,0,0.000000
60,1100,1,107,4,0.037383
60,1150,1,107,0,0.000000
60,1200,1,107,2,0.018692
60,1250,1,107,1,0.009346
30,150,2,214,214,1.000000
30,200,2,214,214,1.000000
30,250,2,214,169,0.789720
30,300,2,214,106,0.495327
30,350,2,214,82,0.383178
30,400,2,214,46,0.214953
30,450,2,214,25,0.116822
30,490,2,214,21,0.098131
30,500,2,214,19,0.088785
30,550,2,214,18,0.084112
30,600,2,214,9,0.042056
30,650,2,214,7,0.032710
30,700,2,214,8,0.037383
30,750,2,214,7,0.032710
30,800,2,214,4,0.018692
30,850,2,214,1,0.004673
30,900,2,214,2,0.009346
30,950,2,214,3,0.014019
30,1000,2,214,4,0.018692
30,1050,2,214,4,0.018692
30,1100,2,214,6,0.028037
30,1150,2,214,6,0.028037
30,1200,2,214,4,0.018692
30,1250,2,214,5,0.023364
20,150,1,107,107,1.000000
20,200,1,107,107,1.000000
20,250,1,107,107,1.000000
20,300,1,107,107,1.000000
20,350,1,107,79,0.738318
20,400,1,107,63,0.588785
20,450,1,107,41,0.383178
20,490,1,107,41,0.383178
20,500,1,107,25,0.233645
20,550,1,107,17,0.158879
20,600,1,107,12,0.112150
20,650,1,107,9,0.084112
20,700,1,107,6,0.056075
20,750,1,107,8,0.074766
20,800,1,107,4,0.037383
20,850,1,107,2,0.018692
20,900,1,107,4,0.037383
20,950,1,107,3,0.028037
20,1000,1,107,4,0.037383
20,1050,1,107,4,0.037383
20,1100,1,107,3,0.028037
20,1150,1,107,7,0.065421
20,1200,1,107,7,0.065421
20,1250,1,107,5,0.046729
