cls,A,window,mode_a,mode_b,n
SHORT,72.0,300,no_response,late,0
SHORT,72.0,300,no_response,wrong_class,0
SHORT,72.0,300,no_response,wrong_position,0
SHORT,72.0,300,no_response,wrong_velocity,0
SHORT,72.0,300,late,wrong_class,0
SHORT,72.0,300,late,wrong_position,1
SHORT,72.0,300,late,wrong_velocity,0
SHORT,72.0,300,wrong_class,wrong_position,2
SHORT,72.0,300,wrong_class,wrong_velocity,0
SHORT,72.0,300,wrong_position,wrong_velocity,0
LONG,72.0,700,no_response,late,0
LONG,72.0,700,no_response,wrong_class,0
LONG,72.0,700,no_response,wrong_position,0
LONG,72.0,700,no_response,wrong_velocity,0
LONG,72.0,700,late,wrong_class,0
LONG,72.0,700,late,wrong_position,0
LONG,72.0,700,late,wrong_velocity,0
LONG,72.0,700,wrong_class,wrong_position,1
LONG,72.0,700,wrong_class,wrong_velocity,0
LONG,72.0,700,wrong_position,wrong_velocity,0
SHORT,135.0,250,no_response,late,0
SHORT,135.0,250,no_response,wrong_class,0
SHORT,135.0,250,no_response,wrong_position,0
SHORT,135.0,250,no_response,wrong_velocity,0
SHORT,135.0,250,late,wrong_class,0
SHORT,135.0,250,late,wrong_position,3
SHORT,135.0,250,late,wrong_velocity,0
SHORT,135.0,250,wrong_class,wrong_position,2
SHORT,135.0,250,wrong_class,wrong_velocity,0
SHORT,135.0,250,wrong_position,wrong_velocity,0
LONG,135.0,700,no_response,late,0
LONG,135.0,700,no_response,wrong_class,0
LONG,135.0,700,no_response,wrong_position,0
LONG,135.0,700,no_response,wrong_velocity,0
LONG,135.0,700,late,wrong_class,0
LONG,135.0,700,late,wrong_position,1
LONG,135.0,700,late,wrong_velocity,0
LONG,135.0,700,wrong_class,wrong_position,1
LONG,135.0,700,wrong_class,wrong_velocity,0
LONG,135.0,700,wrong_position,wrong_velocity,0
SHORT,220.0,200,no_response,late,0
SHORT,220.0,200,no_response,wrong_class,0
SHORT,220.0,200,no_response,wrong_position,0
SHORT,220.0,200,no_response,wrong_velocity,0
SHORT,220.0,200,late,wrong_class,0
SHORT,220.0,200,late,wrong_position,7
SHORT,220.0,200,late,wrong_velocity,0
SHORT,220.0,200,wrong_class,wrong_position,1
SHORT,220.0,200,wrong_class,wrong_velocity,0
SHORT,220.0,200,wrong_position,wrong_velocity,0
LONG,220.0,600,no_response,late,0
LONG,220.0,600,no_response,wrong_class,0
LONG,220.0,600,no_response,wrong_position,0
LONG,220.0,600,no_response,wrong_velocity,0
LONG,220.0,600,late,wrong_class,0
LONG,220.0,600,late,wrong_position,0
LONG,220.0,600,late,wrong_velocity,0
LONG,220.0,600,wrong_class,wrong_position,1
LONG,220.0,600,wrong_class,wrong_velocity,0
LONG,220.0,600,wrong_position,wrong_velocity,0
