cls2,T_ms,n_total,n_ok,n_fit_failed,median_mm,q1_mm,q3_mm
SHORT,150,47,37,10,180.2634,126.5838,298.6230
SHORT,200,47,45,2,127.3850,92.5632,215.8925
SHORT,250,47,45,2,121.3012,78.5794,186.4350
SHORT,300,47,47,0,86.2700,63.0353,153.0523
SHORT,350,47,47,0,67.8386,53.2016,113.6156
SHORT,400,47,47,0,59.8939,35.3819,95.8164
SHORT,450,47,47,0,50.1174,30.8809,84.9742
SHORT,490,47,47,0,45.6390,27.0125,76.7479
SHORT,500,47,47,0,46.2722,28.0506,64.1324
SHORT,550,47,47,0,33.3253,19.8186,54.1730
SHORT,600,47,47,0,24.7949,17.5301,52.2458
SHORT,650,47,47,0,25.7108,17.2551,42.7988
SHORT,700,47,47,0,24.0561,12.6931,42.9747
SHORT,750,47,47,0,21.6761,12.7570,49.7787
SHORT,800,47,47,0,21.6761,13.8736,38.4986
SHORT,850,47,47,0,21.6393,11.8731,37.3285
SHORT,900,47,47,0,20.3827,11.9192,36.7969
SHORT,950,47,47,0,20.3827,12.0841,41.5830
SHORT,1000,47,47,0,20.3827,12.3226,39.3337
SHORT,1050,47,47,0,21.6393,12.3226,40.9513
SHORT,1100,47,47,0,20.3827,12.3226,36.5249
SHORT,1150,47,47,0,20.3827,12.3226,36.5249
SHORT,1200,47,46,1,21.0110,11.8319,36.9275
SHORT,1250,47,47,0,20.3827,10.3067,36.5249
LONG,150,60,25,35,549.4609,356.7755,784.3780
LONG,200,60,45,15,391.5251,263.0836,673.4954
LONG,250,60,51,9,373.8780,233.1083,603.6958
LONG,300,60,59,1,340.7887,181.1223,491.2832
LONG,350,60,60,0,248.4622,154.2152,426.7769
LONG,400,60,60,0,224.3718,142.3756,296.8114
LONG,450,60,59,1,178.4563,123.5326,277.4751
LONG,490,60,59,1,156.3132,105.5082,241.6035
LONG,500,60,59,1,171.8490,111.4784,237.6890
LONG,550,60,59,1,145.7306,103.0487,210.3791
LONG,600,60,60,0,115.0109,74.4348,175.9294
LONG,650,60,60,0,110.1279,76.8328,142.8562
LONG,700,60,60,0,90.6697,64.0961,133.2419
LONG,750,60,60,0,91.1081,53.8394,125.2208
LONG,800,60,59,1,76.6731,56.8500,113.1694
LONG,850,60,60,0,64.6785,42.6289,93.8179
LONG,900,60,59,1,63.5646,38.6774,87.7273
LONG,950,60,60,0,54.6471,34.3163,82.0604
LONG,1000,60,60,0,51.2459,35.4434,72.3639
LONG,1050,60,60,0,44.4986,28.6033,64.4601
LONG,1100,60,56,4,39.2805,23.7667,62.8008
LONG,1150,60,60,0,34.8542,20.1819,57.6972
LONG,1200,60,59,1,34.3505,23.3220,47.3568
LONG,1250,60,59,1,34.1685,21.4908,51.6987
