cls,A,plateau_window,is_selected,plateau_size,plateau_contiguous,success_rate,n_ok,pos_median,pos_p90,pos_max,selected_window,success_rate_h,window_f,success_rate_f,delta_pp,success,wrong_velocity,wrong_class,late,no_response,n_total,n_fit_failed,hit_miss_rate,bias_x,rms_x,bias_y,rms_y,bias_z,rms_z,ind_no_response,ind_late,ind_wrong_class,ind_wrong_velocity,ind_wrong_position,fail_position_only,success_rate_if_position_kept
SHORT,72.0000,200,True,1,True,93.6170,45,127.3850,350.1814,851.3886,200,93.6170,300,53.1915,40.4255,44,0,1,0,2,47,2,97.7778,-96.8557,171.8165,83.5283,304.6696,-92.6375,141.0932,2,0,1,0,30,29,31.9149
LONG,72.0000,600,False,3,True,98.3333,60,115.0109,316.6314,649.8355,700,98.3333,700,56.6667,41.6667,59,0,1,0,0,60,0,98.3333,-23.0774,50.9988,16.8097,67.3690,-77.1370,112.2960,0,0,1,0,26,25,56.6667
LONG,72.0000,650,False,3,True,98.3333,60,110.1279,179.8939,401.6472,700,98.3333,700,56.6667,41.6667,59,0,1,0,0,60,0,98.3333,-23.0774,50.9988,16.8097,67.3690,-77.1370,112.2960,0,0,1,0,26,25,56.6667
LONG,72.0000,700,True,3,True,98.3333,60,90.6697,179.4804,576.6562,700,98.3333,700,56.6667,41.6667,59,0,1,0,0,60,0,98.3333,-23.0774,50.9988,16.8097,67.3690,-77.1370,112.2960,0,0,1,0,26,25,56.6667
SHORT,135.0000,200,True,1,True,93.6170,45,127.3850,350.1814,851.3886,200,93.6170,250,36.1702,57.4468,44,0,1,0,2,47,2,97.7778,-96.8557,171.8165,83.5283,304.6696,-92.6375,141.0932,2,0,1,0,30,29,31.9149
LONG,135.0000,600,False,2,True,98.3333,60,115.0109,316.6314,649.8355,650,98.3333,700,53.3333,45.0000,59,0,1,0,0,60,0,98.3333,-29.9408,58.4270,31.3234,78.3593,-84.6871,119.8784,0,0,1,0,34,33,43.3333
LONG,135.0000,650,True,2,True,98.3333,60,110.1279,179.8939,401.6472,650,98.3333,700,53.3333,45.0000,59,0,1,0,0,60,0,98.3333,-29.9408,58.4270,31.3234,78.3593,-84.6871,119.8784,0,0,1,0,34,33,43.3333
SHORT,220.0000,150,False,2,True,74.4681,37,180.2634,484.3956,771.9530,200,74.4681,200,27.6596,46.8085,35,0,1,9,2,47,2,97.7778,-96.8557,171.8165,83.5283,304.6696,-92.6375,141.0932,2,9,1,0,30,22,27.6596
SHORT,220.0000,200,True,2,True,74.4681,45,127.3850,350.1814,851.3886,200,74.4681,200,27.6596,46.8085,35,0,1,9,2,47,2,97.7778,-96.8557,171.8165,83.5283,304.6696,-92.6375,141.0932,2,9,1,0,30,22,27.6596
LONG,220.0000,600,True,1,True,98.3333,60,115.0109,316.6314,649.8355,600,98.3333,600,38.3333,60.0000,59,0,1,0,0,60,0,98.3333,-40.3173,73.9767,41.8335,111.7854,-110.1897,153.1645,0,0,1,0,37,36,38.3333
