flight_id,registration,elevation_bin,symmetric,label_Y,label_Z,modelc_Y,modelc_Z,cls_label,cls_modelc,cls_ref,agree,edge_dist_label,edge_dist_modelc,pos_err_total_mm
flight_88,REG_21_2,FLAT,True,1964.5425,1276.2403,2083.9896,1265.8176,HIT,MISS_HIGH_WIDE,MISS_HIGH_WIDE,False,35.4575,-83.9896,119.9010
flight_22,REG_15,LOB,True,-39.5538,932.4598,-54.0166,963.2891,MISS_HIGH_WIDE,MISS_HIGH_WIDE,MISS_HIGH_WIDE,True,-39.5538,-54.0166,34.0532
flight_109,REG_21_2,LOB,True,622.1429,1890.4403,513.9416,1988.5499,HIT,HIT,HIT,True,109.5597,11.4501,146.0582
flight_14,REG_15,LOB,True,1451.4297,1865.7238,1543.2301,1793.9839,HIT,HIT,HIT,True,134.2762,206.0161,116.5072
flight_6,REG_21_1,FLAT,True,326.4342,761.8819,343.7293,797.8586,HIT,HIT,HIT,True,326.4342,343.7293,39.9180
flight_19,REG_21_1,MID,True,443.5689,760.2332,389.2905,814.9237,HIT,HIT,HIT,True,443.5689,389.2905,77.0531
flight_12,REG_15,LOB,True,376.0383,1288.8322,415.1586,1259.7583,HIT,HIT,HIT,True,376.0383,415.1586,48.7411
flight_118,REG_21_2,MID,True,614.4431,961.9512,431.5127,1095.3220,HIT,HIT,HIT,True,614.4431,431.5127,226.3875
flight_11,REG_21_1,MID,False,1645.3797,503.5829,1566.3291,588.2383,HIT,HIT,HIT,True,354.6203,433.6709,115.8255
flight_107,REG_21_2,LOB,False,705.2403,391.1774,483.4547,474.0390,HIT,HIT,HIT,True,391.1774,474.0390,236.7592
flight_15,REG_21_1,MID,True,784.2626,1393.6522,733.3937,1442.5177,HIT,HIT,HIT,True,606.3478,557.4823,70.5371
flight_69,REG_21_2,FLAT,True,396.8888,1435.0280,571.7132,1400.1898,HIT,HIT,HIT,True,396.8888,571.7132,178.2618
flight_33,REG_15,MID,True,917.2372,1257.1305,847.5983,1336.5944,HIT,HIT,HIT,True,742.8695,663.4056,105.6603
flight_53,REG_15,FLAT,True,1133.9973,586.1132,917.7359,670.0211,HIT,HIT,HIT,True,586.1132,670.0211,231.9689
flight_119,REG_21_2,MID,False,891.9528,563.0628,727.0311,708.7948,HIT,HIT,HIT,True,563.0628,708.7948,220.0841
flight_73,REG_21_2,MID,True,1201.6683,1203.6875,1254.4479,1195.7443,HIT,HIT,HIT,True,796.3125,745.5521,53.3740
flight_56,REG_21_1,LOB,True,1346.0302,779.8713,1205.4388,893.5469,HIT,HIT,HIT,True,653.9698,794.5612,180.7985
flight_75,REG_21_2,FLAT,True,1011.7098,941.6682,1184.5493,923.7531,HIT,HIT,HIT,True,941.6682,815.4507,173.7655
flight_13,REG_21_1,FLAT,True,872.5685,875.2415,867.3622,928.8121,HIT,HIT,HIT,True,872.5685,867.3622,53.8231
flight_87,REG_21_2,FLAT,True,1002.5411,970.4781,1042.5758,993.5857,HIT,HIT,HIT,True,970.4781,957.4242,46.2249
