session,flight_id,registration,elevation_bin,symmetric,t_cross_label_ms,t_cross_modelc_ms,diff_ms,abs_diff_ms
2026_07_21_gym,flight_119,REG_21_2,MID,False,1008.2939,984.3851,23.9088,23.9088
2026_07_21_gym,flight_118,REG_21_2,MID,True,1104.1610,1080.9885,23.1724,23.1724
2026_07_21_gym,flight_56,REG_21_1,LOB,True,1274.6101,1251.7445,22.8656,22.8656
2026_07_15_gym,flight_53,REG_15,FLAT,True,603.9675,582.2794,21.6882,21.6882
2026_07_21_gym,flight_107,REG_21_2,LOB,False,1274.3551,1255.3945,18.9606,18.9606
2026_07_21_gym,flight_109,REG_21_2,LOB,True,1095.2263,1080.8534,14.3729,14.3729
2026_07_15_gym,flight_33,REG_15,MID,True,1131.5140,1118.5595,12.9545,12.9545
2026_07_21_gym,flight_75,REG_21_2,FLAT,True,629.6561,640.1714,-10.5152,10.5152
2026_07_21_gym,flight_69,REG_21_2,FLAT,True,610.3955,620.1357,-9.7401,9.7401
2026_07_21_gym,flight_88,REG_21_2,FLAT,True,604.0899,612.6579,-8.5680,8.5680
2026_07_15_gym,flight_14,REG_15,LOB,True,1269.0608,1277.2822,-8.2213,8.2213
2026_07_21_gym,flight_11,REG_21_1,MID,False,877.7946,870.7220,7.0726,7.0726
2026_07_21_gym,flight_19,REG_21_1,MID,True,898.6848,891.7300,6.9548,6.9548
2026_07_21_gym,flight_73,REG_21_2,MID,True,741.2105,747.9368,-6.7264,6.7264
2026_07_15_gym,flight_22,REG_15,LOB,True,1409.1940,1402.7758,6.4182,6.4182
2026_07_21_gym,flight_15,REG_21_1,MID,True,668.0627,663.1126,4.9500,4.9500
2026_07_21_gym,flight_13,REG_21_1,FLAT,True,658.6925,655.2416,3.4509,3.4509
2026_07_15_gym,flight_12,REG_15,LOB,True,1380.3724,1383.7810,-3.4086,3.4086
2026_07_21_gym,flight_87,REG_21_2,FLAT,True,544.7238,547.5657,-2.8418,2.8418
2026_07_21_gym,flight_6,REG_21_1,FLAT,True,591.8848,591.6463,0.2385,0.2385
