series,observation_window_ms,n_contributing,median_error_mm,q1_error_mm,q3_error_mm,iqr_error_mm
free gravity,33.3,158,268892.4587,89238.0934,532602.2986,443364.2052
free gravity,50.0,158,95181.7903,36273.2107,255006.8474,218733.6366
free gravity,66.6,158,45876.3659,19042.9723,140499.7867,121456.8144
free gravity,83.3,78,16242.7702,4338.0727,38249.0512,33910.9785
free gravity,99.9,121,14286.9842,6027.1151,36927.8426,30900.7275
free gravity,116.6,135,12666.1280,3973.1610,31423.8761,27450.7151
free gravity,133.2,146,10133.4937,3946.6883,23015.7174,19069.0291
free gravity,149.9,154,9822.7945,3422.3856,20876.1272,17453.7416
free gravity,166.5,154,7005.2139,2545.2519,18931.1614,16385.9095
free gravity,183.2,153,5394.2987,1756.1115,13439.2763,11683.1648
free gravity,199.8,155,5407.0354,1467.7450,13160.8948,11693.1498
free gravity,216.5,158,4828.4088,1274.7665,11153.9231,9879.1567
free gravity,233.1,157,3865.8350,1332.8701,10191.1568,8858.2867
free gravity,249.8,156,3156.6180,980.9957,8584.3067,7603.3110
free gravity,266.4,156,2501.8364,862.5557,6610.2868,5747.7310
free gravity,283.1,156,2391.5009,570.5849,5983.1335,5412.5486
free gravity,299.7,155,2145.9885,815.4511,4523.3918,3707.9407
free gravity,316.4,155,2118.4223,624.1031,4572.8902,3948.7871
free gravity,333.0,155,1923.2233,594.3410,3788.7841,3194.4430
free gravity,349.7,155,1696.0877,577.3073,3341.0128,2763.7056
free gravity,366.3,155,1391.8180,474.0725,3181.3855,2707.3130
free gravity,383.0,154,1271.0389,448.9919,2792.2047,2343.2128
free gravity,399.6,152,1218.4925,461.1734,2593.6273,2132.4540
free gravity,416.3,150,1193.1955,359.1288,2215.6570,1856.5281
free gravity,432.9,149,1125.1119,397.1240,2286.7847,1889.6607
free gravity,449.6,147,1005.5561,357.3357,1940.8584,1583.5227
free gravity,466.2,147,1001.5243,424.1321,1745.7088,1321.5766
free gravity,482.9,146,837.8095,396.4991,1726.1423,1329.6432
free gravity,499.5,145,766.1390,349.4256,1528.0109,1178.5853
free gravity,516.2,145,833.6879,385.2183,1575.8031,1190.5848
free gravity,532.8,143,753.3055,362.3899,1330.3204,967.9306
free gravity,549.5,142,750.4130,357.5323,1365.8065,1008.2742
free gravity,566.1,139,695.7551,323.5438,1318.8090,995.2652
free gravity,582.8,135,680.9648,341.5290,1108.2432,766.7142
free gravity,599.4,134,647.0700,355.5150,1064.9908,709.4758
free gravity,616.1,134,559.2976,285.3068,1059.6211,774.3144
free gravity,632.7,131,559.8938,300.6045,920.7717,620.1672
free gravity,649.4,127,561.4636,333.1373,911.9035,578.7662
free gravity,666.0,124,535.6612,290.6346,807.3781,516.7434
free gravity,682.7,122,521.4512,307.5761,783.1845,475.6084
free gravity,699.3,117,452.1735,326.3869,776.2624,449.8755
free gravity,716.0,116,490.4113,328.4008,817.7825,489.3818
free gravity,732.6,115,508.3716,324.1418,739.6990,415.5572
free gravity,749.3,114,499.2994,306.8326,737.1071,430.2745
free gravity,765.9,112,472.5931,319.2337,649.4438,330.2100
free gravity,782.6,110,425.3815,304.1191,668.0640,363.9448
free gravity,799.2,110,401.2043,299.1319,593.6856,294.5537
free gravity,815.9,108,419.3107,297.8525,594.1653,296.3128
free gravity,832.5,108,395.5752,273.7987,548.3967,274.5980
free gravity,849.2,108,374.4160,265.8592,534.7347,268.8755
free gravity,865.8,108,358.3622,262.7545,528.8231,266.0686
free gravity,882.5,106,346.7365,265.7540,490.0376,224.2836
free gravity,899.1,105,327.1644,257.3373,488.2501,230.9128
free gravity,915.8,104,343.0380,253.7451,460.5887,206.8436
free gravity,932.4,104,304.2028,241.1288,412.8339,171.7051
free gravity,949.1,104,306.8086,241.8481,388.2633,146.4152
free gravity,965.7,104,314.3469,225.3039,389.0227,163.7188
free gravity,982.4,103,284.7799,219.1214,397.2604,178.1390
free gravity,999.0,102,285.4280,218.2874,361.1063,142.8189
free gravity,1015.7,102,293.3680,203.0274,369.7887,166.7614
free gravity,1032.3,101,249.6693,194.4893,339.8592,145.3699
free gravity,1049.0,100,242.3976,193.2565,324.8292,131.5727
free gravity,1065.6,101,253.2291,187.4287,313.1990,125.7703
free gravity,1082.3,101,236.3619,185.9088,301.4151,115.5063
free gravity,1098.9,101,232.3594,159.8673,294.7829,134.9156
free gravity,1115.6,101,232.3594,167.9483,299.6822,131.7339
free gravity,1132.2,101,222.6563,154.1766,287.7003,133.5237
free gravity,1148.9,98,217.8216,153.4002,273.3489,119.9486
free gravity,1165.5,95,222.2641,156.1524,279.9292,123.7768
free gravity,1182.2,92,207.1482,142.4771,263.0294,120.5523
free gravity,1198.8,89,210.4264,141.7343,270.5185,128.7842
free gravity,1215.5,83,222.9647,138.1436,264.9829,126.8393
free gravity,1232.1,80,213.4853,143.4653,265.4511,121.9858
free gravity,1248.8,77,182.3446,120.0559,229.6753,109.6194
free gravity,1265.4,71,200.4610,140.5791,242.1489,101.5698
free gravity,1282.1,65,197.1043,140.9163,234.9852,94.0689
free gravity,1298.7,62,187.9871,120.9275,226.5273,105.5998
free gravity,1315.4,58,178.5607,114.6238,217.8518,103.2280
free gravity,1332.0,51,180.4057,129.3484,237.9058,108.5574
fixed gravity,33.3,158,2483.6620,1222.2944,5951.4263,4729.1320
fixed gravity,50.0,158,1684.0397,905.3559,3444.1316,2538.7757
fixed gravity,66.6,158,1434.3618,806.2957,2218.7873,1412.4915
fixed gravity,83.3,65,967.6268,519.8911,1409.2870,889.3959
fixed gravity,99.9,103,867.3344,555.8505,1425.9809,870.1304
fixed gravity,116.6,126,879.2714,533.3357,1268.1282,734.7925
fixed gravity,133.2,143,883.8083,582.1379,1254.3150,672.1771
fixed gravity,149.9,147,901.9621,608.5551,1206.9300,598.3749
fixed gravity,166.5,148,782.1679,530.7327,1153.5768,622.8441
fixed gravity,183.2,153,817.4631,551.4175,1109.7301,558.3126
fixed gravity,199.8,155,767.1472,526.1761,1050.3596,524.1835
fixed gravity,216.5,157,710.5137,490.1997,956.2073,466.0076
fixed gravity,233.1,157,690.4127,484.1800,876.0906,391.9106
fixed gravity,249.8,157,666.2436,471.0574,876.0906,405.0332
fixed gravity,266.4,156,647.3554,458.6123,874.0919,415.4796
fixed gravity,283.1,156,624.9495,442.1197,849.4826,407.3629
fixed gravity,299.7,155,652.8259,451.2618,855.4947,404.2329
fixed gravity,316.4,155,634.8466,428.8857,816.1384,387.2527
fixed gravity,333.0,155,625.0410,432.2230,806.1974,373.9744
fixed gravity,349.7,154,612.7796,404.3884,793.3827,388.9943
fixed gravity,366.3,155,608.4608,412.4698,779.1019,366.6321
fixed gravity,383.0,154,590.0369,392.9888,764.7310,371.7422
fixed gravity,399.6,152,584.5761,391.0578,751.1169,360.0591
fixed gravity,416.3,150,573.6697,389.9166,726.9712,337.0546
fixed gravity,432.9,149,573.2367,399.8960,739.6027,339.7067
fixed gravity,449.6,147,562.2373,399.9697,723.5184,323.5487
fixed gravity,466.2,147,552.0146,384.7040,692.0764,307.3724
fixed gravity,482.9,146,545.6981,384.0788,691.5800,307.5011
fixed gravity,499.5,145,540.3597,391.4365,702.9754,311.5389
fixed gravity,516.2,145,536.7935,376.1218,696.2010,320.0792
fixed gravity,532.8,143,517.2882,378.6240,669.1292,290.5052
fixed gravity,549.5,142,521.1274,360.6257,672.6522,312.0265
fixed gravity,566.1,139,527.1787,376.3589,670.5374,294.1785
fixed gravity,582.8,135,524.6107,407.7035,657.4732,249.7697
fixed gravity,599.4,134,513.7467,395.7230,659.8482,264.1252
fixed gravity,616.1,134,515.7696,383.8843,640.6056,256.7213
fixed gravity,632.7,131,513.7901,388.5775,632.3017,243.7242
fixed gravity,649.4,127,510.5680,388.2240,623.7694,235.5454
fixed gravity,666.0,124,496.9811,389.7109,637.3354,247.6244
fixed gravity,682.7,122,495.2455,390.8763,637.8035,246.9272
fixed gravity,699.3,117,497.1968,404.4208,623.0130,218.5922
fixed gravity,716.0,116,494.2400,390.9201,624.3238,233.4038
fixed gravity,732.6,115,497.1701,406.2939,620.3690,214.0751
fixed gravity,749.3,114,490.5081,392.3822,599.7392,207.3570
fixed gravity,765.9,112,486.5451,387.3268,600.5070,213.1802
fixed gravity,782.6,110,485.6504,390.0905,596.4484,206.3579
fixed gravity,799.2,110,475.1341,391.5809,592.9360,201.3551
fixed gravity,815.9,108,478.2563,390.8329,588.8018,197.9689
fixed gravity,832.5,108,466.8597,384.1478,583.4506,199.3028
fixed gravity,849.2,108,463.2701,382.5140,574.7371,192.2231
fixed gravity,865.8,108,450.1104,374.6536,572.1948,197.5412
fixed gravity,882.5,106,444.8435,372.2870,557.5828,185.2958
fixed gravity,899.1,105,456.0783,366.1101,546.5149,180.4048
fixed gravity,915.8,104,445.8141,367.6229,541.4003,173.7774
fixed gravity,932.4,104,442.9282,358.9682,530.4111,171.4429
fixed gravity,949.1,104,431.3329,352.7712,535.6647,182.8935
fixed gravity,965.7,104,431.6472,349.5435,537.6686,188.1252
fixed gravity,982.4,103,420.4764,347.1952,523.6766,176.4814
fixed gravity,999.0,102,431.7747,339.0276,519.0046,179.9770
fixed gravity,1015.7,102,414.0005,331.1001,507.7256,176.6255
fixed gravity,1032.3,101,403.2333,323.9314,499.7321,175.8007
fixed gravity,1049.0,101,404.1659,322.1121,493.1843,171.0722
fixed gravity,1065.6,101,386.2894,313.1476,476.2622,163.1146
fixed gravity,1082.3,101,385.1146,312.4232,492.0075,179.5843
fixed gravity,1098.9,101,386.0295,309.7997,487.2256,177.4259
fixed gravity,1115.6,101,400.3579,301.5784,491.3875,189.8091
fixed gravity,1132.2,101,387.7230,295.7421,476.5210,180.7789
fixed gravity,1148.9,98,377.0556,302.8190,461.2824,158.4634
fixed gravity,1165.5,95,371.1686,304.9471,462.1599,157.2127
fixed gravity,1182.2,92,375.0438,296.9312,458.1807,161.2495
fixed gravity,1198.8,89,385.7372,290.7438,468.4213,177.6775
fixed gravity,1215.5,83,376.4364,305.3177,456.1168,150.7991
fixed gravity,1232.1,80,370.6993,302.1922,454.2605,152.0684
fixed gravity,1248.8,77,375.5675,301.1604,450.4698,149.3094
fixed gravity,1265.4,71,363.6752,307.5340,439.8813,132.3473
fixed gravity,1282.1,65,355.4006,290.2792,436.5703,146.2911
