class,T,n_success,n_late,n_wrong,n_no_response,success_rate
POOLED,150,21,0,41,45,19.6262
POOLED,200,38,0,52,17,35.5140
POOLED,250,47,0,49,11,43.9252
POOLED,300,59,0,47,1,55.1402
POOLED,350,65,0,42,0,60.7477
POOLED,400,72,0,35,0,67.2897
POOLED,450,73,7,26,1,68.2243
POOLED,490,68,16,22,1,63.5514
POOLED,500,62,19,25,1,57.9439
POOLED,550,59,30,17,1,55.1402
POOLED,600,59,36,12,0,55.1402
POOLED,650,65,37,5,0,60.7477
POOLED,700,65,38,4,0,60.7477
POOLED,750,63,40,4,0,58.8785
POOLED,800,62,41,3,1,57.9439
POOLED,850,63,42,2,0,58.8785
POOLED,900,53,52,1,1,49.5327
POOLED,950,45,61,1,0,42.0561
POOLED,1000,36,70,1,0,33.6449
POOLED,1050,23,84,0,0,21.4953
POOLED,1100,13,90,0,4,12.1495
POOLED,1150,8,99,0,0,7.4766
POOLED,1200,5,100,0,2,4.6729
POOLED,1250,1,105,0,1,0.9346
SHORT,150,20,0,17,10,42.5532
SHORT,200,32,0,13,2,68.0851
SHORT,250,36,0,9,2,76.5957
SHORT,300,41,0,6,0,87.2340
SHORT,350,43,0,4,0,91.4894
SHORT,400,45,0,2,0,95.7447
SHORT,450,39,7,1,0,82.9787
SHORT,490,31,16,0,0,65.9574
SHORT,500,27,19,1,0,57.4468
SHORT,550,16,30,1,0,34.0426
SHORT,600,11,36,0,0,23.4043
SHORT,650,10,37,0,0,21.2766
SHORT,700,8,38,1,0,17.0213
SHORT,750,6,40,1,0,12.7660
SHORT,800,5,41,1,0,10.6383
SHORT,850,5,42,0,0,10.6383
SHORT,900,2,45,0,0,4.2553
SHORT,950,0,47,0,0,0.0000
SHORT,1000,0,47,0,0,0.0000
SHORT,1050,0,47,0,0,0.0000
SHORT,1100,0,47,0,0,0.0000
SHORT,1150,0,47,0,0,0.0000
SHORT,1200,0,46,0,1,0.0000
SHORT,1250,0,47,0,0,0.0000
LONG,150,1,0,24,35,1.6667
LONG,200,6,0,39,15,10.0000
LONG,250,11,0,40,9,18.3333
LONG,300,18,0,41,1,30.0000
LONG,350,22,0,38,0,36.6667
LONG,400,27,0,33,0,45.0000
LONG,450,34,0,25,1,56.6667
LONG,490,37,0,22,1,61.6667
LONG,500,35,0,24,1,58.3333
LONG,550,43,0,16,1,71.6667
LONG,600,48,0,12,0,80.0000
LONG,650,55,0,5,0,91.6667
LONG,700,57,0,3,0,95.0000
LONG,750,57,0,3,0,95.0000
LONG,800,57,0,2,1,95.0000
LONG,850,58,0,2,0,96.6667
LONG,900,51,7,1,1,85.0000
LONG,950,45,14,1,0,75.0000
LONG,1000,36,23,1,0,60.0000
LONG,1050,23,37,0,0,38.3333
LONG,1100,13,43,0,4,21.6667
LONG,1150,8,52,0,0,13.3333
LONG,1200,5,54,0,1,8.3333
LONG,1250,1,58,0,1,1.6667
