class,T,n_success,n_late,n_wrong,n_no_response,success_rate
POOLED,150,18,0,44,45,16.8224
POOLED,200,34,0,56,17,31.7757
POOLED,250,37,0,59,11,34.5794
POOLED,300,52,0,54,1,48.5981
POOLED,350,59,0,48,0,55.1402
POOLED,400,64,0,43,0,59.8131
POOLED,450,65,7,34,1,60.7477
POOLED,490,62,16,28,1,57.9439
POOLED,500,55,19,32,1,51.4019
POOLED,550,55,30,21,1,51.4019
POOLED,600,54,36,17,0,50.4673
POOLED,650,61,37,9,0,57.0093
POOLED,700,61,38,8,0,57.0093
POOLED,750,60,40,7,0,56.0748
POOLED,800,60,41,5,1,56.0748
POOLED,850,62,42,3,0,57.9439
POOLED,900,52,52,2,1,48.5981
POOLED,950,45,61,1,0,42.0561
POOLED,1000,34,70,3,0,31.7757
POOLED,1050,23,84,0,0,21.4953
POOLED,1100,12,90,1,4,11.2150
POOLED,1150,8,99,0,0,7.4766
POOLED,1200,5,100,0,2,4.6729
POOLED,1250,1,105,0,1,0.9346
SHORT,150,17,0,20,10,36.1702
SHORT,200,30,0,15,2,63.8298
SHORT,250,32,0,13,2,68.0851
SHORT,300,39,0,8,0,82.9787
SHORT,350,40,0,7,0,85.1064
SHORT,400,43,0,4,0,91.4894
SHORT,450,38,7,2,0,80.8511
SHORT,490,28,16,3,0,59.5745
SHORT,500,26,19,2,0,55.3191
SHORT,550,16,30,1,0,34.0426
SHORT,600,11,36,0,0,23.4043
SHORT,650,10,37,0,0,21.2766
SHORT,700,8,38,1,0,17.0213
SHORT,750,6,40,1,0,12.7660
SHORT,800,5,41,1,0,10.6383
SHORT,850,5,42,0,0,10.6383
SHORT,900,2,45,0,0,4.2553
SHORT,950,0,47,0,0,0.0000
SHORT,1000,0,47,0,0,0.0000
SHORT,1050,0,47,0,0,0.0000
SHORT,1100,0,47,0,0,0.0000
SHORT,1150,0,47,0,0,0.0000
SHORT,1200,0,46,0,1,0.0000
SHORT,1250,0,47,0,0,0.0000
LONG,150,1,0,24,35,1.6667
LONG,200,4,0,41,15,6.6667
LONG,250,5,0,46,9,8.3333
LONG,300,13,0,46,1,21.6667
LONG,350,19,0,41,0,31.6667
LONG,400,21,0,39,0,35.0000
LONG,450,27,0,32,1,45.0000
LONG,490,34,0,25,1,56.6667
LONG,500,29,0,30,1,48.3333
LONG,550,39,0,20,1,65.0000
LONG,600,43,0,17,0,71.6667
LONG,650,51,0,9,0,85.0000
LONG,700,53,0,7,0,88.3333
LONG,750,54,0,6,0,90.0000
LONG,800,55,0,4,1,91.6667
LONG,850,57,0,3,0,95.0000
LONG,900,50,7,2,1,83.3333
LONG,950,45,14,1,0,75.0000
LONG,1000,34,23,3,0,56.6667
LONG,1050,23,37,0,0,38.3333
LONG,1100,12,43,1,4,20.0000
LONG,1150,8,52,0,0,13.3333
LONG,1200,5,54,0,1,8.3333
LONG,1250,1,58,0,1,1.6667
