session,flight,cls2,T_ms,status,t_obs_ms,duration_ms,launch_to_crossing_ms,latency_ms,position_error_mm,answered,in_time,accurate,verdict
2026_07_15_gym,flight_11,LONG,150,ok,150.0000,1515.337,1204.723509224763,139.07196266731867,281.06567501784946,True,True,False,wrong
2026_07_15_gym,flight_11,LONG,200,ok,200.0000,1515.337,1204.723509224763,152.03751866860935,517.4444805725651,True,True,False,wrong
2026_07_15_gym,flight_11,LONG,250,ok,250.0000,1515.337,1204.723509224763,157.77379766634354,634.8467340395267,True,True,False,wrong
2026_07_15_gym,flight_11,LONG,300,ok,300.0000,1515.337,1204.723509224763,171.32322266666839,418.504476870672,True,True,False,wrong
2026_07_15_gym,flight_11,LONG,350,ok,350.0000,1515.337,1204.723509224763,228.93692566516498,432.381883507743,True,True,False,wrong
2026_07_15_gym,flight_11,LONG,400,ok,400.0000,1515.337,1204.723509224763,181.44755466437587,475.8059699258787,True,True,False,wrong
2026_07_15_gym,flight_11,LONG,450,ok,450.0000,1515.337,1204.723509224763,193.5148156673337,347.610891531915,True,True,False,wrong
2026_07_15_gym,flight_11,LONG,490,ok,490.0000,1515.337,1204.723509224763,194.2197956663246,96.80852222191234,True,True,True,success
2026_07_15_gym,flight_11,LONG,500,ok,500.0000,1515.337,1204.723509224763,201.37829666646817,395.670810344766,True,True,False,wrong
2026_07_15_gym,flight_11,LONG,550,ok,550.0000,1515.337,1204.723509224763,211.44240766732642,302.7425136433336,True,True,False,wrong
2026_07_15_gym,flight_11,LONG,600,ok,600.0000,1515.337,1204.723509224763,234.42659366565445,233.36909979686834,True,True,False,wrong
2026_07_15_gym,flight_11,LONG,650,ok,650.0000,1515.337,1204.723509224763,227.7511476666356,147.3501884798454,True,True,True,success
2026_07_15_gym,flight_11,LONG,700,ok,700.0000,1515.337,1204.723509224763,233.9925566666449,166.61972014600377,True,True,True,success
2026_07_15_gym,flight_11,LONG,750,ok,750.0000,1515.337,1204.723509224763,229.7619626658658,178.17339630042835,True,True,True,success
2026_07_15_gym,flight_11,LONG,800,ok,800.0000,1515.337,1204.723509224763,255.48475766616562,168.72363406538724,True,True,True,success
2026_07_15_gym,flight_11,LONG,850,ok,850.0000,1515.337,1204.723509224763,247.93833366750428,159.06926164022346,True,True,True,success
2026_07_15_gym,flight_11,LONG,900,ok,900.0000,1515.337,1204.723509224763,260.8236676656331,169.67786756634356,True,True,True,success
2026_07_15_gym,flight_11,LONG,950,ok,950.0000,1515.337,1204.723509224763,255.17005666686842,130.78789906763507,True,True,True,success
2026_07_15_gym,flight_11,LONG,1000,ok,1000.0000,1515.337,1204.723509224763,291.9303896666194,166.3699533546066,True,False,True,late
2026_07_15_gym,flight_11,LONG,1050,ok,1050.0000,1515.337,1204.723509224763,359.58109266559285,189.58229881409937,True,False,True,late
2026_07_15_gym,flight_11,LONG,1100,ok,1100.0000,1515.337,1204.723509224763,374.69842566518736,178.22895758335034,True,False,True,late
2026_07_15_gym,flight_11,LONG,1150,ok,1150.0000,1515.337,1204.723509224763,374.87822266543907,178.22895758335034,True,False,True,late
2026_07_15_gym,flight_11,LONG,1200,ok,1200.0000,1515.337,1204.723509224763,374.2893506657953,178.22895758335034,True,False,True,late
2026_07_15_gym,flight_11,LONG,1250,ok,1250.0000,1515.337,1204.723509224763,295.25177866655093,190.90032122929097,True,False,True,late
2026_07_15_gym,flight_12,LONG,150,ok,150.0000,1515.3365000000001,1383.7809672573765,149.04279566711435,904.6946016998746,True,True,False,wrong
2026_07_15_gym,flight_12,LONG,200,ok,200.0000,1515.3365000000001,1383.7809672573765,160.05762966598073,673.4954206243455,True,True,False,wrong
2026_07_15_gym,flight_12,LONG,250,ok,250.0000,1515.3365000000001,1383.7809672573765,160.65398266880462,936.1196194275327,True,True,False,wrong
2026_07_15_gym,flight_12,LONG,300,ok,300.0000,1515.3365000000001,1383.7809672573765,172.51638866743693,404.16828691996653,True,True,False,wrong
2026_07_15_gym,flight_12,LONG,350,ok,350.0000,1515.3365000000001,1383.7809672573765,188.87881466808417,430.8020011654779,True,True,False,wrong
2026_07_15_gym,flight_12,LONG,400,ok,400.0000,1515.3365000000001,1383.7809672573765,193.41255466702083,302.6759546341437,True,True,False,wrong
2026_07_15_gym,flight_12,LONG,450,ok,450.0000,1515.3365000000001,1383.7809672573765,206.22598166732737,618.0402463477477,True,True,False,wrong
2026_07_15_gym,flight_12,LONG,490,ok,490.0000,1515.3365000000001,1383.7809672573765,217.44601866758117,1193.1703235055247,True,True,False,wrong
2026_07_15_gym,flight_12,LONG,500,ok,500.0000,1515.3365000000001,1383.7809672573765,212.70996166734645,207.7601224074395,True,True,False,wrong
