aperture_mm,r4_threshold_mm,scope,window_ms,n_total,n_ok,r4_pass,r4_pass_rate,success_rate,success,wrong_velocity,wrong_position,wrong_class,late,no_response
2000.0000,100.0000,SHORT,300,47,47,28,59.5745,53.1915,25,0,16,2,4,0
2000.0000,100.0000,LONG,700,60,60,34,56.6667,56.6667,34,0,25,1,0,0
2000.0000,100.0000,POOLED,300/700,107,107,62,57.9439,55.1402,59,0,41,3,4,0
2250.0000,112.5000,SHORT,300,47,47,30,63.8298,57.4468,27,0,14,2,4,0
2250.0000,112.5000,LONG,700,60,60,39,65.0000,65.0000,39,0,20,1,0,0
2250.0000,112.5000,POOLED,300/700,107,107,69,64.4860,61.6822,66,0,34,3,4,0
2500.0000,125.0000,SHORT,300,47,47,31,65.9574,59.5745,28,0,13,2,4,0
2500.0000,125.0000,LONG,700,60,60,43,71.6667,71.6667,43,0,16,1,0,0
2500.0000,125.0000,POOLED,300/700,107,107,74,69.1589,66.3551,71,0,29,3,4,0
2750.0000,137.5000,SHORT,300,47,47,33,70.2128,63.8298,30,0,11,2,4,0
2750.0000,137.5000,LONG,700,60,60,46,76.6667,76.6667,46,0,13,1,0,0
2750.0000,137.5000,POOLED,300/700,107,107,79,73.8318,71.0280,76,0,24,3,4,0
3000.0000,150.0000,SHORT,300,47,47,35,74.4681,65.9574,31,0,10,2,4,0
3000.0000,150.0000,LONG,700,60,60,47,78.3333,78.3333,47,0,12,1,0,0
3000.0000,150.0000,POOLED,300/700,107,107,82,76.6355,72.8972,78,0,22,3,4,0
