session,flight,N,lead_time_ms,error_mm,status,reason
2026_07_21_gym,flight_1,3,1465.38,6233.9597,ok,
2026_07_21_gym,flight_1,4,1448.73,322.3504,ok,
2026_07_21_gym,flight_1,5,1432.08,459.4833,ok,
2026_07_21_gym,flight_1,6,1415.42,764.3783,ok,
2026_07_21_gym,flight_1,7,1398.77,1431.5106,ok,
2026_07_21_gym,flight_1,8,1382.12,1500.4571,ok,
2026_07_21_gym,flight_1,9,1365.47,574.5672,ok,
2026_07_21_gym,flight_1,10,1348.82,889.1216,ok,
2026_07_21_gym,flight_1,11,1332.16,722.9503,ok,
2026_07_21_gym,flight_1,12,1315.51,598.3285,ok,
2026_07_21_gym,flight_1,13,1298.86,565.2189,ok,
2026_07_21_gym,flight_1,14,1282.21,475.2758,ok,
2026_07_21_gym,flight_1,15,1265.56,409.3241,ok,
2026_07_21_gym,flight_1,16,1248.90,531.6635,ok,
2026_07_21_gym,flight_1,17,1232.25,343.7642,ok,
2026_07_21_gym,flight_1,18,1215.60,218.3152,ok,
2026_07_21_gym,flight_1,19,1198.95,256.9554,ok,
2026_07_21_gym,flight_1,20,1182.29,177.0733,ok,
2026_07_21_gym,flight_1,21,1165.64,164.6667,ok,
2026_07_21_gym,flight_1,22,1148.99,282.7682,ok,
2026_07_21_gym,flight_1,23,1132.34,189.1331,ok,
2026_07_21_gym,flight_1,24,1115.69,173.8330,ok,
2026_07_21_gym,flight_1,25,1099.03,172.1701,ok,
2026_07_21_gym,flight_1,26,1082.38,141.3958,ok,
2026_07_21_gym,flight_1,27,1065.73,132.7117,ok,
2026_07_21_gym,flight_1,28,1049.08,164.7603,ok,
2026_07_21_gym,flight_1,29,1032.43,106.6414,ok,
2026_07_21_gym,flight_1,30,1015.77,86.4138,ok,
2026_07_21_gym,flight_1,31,999.12,74.5485,ok,
2026_07_21_gym,flight_1,32,982.47,75.6406,ok,
2026_07_21_gym,flight_1,33,965.82,75.7624,ok,
2026_07_21_gym,flight_1,34,949.17,76.3338,ok,
2026_07_21_gym,flight_1,35,932.51,71.7213,ok,
2026_07_21_gym,flight_1,36,915.86,65.9086,ok,
2026_07_21_gym,flight_1,37,899.21,77.0987,ok,
2026_07_21_gym,flight_1,38,882.56,83.8625,ok,
2026_07_21_gym,flight_1,39,865.91,84.1329,ok,
2026_07_21_gym,flight_1,40,849.25,69.7830,ok,
2026_07_21_gym,flight_1,41,832.60,45.4004,ok,
2026_07_21_gym,flight_1,42,815.95,39.0024,ok,
2026_07_21_gym,flight_1,43,799.30,40.8631,ok,
2026_07_21_gym,flight_1,44,782.65,31.9079,ok,
2026_07_21_gym,flight_1,45,765.99,30.9821,ok,
2026_07_21_gym,flight_1,46,749.34,47.8624,ok,
2026_07_21_gym,flight_1,47,732.69,59.9211,ok,
2026_07_21_gym,flight_1,48,716.04,46.8329,ok,
2026_07_21_gym,flight_1,49,699.39,28.1801,ok,
2026_07_21_gym,flight_1,50,682.73,22.3817,ok,
2026_07_21_gym,flight_1,51,666.08,15.8624,ok,
2026_07_21_gym,flight_1,52,649.43,18.2989,ok,
2026_07_21_gym,flight_1,53,632.78,25.6632,ok,
2026_07_21_gym,flight_1,54,616.13,17.3954,ok,
2026_07_21_gym,flight_1,55,599.47,14.2209,ok,
2026_07_21_gym,flight_1,56,582.82,15.2338,ok,
2026_07_21_gym,flight_1,57,566.17,21.5359,ok,
2026_07_21_gym,flight_1,58,549.52,22.7426,ok,
2026_07_21_gym,flight_1,59,532.87,17.1801,ok,
2026_07_21_gym,flight_1,60,516.21,17.3468,ok,
2026_07_21_gym,flight_1,61,499.56,30.3897,ok,
2026_07_21_gym,flight_1,62,482.91,34.6514,ok,
2026_07_21_gym,flight_1,63,466.26,27.7744,ok,
2026_07_21_gym,flight_1,64,449.61,25.1705,ok,
2026_07_21_gym,flight_1,65,432.95,26.0701,ok,
2026_07_21_gym,flight_1,66,416.30,30.6337,ok,
2026_07_21_gym,flight_1,67,399.65,31.2610,ok,
2026_07_21_gym,flight_1,68,383.00,28.1638,ok,
2026_07_21_gym,flight_1,69,366.35,25.4021,ok,
2026_07_21_gym,flight_1,70,349.69,27.6035,ok,
2026_07_21_gym,flight_1,71,333.04,28.2277,ok,
2026_07_21_gym,flight_1,72,316.39,20.6313,ok,
2026_07_21_gym,flight_1,73,299.74,21.3294,ok,
2026_07_21_gym,flight_1,74,283.09,19.1410,ok,
2026_07_21_gym,flight_1,75,249.78,19.6500,ok,
2026_07_21_gym,flight_1,76,233.13,20.3291,ok,
2026_07_21_gym,flight_1,77,199.83,20.4939,ok,
2026_07_21_gym,flight_1,78,183.17,20.3134,ok,
2026_07_21_gym,flight_1,79,149.87,23.7543,ok,
2026_07_21_gym,flight_1,80,133.21,28.2835,ok,
2026_07_21_gym,flight_1,81,116.56,29.4377,ok,
2026_07_21_gym,flight_1,82,99.91,33.7815,ok,
2026_07_21_gym,flight_1,83,83.26,37.5375,ok,
2026_07_21_gym,flight_1,84,66.61,41.4325,ok,
2026_07_21_gym,flight_1,85,49.96,45.4498,ok,
2026_07_21_gym,flight_1,86,33.30,51.6323,ok,
2026_07_21_gym,flight_2,3,466.26,756.7500,ok,
2026_07_21_gym,flight_2,4,449.61,403.1356,ok,
2026_07_21_gym,flight_2,5,432.95,236.2010,ok,
2026_07_21_gym,flight_2,6,416.30,277.9178,ok,
2026_07_21_gym,flight_2,7,399.65,222.5444,ok,
2026_07_21_gym,flight_2,8,383.00,126.3482,ok,
2026_07_21_gym,flight_2,9,366.35,142.0810,ok,
2026_07_21_gym,flight_2,10,349.69,147.3867,ok,
2026_07_21_gym,flight_2,11,333.04,137.7137,ok,
2026_07_21_gym,flight_2,12,316.39,149.9361,ok,
2026_07_21_gym,flight_2,13,299.74,178.9906,ok,
2026_07_21_gym,flight_2,14,283.09,156.5725,ok,
2026_07_21_gym,flight_2,15,266.43,156.1856,ok,
2026_07_21_gym,flight_2,16,249.78,135.4167,ok,
2026_07_21_gym,flight_2,17,233.13,104.9900,ok,
2026_07_21_gym,flight_2,18,216.48,99.2824,ok,
2026_07_21_gym,flight_2,19,199.82,91.5581,ok,
2026_07_21_gym,flight_2,20,183.17,96.5106,ok,
2026_07_21_gym,flight_2,21,166.52,89.1919,ok,
2026_07_21_gym,flight_2,22,133.22,89.5102,ok,
2026_07_21_gym,flight_2,23,116.56,88.3797,ok,
2026_07_21_gym,flight_2,24,99.91,78.4486,ok,
2026_07_21_gym,flight_2,25,83.26,90.7135,ok,
2026_07_21_gym,flight_2,26,66.61,91.3440,ok,
2026_07_21_gym,flight_2,27,49.96,94.1435,ok,
2026_07_21_gym,flight_2,28,33.30,88.6732,ok,
2026_07_21_gym,flight_2,29,16.65,74.1951,ok,
2026_07_21_gym,flight_3,3,632.78,1025.7204,ok,
2026_07_21_gym,flight_3,4,616.13,1192.0241,ok,
2026_07_21_gym,flight_3,5,599.47,1014.5884,ok,
2026_07_21_gym,flight_3,6,582.82,810.5850,ok,
2026_07_21_gym,flight_3,7,566.17,663.7540,ok,
2026_07_21_gym,flight_3,8,549.52,552.6486,ok,
2026_07_21_gym,flight_3,9,532.87,470.2728,ok,
2026_07_21_gym,flight_3,10,516.21,399.1307,ok,
2026_07_21_gym,flight_3,11,499.56,348.3227,ok,
2026_07_21_gym,flight_3,12,482.91,284.1043,ok,
2026_07_21_gym,flight_3,13,466.26,256.3725,ok,
2026_07_21_gym,flight_3,14,449.61,245.8406,ok,
2026_07_21_gym,flight_3,15,432.95,189.2019,ok,
2026_07_21_gym,flight_3,16,416.30,106.3199,ok,
2026_07_21_gym,flight_3,17,399.65,92.3672,ok,
2026_07_21_gym,flight_3,18,383.00,84.3489,ok,
2026_07_21_gym,flight_3,19,366.35,78.1161,ok,
2026_07_21_gym,flight_3,20,333.04,79.1331,ok,
2026_07_21_gym,flight_3,21,316.39,62.4721,ok,
2026_07_21_gym,flight_3,22,299.74,43.8948,ok,
2026_07_21_gym,flight_3,23,283.08,42.9727,ok,
2026_07_21_gym,flight_3,24,266.43,40.9795,ok,
2026_07_21_gym,flight_3,25,249.78,50.3733,ok,
2026_07_21_gym,flight_3,26,233.13,52.5863,ok,
2026_07_21_gym,flight_3,27,216.48,75.0446,ok,
2026_07_21_gym,flight_3,28,199.82,60.3813,ok,
2026_07_21_gym,flight_3,29,183.17,48.2065,ok,
2026_07_21_gym,flight_3,30,166.52,41.6522,ok,
2026_07_21_gym,flight_3,31,133.22,38.4153,ok,
2026_07_21_gym,flight_3,32,116.56,29.2002,ok,
2026_07_21_gym,flight_3,33,99.91,26.5096,ok,
2026_07_21_gym,flight_3,34,83.26,22.9398,ok,
2026_07_21_gym,flight_3,35,66.61,23.2998,ok,
2026_07_21_gym,flight_3,36,49.96,30.4375,ok,
2026_07_21_gym,flight_3,37,33.30,27.2352,ok,
2026_07_21_gym,flight_3,38,16.65,26.5853,ok,
2026_07_21_gym,flight_4,3,532.87,2108.0292,ok,
2026_07_21_gym,flight_4,4,516.21,570.2992,ok,
2026_07_21_gym,flight_4,5,499.56,1368.4265,ok,
2026_07_21_gym,flight_4,6,482.91,1483.2589,ok,
2026_07_21_gym,flight_4,7,466.26,1385.6010,ok,
2026_07_21_gym,flight_4,8,449.61,1203.7160,ok,
2026_07_21_gym,flight_4,9,432.95,894.6420,ok,
2026_07_21_gym,flight_4,10,416.30,662.5648,ok,
2026_07_21_gym,flight_4,11,399.65,544.8095,ok,
2026_07_21_gym,flight_4,12,383.00,393.3092,ok,
2026_07_21_gym,flight_4,13,366.35,359.1643,ok,
2026_07_21_gym,flight_4,14,349.69,321.2613,ok,
2026_07_21_gym,flight_4,15,333.04,251.7957,ok,
2026_07_21_gym,flight_4,16,316.39,231.2539,ok,
2026_07_21_gym,flight_4,17,299.74,200.2811,ok,
2026_07_21_gym,flight_4,18,283.08,181.2626,ok,
2026_07_21_gym,flight_4,19,266.43,174.4798,ok,
2026_07_21_gym,flight_4,20,249.78,181.2212,ok,
2026_07_21_gym,flight_4,21,233.13,95.5066,ok,
2026_07_21_gym,flight_4,22,216.48,76.6486,ok,
2026_07_21_gym,flight_4,23,199.82,84.9928,ok,
2026_07_21_gym,flight_4,24,183.17,72.9917,ok,
2026_07_21_gym,flight_4,25,166.52,48.4981,ok,
2026_07_21_gym,flight_4,26,149.87,58.2137,ok,
2026_07_21_gym,flight_4,27,133.21,61.2158,ok,
2026_07_21_gym,flight_4,28,116.56,68.6572,ok,
2026_07_21_gym,flight_4,29,99.91,63.0549,ok,
2026_07_21_gym,flight_4,30,83.26,56.8530,ok,
2026_07_21_gym,flight_4,31,66.61,50.4128,ok,
2026_07_21_gym,flight_4,32,49.93,42.4772,ok,
2026_07_21_gym,flight_4,33,33.30,63.2218,ok,
2026_07_21_gym,flight_4,34,16.65,57.2534,ok,
2026_07_21_gym,flight_5,3,549.52,1316.7801,ok,
2026_07_21_gym,flight_5,4,532.87,684.9695,ok,
2026_07_21_gym,flight_5,5,516.22,567.0837,ok,
2026_07_21_gym,flight_5,6,499.56,378.0255,ok,
2026_07_21_gym,flight_5,7,482.91,386.7341,ok,
2026_07_21_gym,flight_5,8,466.26,231.5435,ok,
2026_07_21_gym,flight_5,9,449.61,265.1674,ok,
2026_07_21_gym,flight_5,10,432.95,197.6793,ok,
2026_07_21_gym,flight_5,11,416.30,158.6549,ok,
2026_07_21_gym,flight_5,12,399.65,153.3183,ok,
2026_07_21_gym,flight_5,13,383.00,101.4894,ok,
2026_07_21_gym,flight_5,14,366.35,92.7148,ok,
2026_07_21_gym,flight_5,15,349.69,78.1935,ok,
2026_07_21_gym,flight_5,16,333.04,52.0496,ok,
