N_frames,last_fit_frame,observation_window_ms,err_hand_labelled_mm,err_detected_no_ransac_mm,err_detected_with_ransac_mm,in_handpickup_band
3,4,33.304,334.8183,8850.1444,8850.1444,no
4,5,49.957,639.2210,4741.9647,4741.9647,no
5,6,66.609,552.9604,2682.1646,2682.1646,no
6,7,83.260,310.5934,638.4874,638.4874,no
7,8,99.912,459.1331,957.5635,957.5635,no
10,11,149.869,505.8057,820.3179,252.4894,no
11,12,166.521,620.9462,757.0044,208.3440,no
12,13,183.173,474.3795,571.6856,226.1305,no
13,14,199.825,400.4604,300.1394,175.0245,no
14,15,216.477,345.1025,331.6831,257.4225,no
15,16,233.130,310.1006,173.9678,397.1877,no
16,17,249.781,289.8711,246.6907,275.6334,no
17,18,266.433,269.6358,441.2882,140.9961,no
18,19,283.086,287.2424,380.2423,229.3980,no
19,20,299.738,303.3624,387.8866,243.2287,no
20,21,316.389,304.2022,478.8854,243.2287,no
21,22,333.045,313.9877,380.6674,220.7221,no
22,23,349.694,312.8197,384.2576,210.3176,no
23,24,366.346,335.9132,342.7384,197.5215,no
24,25,382.998,343.2119,288.2302,191.1575,no
25,26,399.650,343.6928,269.7319,185.0861,no
26,27,416.302,335.9096,242.6440,177.4130,no
27,28,432.954,303.1658,206.5558,185.1052,no
28,29,449.606,298.3040,175.1213,191.9876,no
29,30,466.258,292.5943,169.4352,199.7143,no
30,31,482.911,280.2999,163.6284,194.9958,no
31,32,499.562,258.2059,152.2787,194.9958,no
32,33,516.215,240.8221,152.7492,207.3339,no
33,34,532.866,234.6524,152.7905,206.4774,no
34,35,549.519,222.0716,156.2110,206.4774,no
35,36,566.171,208.5388,159.3023,206.6920,no
36,37,582.823,202.6159,158.8241,183.7340,no
37,38,599.475,197.5653,156.6619,196.2968,no
38,39,616.127,192.1781,151.2581,184.5495,no
39,40,632.779,189.0321,145.7738,175.0155,no
40,41,649.431,183.7717,139.1111,163.8151,no
41,42,666.083,176.4033,132.6967,141.8958,no
42,43,682.736,171.8497,124.1706,131.3572,no
43,44,699.388,168.4858,1620.9198,128.5335,yes
44,45,716.039,164.8095,2953.4663,149.6926,yes
45,46,732.692,162.6295,3111.4941,139.6738,yes
46,47,749.343,160.1687,4077.5731,139.6738,yes
47,48,765.995,158.5545,3787.4137,120.0275,no
48,49,782.648,156.3996,3511.1537,117.3687,no
49,50,799.300,156.5959,3238.6557,141.4374,no
50,51,815.952,153.9998,2971.5459,121.8798,no
51,52,832.604,152.9169,2735.2895,125.5798,no
52,53,849.256,150.1978,2513.7204,115.3616,no
53,54,865.909,149.8071,2333.2446,128.4405,no
54,55,882.560,148.9115,2150.2984,184.5793,no
55,56,899.212,147.1661,1999.5891,115.3899,no
56,57,915.865,147.0266,1854.3171,111.1854,no
57,58,932.516,146.9420,1713.8127,127.5954,no
58,59,949.168,144.0167,1604.3022,122.0860,no
59,60,965.821,138.8806,1476.4155,128.8388,no
60,61,982.472,136.5557,1369.5225,127.7320,no
61,62,999.124,137.3912,1284.3589,122.0297,no
62,63,1015.777,135.9789,1203.5931,100.3193,no
63,64,1032.428,137.2037,1134.2415,131.1468,no
64,65,1049.081,136.2380,1066.1231,85.4844,no
65,66,1065.733,134.1313,998.1232,78.0857,no
66,67,1082.385,129.6677,930.3476,80.6058,no
67,68,1099.036,128.3436,865.5956,91.4710,no
68,69,1115.689,125.8728,808.3197,78.0857,no
69,70,1132.342,126.4413,749.1522,106.0865,no
70,71,1148.994,123.1993,704.6872,103.3839,no
71,72,1165.646,124.6502,659.8211,100.7150,no
72,73,1182.298,121.8764,625.7692,95.3229,no
73,74,1198.950,123.1291,586.8262,64.8338,no
74,75,1215.602,123.6986,551.3668,101.3909,no
75,76,1232.255,123.8073,513.0203,101.3909,no
76,77,1248.906,121.5177,851.0860,134.4018,no
77,78,1265.558,117.3735,1185.3258,65.0589,no
78,79,1282.210,113.2378,1121.8434,95.6386,no
79,80,1298.862,115.0190,1059.2441,128.5647,no
80,81,1315.514,116.9639,1358.4909,134.0484,no
81,82,1332.167,120.5594,1289.5322,128.4102,no
82,83,1348.818,120.6927,1224.5460,111.6633,no
83,84,1365.471,120.6403,1160.5293,153.3283,no
84,85,1382.123,116.9045,1105.9532,116.7731,no
85,86,1398.775,113.8419,1054.9170,104.8769,no
86,87,1415.427,110.7105,1006.0108,123.1838,no
87,88,1432.079,109.0798,963.4701,94.7328,no
88,89,1448.730,106.6166,927.2173,118.1824,no
89,92,1498.687,109.3486,887.4282,149.9499,no
