window_lo_ms,window_hi_ms,window_centre_ms,plotted,n_cells,n_paired,n_ransac_missing,n_without_ransac,median_without_ransac_mm,q1_without_ransac_mm,q3_without_ransac_mm,n_with_ransac,median_with_ransac_mm,q1_with_ransac_mm,q3_with_ransac_mm,median_difference_of_medians_mm,median_paired_difference_mm,frac_cells_ransac_better,frac_cells_ransac_worse,frac_cells_identical,n_cells_identical,n_cells_below_min_samples
0,100,50,yes,778,778,0,778,977.6244,456.6747,1973.4840,778,977.6244,456.6747,1973.4840,0.0000,0.0000,0.0000,0.0000,1.0000,778,778
100,200,150,yes,928,640,288,928,393.4286,232.4215,724.3537,640,348.9005,219.7543,672.3167,44.5281,0.0000,0.2453,0.3594,0.3953,253,11
200,300,250,yes,932,899,33,932,268.6293,180.1205,405.1035,899,269.0681,180.9427,443.1384,-0.4388,0.0000,0.3793,0.4739,0.1468,132,1
300,400,350,yes,906,898,8,906,209.5453,149.3284,299.0704,898,211.2112,141.8505,326.0093,-1.6659,-1.2017,0.4343,0.5178,0.0479,43,0
400,500,450,yes,857,855,2,857,183.9927,127.8910,274.8218,855,178.6295,122.1909,270.1678,5.3632,-1.1619,0.4678,0.5158,0.0164,14,0
500,600,550,yes,808,808,0,808,176.2842,121.1705,249.0178,808,165.9932,104.0400,235.2542,10.2910,1.4169,0.5334,0.4666,0.0000,0,0
600,700,650,yes,741,741,0,741,164.3538,115.1570,228.8606,741,155.0299,100.0292,213.1575,9.3239,5.2724,0.5992,0.4008,0.0000,0,0
700,800,750,yes,658,658,0,658,156.7865,107.7314,207.1765,658,147.5096,89.3119,197.5746,9.2769,6.6866,0.6185,0.3815,0.0000,0,0
800,900,850,yes,625,625,0,625,142.8858,95.2259,200.9199,625,136.5022,78.3148,186.9014,6.3836,6.8420,0.6208,0.3792,0.0000,0,0
900,1000,950,yes,598,598,0,598,137.1594,85.4261,188.6024,598,126.7702,71.7172,174.5172,10.3892,4.9766,0.6037,0.3963,0.0000,0,0
1000,1100,1050,yes,594,594,0,594,135.9818,79.3298,187.6122,594,120.9686,67.1891,169.1235,15.0131,6.3842,0.6263,0.3737,0.0000,0,0
1100,1200,1150,yes,570,570,0,570,127.8299,73.0335,174.8130,570,112.9731,61.8610,160.5616,14.8569,3.7317,0.5772,0.4228,0.0000,0,0
1200,1300,1250,yes,482,482,0,482,127.8331,70.4451,181.7195,482,116.1071,60.4089,155.9358,11.7260,4.8566,0.5954,0.4046,0.0000,0,0
1300,1400,1350,yes,303,303,0,303,131.0156,84.7161,199.0651,303,113.2968,74.7332,150.4522,17.7188,7.0760,0.6403,0.3597,0.0000,0,0
1400,1500,1450,yes,122,122,0,122,181.0231,110.3047,269.6750,122,109.9033,74.4311,177.6576,71.1197,5.4066,0.5328,0.4672,0.0000,0,0
1500,1600,1550,no,21,21,0,21,188.1846,70.5634,266.7435,21,161.4672,89.3480,299.1261,26.7174,-11.8005,0.2857,0.7143,0.0000,0,0
