window_lo_ms,window_hi_ms,window_centre_ms,plotted,series,n_cells,median_mm,p90_mm,p95_mm,max_mm,frac_over_500mm,frac_over_200mm,n_cells_identical_to_other_series,n_cells_below_min_samples
0,100,50,yes,without RANSAC,778,977.6244,3740.3843,5295.8170,13615.7645,0.7301,0.9460,778,778
0,100,50,yes,with RANSAC,778,977.6244,3740.3843,5295.8170,13615.7645,0.7301,0.9460,778,778
100,200,150,yes,without RANSAC,640,340.6523,867.3471,1039.7650,3312.3335,0.3125,0.7766,253,11
100,200,150,yes,with RANSAC,640,348.9005,1033.7988,1220.5633,3312.3335,0.3328,0.8016,253,11
200,300,250,yes,without RANSAC,899,268.2998,557.7013,651.7113,1336.7164,0.1379,0.6885,132,1
200,300,250,yes,with RANSAC,899,269.0681,730.3177,919.1227,1873.7234,0.2069,0.6863,132,1
300,400,350,yes,without RANSAC,898,209.7091,394.1909,446.6348,920.7390,0.0267,0.5356,43,0
300,400,350,yes,with RANSAC,898,211.2112,494.1425,626.7372,1489.3154,0.0947,0.5401,43,0
400,500,450,yes,without RANSAC,855,184.5609,346.4855,418.2148,4905.6641,0.0152,0.4363,14,0
400,500,450,yes,with RANSAC,855,178.6295,389.7095,511.5256,973.7584,0.0515,0.4316,14,0
500,600,550,yes,without RANSAC,808,176.2842,342.3366,419.0643,5719.9985,0.0359,0.3787,0,0
500,600,550,yes,with RANSAC,808,165.9932,331.9235,405.7627,696.8188,0.0136,0.3725,0,0
600,700,650,yes,without RANSAC,741,164.3538,314.6964,391.4106,5027.3141,0.0418,0.3522,0,0
600,700,650,yes,with RANSAC,741,155.0299,284.9309,350.1846,496.2681,0.0000,0.3158,0,0
700,800,750,yes,without RANSAC,658,156.7865,309.9501,450.3708,4057.6079,0.0502,0.2827,0,0
700,800,750,yes,with RANSAC,658,147.5096,262.3223,302.3973,487.9064,0.0000,0.2401,0,0
800,900,850,yes,without RANSAC,625,142.8858,308.8741,683.7419,2954.5090,0.0640,0.2528,0,0
800,900,850,yes,with RANSAC,625,136.5022,236.8348,278.3229,429.7721,0.0000,0.1936,0,0
900,1000,950,yes,without RANSAC,598,137.1594,296.4202,992.7555,3823.5974,0.0635,0.2441,0,0
900,1000,950,yes,with RANSAC,598,126.7702,231.0117,275.0229,420.6363,0.0000,0.1555,0,0
1000,1100,1050,yes,without RANSAC,594,135.9818,286.1393,1080.3554,3691.7145,0.0842,0.2374,0,0
1000,1100,1050,yes,with RANSAC,594,120.9686,224.5033,275.8383,367.0482,0.0000,0.1330,0,0
1100,1200,1150,yes,without RANSAC,570,127.8299,284.2388,762.5933,2642.2122,0.0702,0.2018,0,0
1100,1200,1150,yes,with RANSAC,570,112.9731,220.5257,271.1108,352.5901,0.0000,0.1158,0,0
1200,1300,1250,yes,without RANSAC,482,127.8331,290.6949,1155.6913,2634.9348,0.0851,0.2095,0,0
1200,1300,1250,yes,with RANSAC,482,116.1071,225.0125,265.0987,346.5638,0.0000,0.1100,0,0
1300,1400,1350,yes,without RANSAC,303,131.0156,572.5435,1260.4322,2046.4741,0.1221,0.2475,0,0
1300,1400,1350,yes,with RANSAC,303,113.2968,198.0228,231.1658,336.2306,0.0000,0.0957,0,0
1400,1500,1450,yes,without RANSAC,122,181.0231,701.4159,912.9852,1540.6194,0.1148,0.3770,0,0
1400,1500,1450,yes,with RANSAC,122,109.9033,258.6124,304.7323,327.0950,0.0000,0.1967,0,0
1500,1600,1550,no,without RANSAC,21,188.1846,273.3647,274.4166,275.1335,0.0000,0.4286,0,0
1500,1600,1550,no,with RANSAC,21,161.4672,311.3630,311.9824,332.7759,0.0000,0.4286,0,0
