cls2,T_ms,n_ok,n_fit_failed,frame_lag_ms_median,last_pair_detect_ms_median,triangulate_ms_median,ransac_ms_median,predict_ms_median,stage_sum_median,latency_ms_median,sum_minus_latency_median,frame_lag_ms_p95,last_pair_detect_ms_p95,triangulate_ms_p95,ransac_ms_p95,predict_ms_p95,stage_sum_p95,latency_ms_p95,sum_minus_latency_p95
SHORT,150,37,10,16.667000,13.426278,0.044481,74.524741,13.480611,118.143111,118.766500,-0.623389,16.667000,14.913812,0.046874,88.282940,21.303085,141.213711,138.958462,2.255248
SHORT,200,45,2,16.667000,13.441408,0.084926,88.076667,11.255667,129.525668,130.183944,-0.658276,16.667000,15.040981,0.088704,93.500992,19.748930,145.046608,139.033348,6.013260
SHORT,250,45,2,16.667000,13.495908,0.090722,96.155722,13.031167,139.440519,138.883704,0.556815,16.667000,15.059240,0.098730,109.780763,20.798033,162.403767,156.323592,6.080175
SHORT,300,47,0,16.667000,13.430574,0.096777,102.765537,13.371944,146.331832,145.600741,0.731091,16.667000,14.928224,0.099296,119.606367,20.413431,171.714318,171.070887,0.643431
SHORT,350,47,0,16.667000,13.543259,0.103556,114.768537,10.735778,155.818130,155.835556,-0.017426,16.667000,15.120625,0.108913,132.533438,19.037718,183.467694,178.510732,4.956962
SHORT,400,47,0,16.667000,13.515389,0.109148,125.155481,11.842000,167.289018,167.292963,-0.003945,16.667000,14.970696,0.111948,134.373154,20.076213,186.199011,185.286556,0.912455
SHORT,450,47,0,16.667000,13.603611,0.115426,132.707685,12.258648,175.352370,174.842500,0.509870,16.667000,15.101622,0.117820,154.227518,20.605773,206.719733,207.632598,-0.912866
SHORT,490,47,0,16.667000,13.572500,0.120093,140.206630,12.529019,183.095242,183.309556,-0.214314,16.667000,15.037681,0.122965,157.480824,20.808358,210.116828,204.845330,5.271498
SHORT,500,47,0,16.667000,13.556611,0.122333,143.253630,12.564981,186.164555,186.255481,-0.090926,16.667000,15.091904,0.124850,172.569570,21.203754,225.657077,222.304734,3.352344
SHORT,550,47,0,16.667000,13.543907,0.128278,146.846259,12.787314,189.972758,188.713648,1.259110,16.667000,15.117529,0.130844,181.196400,18.102207,231.213980,230.392462,0.821518
SHORT,600,47,0,16.667000,13.565037,0.134297,154.196814,13.120352,197.683500,195.090112,2.593388,16.667000,15.024414,0.136876,179.491133,18.194167,229.513591,226.913405,2.600185
