class,T,n_valid,n_missing,signed_median,signed_q1,signed_q3,abs_median,abs_p95,abs_max
SHORT,150,37,10,10.8936,7.4439,20.6339,14.9618,37.1289,57.5523
SHORT,200,45,2,7.7649,-2.8606,15.1071,13.0664,25.2941,45.2015
SHORT,250,45,2,5.9131,0.6425,10.3826,8.6635,24.4014,54.0634
SHORT,300,47,0,4.6643,-1.8843,7.8071,6.4882,35.6893,77.0241
SHORT,350,47,0,3.1443,-1.1795,6.3839,5.0287,21.6709,58.6218
SHORT,400,47,0,2.7611,-0.7413,5.3162,3.7258,18.6530,21.3716
SHORT,450,47,0,2.1131,-0.0522,4.1252,2.8388,19.1920,26.1913
SHORT,490,47,0,1.2620,-1.1150,3.5898,2.7568,18.7275,23.5742
SHORT,500,47,0,1.5409,-1.0923,3.6084,2.0114,16.7090,19.2493
SHORT,550,47,0,0.7423,-1.2521,2.4635,1.9109,14.8353,22.5392
SHORT,600,47,0,0.0959,-1.2408,1.4977,1.4763,11.5985,24.3127
SHORT,650,47,0,0.2468,-1.3493,1.3509,1.3584,12.8741,20.0443
SHORT,700,47,0,0.0631,-1.3850,1.4559,1.4334,16.6417,35.0612
SHORT,750,47,0,-0.1222,-1.8315,1.2703,1.4135,13.7014,22.2040
SHORT,800,47,0,-0.2007,-1.6661,1.0743,1.3584,18.6450,20.4218
SHORT,850,47,0,-0.1775,-1.3270,0.8682,1.2853,14.0224,19.5149
SHORT,900,47,0,0.0631,-1.3850,0.8566,1.2853,13.5410,18.4151
SHORT,950,47,0,0.0631,-1.3270,0.8682,1.2853,14.2756,18.5441
SHORT,1000,47,0,-0.2007,-1.3850,0.6537,1.2853,14.1664,21.3132
SHORT,1050,47,0,0.0631,-1.3270,1.0012,1.2444,13.6150,21.3132
SHORT,1100,47,0,-0.2007,-1.4475,0.6537,1.2956,13.1192,21.3132
SHORT,1150,47,0,-0.2007,-1.3957,0.6537,1.2956,15.0255,21.3132
SHORT,1200,46,1,-0.1891,-1.3427,0.6625,1.2649,13.8384,21.3132
SHORT,1250,47,0,-0.1775,-1.3270,0.6537,1.2444,13.1192,21.3132
LONG,150,25,35,24.9771,-17.8781,81.5734,53.0383,169.6018,241.0761
LONG,200,45,15,29.3991,-4.3868,78.1860,42.3016,148.8714,229.1542
LONG,250,51,9,26.3080,-5.1173,57.7071,40.4776,98.1811,159.2585
LONG,300,59,1,18.7489,4.7718,52.2636,27.1379,101.8027,150.8461
LONG,350,60,0,8.6372,-2.2639,43.7074,20.1505,74.2352,79.9733
LONG,400,60,0,9.9297,-2.6162,27.5703,15.0584,52.5160,79.6861
LONG,450,59,1,12.1467,-3.1164,24.5184,14.4148,44.0006,121.8422
LONG,490,59,1,9.3959,-3.7097,25.5749,11.8167,50.6655,108.7459
LONG,500,59,1,8.3992,-5.2604,22.5254,11.4810,39.2789,79.0802
LONG,550,59,1,7.8068,-4.3191,19.4929,9.6081,38.2390,145.4741
LONG,600,60,0,7.1515,-2.8641,15.8870,10.3107,35.2884,86.8076
LONG,650,60,0,6.0506,-3.6977,11.8235,9.0649,21.6857,47.4862
LONG,700,60,0,2.6173,-3.2320,9.5318,6.5299,23.0821,46.8932
LONG,750,60,0,3.5147,-2.2957,9.0719,5.9177,21.4797,24.6995
LONG,800,59,1,3.0517,-3.5491,8.2235,6.1021,20.3936,28.6545
LONG,850,60,0,-0.2564,-3.9241,5.9228,4.5991,12.4847,25.7781
LONG,900,59,1,-0.2238,-3.4698,4.7232,4.4625,16.8769,24.1736
LONG,950,60,0,0.7684,-3.5568,5.1009,4.0632,17.9760,23.9335
LONG,1000,60,0,1.2621,-3.3462,3.4425,3.4188,12.4790,24.4893
LONG,1050,60,0,-0.3262,-3.7380,2.6308,3.5103,11.2291,21.5099
LONG,1100,56,4,-0.1626,-2.6919,2.4593,2.6755,8.8261,22.2394
LONG,1150,60,0,-0.5080,-3.3917,1.7845,2.7235,10.1856,23.7737
LONG,1200,59,1,-0.5584,-2.7514,1.1113,2.1266,7.5203,25.7678
LONG,1250,59,1,-1.3974,-3.3089,1.1357,2.8315,10.7884,23.2430
