stratum,percentile,target_obs_duration_ms,model,n_points,median_abs_x_mm,p90_abs_x_mm,median_abs_y_width_mm,p90_abs_y_width_mm,median_abs_z_mm,p90_abs_z_mm
short,25,183.2,A,165,391.06,1992.46,1022.03,4482.17,299.43,946.4
short,25,183.2,B,165,379.69,675.51,165.74,408.23,107.03,211.68
short,25,183.2,C,163,112.98,249.7,152.88,391.26,50.43,115.96
short,50,333.0,A,206,124.08,363.3,317.19,1240.64,69.28,243.6
short,50,333.0,B,206,308.46,563.35,112.69,274.2,84.97,152.21
short,50,333.0,C,206,92.26,180.95,103.65,283.5,39.5,75.2
short,75,499.6,A,250,57.59,159.24,171.0,517.57,40.75,95.56
short,75,499.6,B,250,220.68,447.93,94.08,246.58,61.8,135.04
short,75,499.6,C,250,89.17,158.98,88.0,257.79,37.92,71.26
short,90,632.8,A,188,62.52,139.21,133.7,287.22,45.2,120.86
short,90,632.8,B,188,183.08,401.3,99.35,207.29,41.96,126.47
short,90,632.8,C,188,83.13,145.13,99.21,211.26,47.2,70.75
long,25,366.3,A,502,778.99,2396.97,1995.71,6202.85,898.57,2773.58
long,25,366.3,B,501,611.78,862.06,189.07,575.94,142.75,304.62
long,25,366.3,C,496,67.13,185.75,161.58,496.87,92.56,204.72
long,50,699.4,A,898,114.43,314.71,284.23,903.6,387.14,975.19
long,50,699.4,B,898,443.27,595.82,102.83,286.2,219.65,389.06
long,50,699.4,C,898,41.19,112.68,80.35,251.81,56.43,154.19
long,75,1032.4,A,1281,75.15,149.88,119.78,285.62,204.84,413.6
long,75,1032.4,B,1282,312.03,443.3,96.06,225.93,225.19,368.66
long,75,1032.4,C,1283,42.2,106.49,72.2,193.06,40.36,104.41
long,90,1232.3,A,1222,66.07,132.96,84.94,215.82,142.17,254.77
long,90,1232.3,B,1222,261.18,382.02,100.5,215.97,221.22,341.19
long,90,1232.3,C,1222,45.04,101.74,73.71,183.25,36.53,83.98
