session,flight,total_duration_ms
2026_07_15_gym,flight_01,399.65
2026_07_15_gym,flight_11,1515.34
2026_07_15_gym,flight_12,1515.34
2026_07_15_gym,flight_14,1482.04
2026_07_15_gym,flight_15,1598.60
2026_07_15_gym,flight_17,1448.73
2026_07_15_gym,flight_19,1432.08
2026_07_15_gym,flight_20,1465.38
2026_07_15_gym,flight_21,1432.08
2026_07_15_gym,flight_22,1498.69
2026_07_15_gym,flight_23,1315.52
2026_07_15_gym,flight_24,1382.12
2026_07_15_gym,flight_25,1482.03
2026_07_15_gym,flight_26,1432.08
2026_07_15_gym,flight_27,1265.56
2026_07_15_gym,flight_28,1515.35
2026_07_15_gym,flight_29,1482.03
2026_07_15_gym,flight_31,1432.08
2026_07_15_gym,flight_33,1282.21
2026_07_15_gym,flight_36,1365.47
2026_07_15_gym,flight_38,1265.56
2026_07_15_gym,flight_43,1448.73
2026_07_15_gym,flight_45,1398.77
2026_07_15_gym,flight_47,1565.29
2026_07_15_gym,flight_48,1482.03
2026_07_15_gym,flight_49,1432.08
2026_07_15_gym,flight_50,1382.12
2026_07_15_gym,flight_52,899.21
2026_07_15_gym,flight_53,649.43
2026_07_15_gym,flight_54,566.17
2026_07_15_gym,flight_55,449.61
2026_07_15_gym,flight_56,616.13
2026_07_15_gym,flight_57,399.65
2026_07_15_gym,flight_58,283.08
2026_07_15_gym,flight_59,233.13
2026_07_15_gym,flight_60,666.08
2026_07_21_gym,flight_1,1498.68
2026_07_21_gym,flight_10,532.87
2026_07_21_gym,flight_100,1398.76
2026_07_21_gym,flight_101,1182.28
2026_07_21_gym,flight_102,1298.85
2026_07_21_gym,flight_103,1248.90
2026_07_21_gym,flight_104,1382.11
2026_07_21_gym,flight_105,1348.81
2026_07_21_gym,flight_106,1465.38
2026_07_21_gym,flight_107,1265.55
2026_07_21_gym,flight_108,1298.86
2026_07_21_gym,flight_109,1365.46
2026_07_21_gym,flight_11,915.86
2026_07_21_gym,flight_110,1215.60
2026_07_21_gym,flight_111,1232.25
2026_07_21_gym,flight_112,1215.60
2026_07_21_gym,flight_113,1298.86
2026_07_21_gym,flight_114,1315.51
2026_07_21_gym,flight_115,1248.90
2026_07_21_gym,flight_116,1415.42
2026_07_21_gym,flight_117,1348.82
2026_07_21_gym,flight_118,1215.60
2026_07_21_gym,flight_119,1049.08
2026_07_21_gym,flight_12,682.73
2026_07_21_gym,flight_120,1382.12
2026_07_21_gym,flight_121,1415.42
2026_07_21_gym,flight_122,1565.29
2026_07_21_gym,flight_123,1415.42
2026_07_21_gym,flight_124,1332.16
2026_07_21_gym,flight_125,1332.16
2026_07_21_gym,flight_126,1415.42
2026_07_21_gym,flight_13,765.99
2026_07_21_gym,flight_14,632.78
2026_07_21_gym,flight_15,882.56
2026_07_21_gym,flight_16,582.82
2026_07_21_gym,flight_17,299.74
2026_07_21_gym,flight_18,1065.73
2026_07_21_gym,flight_19,982.47
2026_07_21_gym,flight_2,499.56
2026_07_21_gym,flight_20,815.95
2026_07_21_gym,flight_21,1382.12
2026_07_21_gym,flight_22,1232.25
2026_07_21_gym,flight_23,1298.86
2026_07_21_gym,flight_24,1265.56
2026_07_21_gym,flight_25,1365.47
2026_07_21_gym,flight_26,1382.12
2026_07_21_gym,flight_27,1248.90
2026_07_21_gym,flight_28,1232.25
2026_07_21_gym,flight_29,1415.42
2026_07_21_gym,flight_3,666.08
2026_07_21_gym,flight_30,1365.47
2026_07_21_gym,flight_31,1282.21
2026_07_21_gym,flight_32,1432.08
2026_07_21_gym,flight_33,1298.86
2026_07_21_gym,flight_34,1332.16
2026_07_21_gym,flight_35,1482.03
2026_07_21_gym,flight_36,1365.47
2026_07_21_gym,flight_37,1365.47
2026_07_21_gym,flight_38,1531.99
2026_07_21_gym,flight_39,1382.12
2026_07_21_gym,flight_4,566.17
2026_07_21_gym,flight_40,1248.90
2026_07_21_gym,flight_41,1465.38
2026_07_21_gym,flight_42,1448.73
2026_07_21_gym,flight_43,1432.08
2026_07_21_gym,flight_44,1315.51
2026_07_21_gym,flight_45,1298.86
2026_07_21_gym,flight_46,1448.73
2026_07_21_gym,flight_47,1498.68
2026_07_21_gym,flight_48,1332.16
2026_07_21_gym,flight_49,1415.42
2026_07_21_gym,flight_5,582.82
2026_07_21_gym,flight_51,1565.29
2026_07_21_gym,flight_52,1482.03
2026_07_21_gym,flight_53,1482.03
2026_07_21_gym,flight_54,1148.99
2026_07_21_gym,flight_55,1332.16
2026_07_21_gym,flight_56,1348.82
2026_07_21_gym,flight_57,1365.47
2026_07_21_gym,flight_58,1540.32
2026_07_21_gym,flight_59,1573.62
2026_07_21_gym,flight_6,682.74
2026_07_21_gym,flight_60,1498.68
2026_07_21_gym,flight_61,666.07
2026_07_21_gym,flight_62,732.68
2026_07_21_gym,flight_63,716.03
2026_07_21_gym,flight_64,782.64
2026_07_21_gym,flight_65,716.04
2026_07_21_gym,flight_66,582.82
2026_07_21_gym,flight_67,432.95
2026_07_21_gym,flight_68,832.60
2026_07_21_gym,flight_69,815.95
2026_07_21_gym,flight_7,449.60
2026_07_21_gym,flight_70,666.08
2026_07_21_gym,flight_71,416.30
2026_07_21_gym,flight_72,699.33
2026_07_21_gym,flight_73,915.79
2026_07_21_gym,flight_75,749.29
2026_07_21_gym,flight_76,799.25
2026_07_21_gym,flight_77,749.30
2026_07_21_gym,flight_78,699.35
2026_07_21_gym,flight_79,566.14
2026_07_21_gym,flight_8,582.82
2026_07_21_gym,flight_81,499.54
2026_07_21_gym,flight_82,582.80
2026_07_21_gym,flight_83,666.06
2026_07_21_gym,flight_84,416.29
2026_07_21_gym,flight_85,666.06
2026_07_21_gym,flight_86,532.85
2026_07_21_gym,flight_87,682.71
2026_07_21_gym,flight_89,382.99
2026_07_21_gym,flight_9,666.08
2026_07_21_gym,flight_90,749.33
2026_07_21_gym,flight_91,1298.83
2026_07_21_gym,flight_92,1282.17
2026_07_21_gym,flight_93,1332.14
2026_07_21_gym,flight_94,1415.40
2026_07_21_gym,flight_95,1415.40
2026_07_21_gym,flight_96,1282.19
2026_07_21_gym,flight_97,1215.58
2026_07_21_gym,flight_98,1332.15
2026_07_21_gym,flight_99,1315.50
