session,flight,model,residual_rms_mm
2026_07_21_gym,flight_1,A,48.7616
2026_07_21_gym,flight_1,B,53.7469
2026_07_21_gym,flight_1,C,46.3090
2026_07_21_gym,flight_2,A,34.5927
2026_07_21_gym,flight_2,B,42.7940
2026_07_21_gym,flight_2,C,41.2648
2026_07_21_gym,flight_3,A,37.6768
2026_07_21_gym,flight_3,B,45.0797
2026_07_21_gym,flight_3,C,43.3998
2026_07_21_gym,flight_4,A,34.7296
2026_07_21_gym,flight_4,B,39.0453
2026_07_21_gym,flight_4,C,43.8362
2026_07_21_gym,flight_5,A,31.3337
2026_07_21_gym,flight_5,B,47.6379
2026_07_21_gym,flight_5,C,34.7041
2026_07_21_gym,flight_82,A,32.8305
2026_07_21_gym,flight_82,B,46.6138
2026_07_21_gym,flight_82,C,42.5724
2026_07_21_gym,flight_83,A,29.5841
2026_07_21_gym,flight_83,B,46.9212
2026_07_21_gym,flight_83,C,39.9612
2026_07_21_gym,flight_84,A,39.6969
2026_07_21_gym,flight_84,B,43.6819
2026_07_21_gym,flight_84,C,44.5143
2026_07_21_gym,flight_85,A,38.3057
2026_07_21_gym,flight_85,B,51.0606
2026_07_21_gym,flight_85,C,40.4541
2026_07_21_gym,flight_86,A,35.0052
2026_07_21_gym,flight_86,B,41.2606
2026_07_21_gym,flight_86,C,41.2379
2026_07_21_gym,flight_6,A,42.1693
2026_07_21_gym,flight_6,B,52.5860
2026_07_21_gym,flight_6,C,46.4917
2026_07_21_gym,flight_7,A,43.7404
2026_07_21_gym,flight_7,B,40.6230
2026_07_21_gym,flight_7,C,48.5328
2026_07_21_gym,flight_8,A,37.5249
2026_07_21_gym,flight_8,B,36.5664
2026_07_21_gym,flight_8,C,36.7231
2026_07_21_gym,flight_9,A,35.0551
2026_07_21_gym,flight_9,B,48.6213
2026_07_21_gym,flight_9,C,39.6472
2026_07_21_gym,flight_10,A,34.7882
2026_07_21_gym,flight_10,B,47.1004
2026_07_21_gym,flight_10,C,35.8411
2026_07_21_gym,flight_11,A,43.7139
2026_07_21_gym,flight_11,B,50.2735
2026_07_21_gym,flight_11,C,42.3344
2026_07_21_gym,flight_12,A,36.3350
2026_07_21_gym,flight_12,B,48.1446
2026_07_21_gym,flight_12,C,42.8353
2026_07_21_gym,flight_13,A,41.1210
2026_07_21_gym,flight_13,B,39.9226
2026_07_21_gym,flight_13,C,40.8881
2026_07_21_gym,flight_14,A,35.0290
2026_07_21_gym,flight_14,B,45.8606
2026_07_21_gym,flight_14,C,41.5765
2026_07_21_gym,flight_15,A,34.3076
2026_07_21_gym,flight_15,B,46.4915
2026_07_21_gym,flight_15,C,33.4341
2026_07_21_gym,flight_16,A,38.4648
2026_07_21_gym,flight_16,B,48.1375
2026_07_21_gym,flight_16,C,35.7644
2026_07_21_gym,flight_17,A,39.4345
2026_07_21_gym,flight_17,B,45.0908
2026_07_21_gym,flight_17,C,43.3995
2026_07_21_gym,flight_18,A,40.4615
2026_07_21_gym,flight_18,B,49.4215
2026_07_21_gym,flight_18,C,44.3809
2026_07_21_gym,flight_19,A,42.3792
2026_07_21_gym,flight_19,B,48.9102
2026_07_21_gym,flight_19,C,37.5254
2026_07_21_gym,flight_20,A,38.3304
2026_07_21_gym,flight_20,B,48.8835
2026_07_21_gym,flight_20,C,40.9274
2026_07_21_gym,flight_21,A,36.9004
2026_07_21_gym,flight_21,B,40.1624
2026_07_21_gym,flight_21,C,41.0830
2026_07_21_gym,flight_22,A,41.2032
2026_07_21_gym,flight_22,B,48.8218
2026_07_21_gym,flight_22,C,37.5714
2026_07_21_gym,flight_23,A,42.0879
2026_07_21_gym,flight_23,B,51.5096
2026_07_21_gym,flight_23,C,44.7440
2026_07_21_gym,flight_24,A,42.3944
2026_07_21_gym,flight_24,B,49.5401
2026_07_21_gym,flight_24,C,42.3658
2026_07_21_gym,flight_25,A,40.4128
2026_07_21_gym,flight_25,B,45.7183
2026_07_21_gym,flight_25,C,42.3837
2026_07_21_gym,flight_26,A,40.0030
2026_07_21_gym,flight_26,B,50.5406
2026_07_21_gym,flight_26,C,41.3639
2026_07_21_gym,flight_27,A,36.2667
2026_07_21_gym,flight_27,B,44.3345
2026_07_21_gym,flight_27,C,41.1842
2026_07_21_gym,flight_28,A,40.0571
2026_07_21_gym,flight_28,B,46.6638
2026_07_21_gym,flight_28,C,41.2433
2026_07_21_gym,flight_29,A,44.2399
2026_07_21_gym,flight_29,B,52.2387
2026_07_21_gym,flight_29,C,43.2618
2026_07_21_gym,flight_30,A,38.6469
2026_07_21_gym,flight_30,B,50.0833
2026_07_21_gym,flight_30,C,39.5890
2026_07_21_gym,flight_31,A,42.4859
2026_07_21_gym,flight_31,B,48.2636
2026_07_21_gym,flight_31,C,39.9454
2026_07_21_gym,flight_32,A,43.3321
2026_07_21_gym,flight_32,B,46.2499
2026_07_21_gym,flight_32,C,39.4328
2026_07_21_gym,flight_33,A,42.6567
2026_07_21_gym,flight_33,B,44.8428
2026_07_21_gym,flight_33,C,44.8444
