session,flight,n_points,n_inliers_C,k_refined,v0_mag_mm_s
2026_07_21_gym,flight_1,87,51,6.050930e-05,8322.90
2026_07_21_gym,flight_2,30,25,3.626360e-05,8839.90
2026_07_21_gym,flight_3,39,34,5.202311e-05,10076.29
2026_07_21_gym,flight_4,35,28,3.591795e-05,7477.00
2026_07_21_gym,flight_5,36,30,5.573393e-05,8090.78
2026_07_21_gym,flight_82,35,30,3.626657e-05,9749.06
2026_07_21_gym,flight_83,41,33,4.545970e-05,9451.66
2026_07_21_gym,flight_84,26,22,2.672462e-05,10262.59
2026_07_21_gym,flight_85,40,29,4.172174e-05,9613.80
2026_07_21_gym,flight_86,33,27,3.926460e-05,9960.06
2026_07_21_gym,flight_6,42,34,4.974356e-05,8447.34
2026_07_21_gym,flight_7,28,21,2.773937e-05,7892.93
2026_07_21_gym,flight_8,36,30,7.008054e-05,8197.96
2026_07_21_gym,flight_9,41,34,4.828040e-05,8928.31
2026_07_21_gym,flight_10,32,25,4.483366e-05,8799.96
2026_07_21_gym,flight_11,54,40,4.280928e-05,6508.99
2026_07_21_gym,flight_12,41,36,4.025747e-05,8316.31
2026_07_21_gym,flight_13,47,36,5.965929e-05,8594.98
2026_07_21_gym,flight_14,39,32,4.572487e-05,8256.91
2026_07_21_gym,flight_15,54,38,5.801794e-05,8840.93
2026_07_21_gym,flight_16,36,25,6.258060e-05,9292.96
2026_07_21_gym,flight_17,19,15,insufficient_data,
2026_07_21_gym,flight_18,64,43,5.745676e-05,6732.96
2026_07_21_gym,flight_19,60,40,5.664828e-05,7038.73
2026_07_21_gym,flight_20,50,38,5.215786e-05,8013.36
2026_07_21_gym,flight_21,82,51,4.999881e-05,8025.73
2026_07_21_gym,flight_22,73,54,5.934043e-05,7123.02
2026_07_21_gym,flight_23,78,56,5.166916e-05,7806.55
2026_07_21_gym,flight_24,77,55,5.244861e-05,7315.86
2026_07_21_gym,flight_25,79,46,5.585809e-05,8323.70
2026_07_21_gym,flight_26,83,51,5.707499e-05,7443.08
2026_07_21_gym,flight_27,76,52,5.890515e-05,7210.56
2026_07_21_gym,flight_28,72,45,4.491791e-05,6857.95
2026_07_21_gym,flight_29,85,59,5.602115e-05,7975.97
2026_07_21_gym,flight_30,83,59,6.162514e-05,7057.54
2026_07_21_gym,flight_31,76,56,5.296533e-05,7112.82
2026_07_21_gym,flight_32,86,60,5.484209e-05,7656.64
2026_07_21_gym,flight_33,78,57,5.908157e-05,7252.81
2026_07_21_gym,flight_34,79,55,5.589472e-05,7140.87
2026_07_21_gym,flight_35,84,47,4.993454e-05,8453.71
2026_07_21_gym,flight_36,81,55,4.997302e-05,7565.88
2026_07_21_gym,flight_37,82,48,5.572842e-05,7336.88
2026_07_21_gym,flight_38,86,50,5.409908e-05,7731.57
2026_07_21_gym,flight_39,81,51,5.870960e-05,7692.89
2026_07_21_gym,flight_40,72,42,4.974952e-05,7479.98
2026_07_21_gym,flight_41,87,45,6.104608e-05,7613.45
2026_07_21_gym,flight_42,84,50,5.626412e-05,7137.88
2026_07_21_gym,flight_43,85,66,5.752243e-05,7409.35
2026_07_21_gym,flight_44,76,41,5.134642e-05,6640.81
2026_07_21_gym,flight_45,76,45,5.655584e-05,7031.26
2026_07_21_gym,flight_46,81,60,5.303396e-05,7014.74
2026_07_21_gym,flight_47,90,66,5.199395e-05,7790.85
2026_07_21_gym,flight_48,80,51,5.498132e-05,7524.20
2026_07_21_gym,flight_49,84,55,5.413828e-05,7426.99
2026_07_21_gym,flight_50,78,37,5.201522e-05,8039.05
2026_07_21_gym,flight_51,92,51,5.827472e-05,8178.23
2026_07_21_gym,flight_52,90,65,5.431206e-05,7799.89
2026_07_21_gym,flight_53,88,69,5.822447e-05,7551.71
2026_07_21_gym,flight_54,70,53,5.715122e-05,6974.96
2026_07_21_gym,flight_55,80,53,5.463105e-05,7213.41
2026_07_21_gym,flight_56,81,55,5.358460e-05,7093.42
2026_07_21_gym,flight_57,82,63,5.750902e-05,7169.05
2026_07_21_gym,flight_58,91,55,5.677022e-05,8006.11
2026_07_21_gym,flight_59,89,52,5.260269e-05,8069.05
2026_07_21_gym,flight_60,89,63,4.472238e-05,7311.57
2026_07_21_gym,flight_61,40,32,4.558015e-05,7656.09
2026_07_21_gym,flight_62,43,27,4.494878e-05,9050.17
2026_07_21_gym,flight_63,44,32,4.141900e-05,8240.52
2026_07_21_gym,flight_64,47,31,4.754299e-05,8583.32
2026_07_21_gym,flight_65,43,27,5.681034e-05,7860.33
2026_07_21_gym,flight_66,36,30,4.599235e-05,8533.43
2026_07_21_gym,flight_67,27,22,2.149927e-05,8238.67
2026_07_21_gym,flight_68,50,36,4.683979e-05,8249.03
2026_07_21_gym,flight_69,48,31,5.033369e-05,8587.60
2026_07_21_gym,flight_70,39,31,4.059998e-05,8900.32
2026_07_21_gym,flight_71,26,25,4.740385e-05,8090.75
2026_07_21_gym,flight_72,42,30,4.652701e-05,8097.77
2026_07_21_gym,flight_73,56,37,4.096485e-05,7680.48
2026_07_21_gym,flight_74,46,33,4.842280e-05,9118.65
2026_07_21_gym,flight_75,46,34,4.751578e-05,8106.10
2026_07_21_gym,flight_76,48,34,4.450682e-05,7845.11
2026_07_21_gym,flight_77,43,38,4.529029e-05,8018.49
2026_07_21_gym,flight_78,43,33,4.289285e-05,8880.41
2026_07_21_gym,flight_79,35,30,3.710160e-05,9487.52
2026_07_21_gym,flight_80,28,22,4.372196e-05,10478.17
2026_07_21_gym,flight_81,31,31,5.257264e-05,9734.57
2026_07_21_gym,flight_87,40,31,4.847852e-05,9655.61
2026_07_21_gym,flight_88,42,31,5.294639e-05,9312.03
2026_07_21_gym,flight_89,23,19,insufficient_data,
2026_07_21_gym,flight_90,45,37,5.180997e-05,8431.70
2026_07_21_gym,flight_91,78,67,4.954019e-05,7209.82
2026_07_21_gym,flight_92,74,64,4.784488e-05,7295.04
2026_07_21_gym,flight_93,78,55,5.180239e-05,7652.45
2026_07_21_gym,flight_94,85,55,5.287934e-05,7937.42
2026_07_21_gym,flight_95,84,54,4.486248e-05,8143.99
2026_07_21_gym,flight_96,74,57,4.600566e-05,7055.58
2026_07_21_gym,flight_97,70,56,4.551158e-05,6753.25
2026_07_21_gym,flight_98,78,66,5.323969e-05,7422.14
2026_07_21_gym,flight_99,80,58,5.214949e-05,6971.66
2026_07_21_gym,flight_100,83,56,4.711557e-05,7844.66
2026_07_21_gym,flight_101,71,51,4.840650e-05,6245.81
2026_07_21_gym,flight_102,73,60,5.465774e-05,6906.71
2026_07_21_gym,flight_103,71,47,4.551658e-05,7106.90
2026_07_21_gym,flight_104,82,62,5.845885e-05,7619.95
2026_07_21_gym,flight_105,81,52,5.799506e-05,7402.98
2026_07_21_gym,flight_106,83,48,5.185073e-05,7936.62
2026_07_21_gym,flight_107,75,43,4.336790e-05,6931.18
2026_07_21_gym,flight_108,76,48,5.617062e-05,7100.60
2026_07_21_gym,flight_109,81,51,4.933297e-05,7868.86
2026_07_21_gym,flight_110,74,56,5.102947e-05,6936.91
2026_07_21_gym,flight_111,74,54,5.647082e-05,6789.38
2026_07_21_gym,flight_112,70,39,4.447480e-05,6554.68
2026_07_21_gym,flight_113,79,56,5.398928e-05,6611.21
2026_07_21_gym,flight_114,79,50,5.448935e-05,7092.52
2026_07_21_gym,flight_115,71,50,5.519931e-05,7062.95
2026_07_21_gym,flight_116,84,62,5.519181e-05,7125.69
2026_07_21_gym,flight_117,81,50,5.419872e-05,7137.69
2026_07_21_gym,flight_118,73,51,5.327645e-05,6977.38
2026_07_21_gym,flight_119,60,46,5.276002e-05,6391.72
2026_07_21_gym,flight_120,84,61,5.243418e-05,7052.23
2026_07_21_gym,flight_121,82,49,5.195181e-05,7609.43
2026_07_21_gym,flight_122,91,52,5.342227e-05,8046.13
2026_07_21_gym,flight_123,80,46,5.129848e-05,7476.16
2026_07_21_gym,flight_124,76,45,5.407568e-05,7054.86
2026_07_21_gym,flight_125,81,53,5.139662e-05,6988.47
2026_07_21_gym,flight_126,86,58,5.104899e-05,7493.28
2026_07_15_gym,flight_01,25,23,3.841605e-05,10129.80
2026_07_15_gym,flight_11,77,31,4.756109e-05,8254.41
2026_07_15_gym,flight_12,86,45,6.330854e-05,7850.46
2026_07_15_gym,flight_13,48,38,3.964188e-05,7936.79
2026_07_15_gym,flight_14,83,48,6.736388e-05,8092.56
2026_07_15_gym,flight_15,87,48,6.145428e-05,8160.20
2026_07_15_gym,flight_17,74,37,5.895671e-05,7720.39
2026_07_15_gym,flight_19,82,50,6.000911e-05,7778.04
2026_07_15_gym,flight_20,86,61,7.242864e-05,8328.35
2026_07_15_gym,flight_21,84,62,6.191442e-05,7834.82
2026_07_15_gym,flight_22,87,52,5.748231e-05,7574.02
2026_07_15_gym,flight_23,73,56,6.016150e-05,7385.26
2026_07_15_gym,flight_24,81,57,5.796489e-05,7253.67
2026_07_15_gym,flight_25,82,58,6.446924e-05,8048.92
2026_07_15_gym,flight_26,83,51,6.341433e-05,7504.30
2026_07_15_gym,flight_27,73,44,5.527333e-05,7196.03
2026_07_15_gym,flight_28,92,76,6.151354e-05,7847.07
2026_07_15_gym,flight_29,89,74,5.774461e-05,7560.31
2026_07_15_gym,flight_31,86,64,6.119679e-05,7410.47
2026_07_15_gym,flight_33,75,56,6.256457e-05,6916.96
2026_07_15_gym,flight_36,81,46,5.964627e-05,6794.69
2026_07_15_gym,flight_38,77,59,6.677881e-05,6090.78
2026_07_15_gym,flight_43,87,55,5.691497e-05,7596.31
2026_07_15_gym,flight_45,81,59,5.896483e-05,7387.80
2026_07_15_gym,flight_47,88,60,6.196719e-05,8079.82
2026_07_15_gym,flight_48,82,53,6.333040e-05,8212.06
2026_07_15_gym,flight_49,78,52,6.530969e-05,7184.97
2026_07_15_gym,flight_50,71,51,6.268527e-05,6606.77
2026_07_15_gym,flight_52,54,41,5.595150e-05,6889.21
2026_07_15_gym,flight_53,39,27,4.787753e-05,8106.28
2026_07_15_gym,flight_54,34,27,3.445658e-05,8146.93
2026_07_15_gym,flight_55,28,26,4.174156e-05,8594.93
2026_07_15_gym,flight_56,37,27,4.397243e-05,8858.49
2026_07_15_gym,flight_57,25,23,1.498869e-05,8949.56
2026_07_15_gym,flight_58,18,17,insufficient_data,
2026_07_15_gym,flight_59,15,15,insufficient_data,
2026_07_15_gym,flight_60,40,33,6.742279e-05,8210.80
