session,flight,model,rejected_fraction,converge_fail
2026_07_21_gym,flight_1,A,0.4483,False
2026_07_21_gym,flight_1,B,0.6207,False
2026_07_21_gym,flight_1,C,0.4138,False
2026_07_21_gym,flight_2,A,0.1667,False
2026_07_21_gym,flight_2,B,0.2000,False
2026_07_21_gym,flight_2,C,0.1667,False
2026_07_21_gym,flight_3,A,0.1538,False
2026_07_21_gym,flight_3,B,0.3846,False
2026_07_21_gym,flight_3,C,0.1282,False
2026_07_21_gym,flight_4,A,0.3143,False
2026_07_21_gym,flight_4,B,0.3429,False
2026_07_21_gym,flight_4,C,0.2000,False
2026_07_21_gym,flight_5,A,0.1667,False
2026_07_21_gym,flight_5,B,0.2500,False
2026_07_21_gym,flight_5,C,0.1667,False
2026_07_21_gym,flight_82,A,0.1429,False
2026_07_21_gym,flight_82,B,0.1714,False
2026_07_21_gym,flight_82,C,0.1429,False
2026_07_21_gym,flight_83,A,0.1951,False
2026_07_21_gym,flight_83,B,0.2927,False
2026_07_21_gym,flight_83,C,0.1951,False
2026_07_21_gym,flight_84,A,0.1154,False
2026_07_21_gym,flight_84,B,0.1154,False
2026_07_21_gym,flight_84,C,0.1538,False
2026_07_21_gym,flight_85,A,0.1250,False
2026_07_21_gym,flight_85,B,0.3250,False
2026_07_21_gym,flight_85,C,0.2750,False
2026_07_21_gym,flight_86,A,0.1818,False
2026_07_21_gym,flight_86,B,0.2121,False
2026_07_21_gym,flight_86,C,0.1818,False
2026_07_21_gym,flight_6,A,0.2381,False
2026_07_21_gym,flight_6,B,0.5000,False
2026_07_21_gym,flight_6,C,0.1905,False
2026_07_21_gym,flight_7,A,0.2143,False
2026_07_21_gym,flight_7,B,0.3214,False
2026_07_21_gym,flight_7,C,0.2500,False
2026_07_21_gym,flight_8,A,0.1389,False
2026_07_21_gym,flight_8,B,0.3611,False
2026_07_21_gym,flight_8,C,0.1667,False
2026_07_21_gym,flight_9,A,0.2195,False
2026_07_21_gym,flight_9,B,0.2927,False
2026_07_21_gym,flight_9,C,0.1707,False
2026_07_21_gym,flight_10,A,0.1875,False
2026_07_21_gym,flight_10,B,0.2188,False
2026_07_21_gym,flight_10,C,0.2188,False
2026_07_21_gym,flight_11,A,0.2407,False
2026_07_21_gym,flight_11,B,0.3148,False
2026_07_21_gym,flight_11,C,0.2593,False
2026_07_21_gym,flight_12,A,0.1220,False
2026_07_21_gym,flight_12,B,0.2195,False
2026_07_21_gym,flight_12,C,0.1220,False
2026_07_21_gym,flight_13,A,0.2128,False
2026_07_21_gym,flight_13,B,0.4894,False
2026_07_21_gym,flight_13,C,0.2340,False
2026_07_21_gym,flight_14,A,0.2051,False
2026_07_21_gym,flight_14,B,0.3077,False
2026_07_21_gym,flight_14,C,0.1795,False
2026_07_21_gym,flight_15,A,0.2593,False
2026_07_21_gym,flight_15,B,0.6111,False
2026_07_21_gym,flight_15,C,0.2963,False
2026_07_21_gym,flight_16,A,0.2222,False
2026_07_21_gym,flight_16,B,0.4167,False
2026_07_21_gym,flight_16,C,0.3056,False
2026_07_21_gym,flight_17,A,0.2105,False
2026_07_21_gym,flight_17,B,0.2632,False
2026_07_21_gym,flight_17,C,0.2105,False
2026_07_21_gym,flight_18,A,0.3594,False
2026_07_21_gym,flight_18,B,0.5469,False
2026_07_21_gym,flight_18,C,0.3281,False
2026_07_21_gym,flight_19,A,0.3333,False
2026_07_21_gym,flight_19,B,0.6000,False
