session,flight,model,N,lead_time_ms,rejected_frac,bucket_median,bucket_iqr,bucket_threshold
2026_07_21_gym,flight_34,A,34,766.0,0.5588,0.2727,0.1828,0.5469
2026_07_21_gym,flight_34,B,34,766.0,0.5588,0.2821,0.1718,0.5397
2026_07_21_gym,flight_34,A,35,749.3,0.5714,0.2727,0.1828,0.5469
2026_07_21_gym,flight_37,A,35,782.6,0.6000,0.2727,0.1828,0.5469
2026_07_21_gym,flight_37,B,35,782.6,0.6000,0.2821,0.1718,0.5397
2026_07_21_gym,flight_37,A,37,749.3,0.5676,0.2727,0.1828,0.5469
2026_07_21_gym,flight_37,B,37,749.3,0.5405,0.2821,0.1718,0.5397
2026_07_21_gym,flight_38,A,8,1415.4,0.2500,0.0000,0.1429,0.2143
2026_07_21_gym,flight_38,A,16,1282.2,0.5000,0.1818,0.2032,0.4866
2026_07_21_gym,flight_38,A,18,1248.9,0.5000,0.1818,0.2032,0.4866
2026_07_21_gym,flight_38,B,18,1248.9,0.5000,0.2000,0.1889,0.4833
2026_07_21_gym,flight_38,A,19,1232.3,0.5263,0.1818,0.2032,0.4866
2026_07_21_gym,flight_38,C,19,1232.3,0.4737,0.1818,0.1869,0.4621
2026_07_21_gym,flight_38,A,20,1215.6,0.5000,0.1818,0.2032,0.4866
2026_07_21_gym,flight_38,B,20,1215.6,0.5000,0.2000,0.1889,0.4833
2026_07_21_gym,flight_38,C,46,682.7,0.5217,0.2500,0.1517,0.4776
2026_07_21_gym,flight_45,A,27,832.6,0.5926,0.2941,0.1945,0.5858
2026_07_21_gym,flight_45,A,28,815.9,0.6071,0.2941,0.1945,0.5858
2026_07_21_gym,flight_45,B,30,782.6,0.5667,0.2821,0.1718,0.5397
2026_07_21_gym,flight_45,B,31,766.0,0.5806,0.2821,0.1718,0.5397
2026_07_21_gym,flight_45,A,32,749.3,0.5625,0.2727,0.1828,0.5469
2026_07_21_gym,flight_45,B,33,732.7,0.5455,0.2821,0.1718,0.5397
2026_07_21_gym,flight_45,A,35,699.4,0.5429,0.2632,0.1670,0.5136
2026_07_21_gym,flight_45,B,35,699.4,0.5429,0.2750,0.1659,0.5238
2026_07_21_gym,flight_45,C,35,699.4,0.4857,0.2500,0.1517,0.4776
2026_07_21_gym,flight_45,B,36,682.7,0.5278,0.2750,0.1659,0.5238
2026_07_21_gym,flight_45,C,36,682.7,0.5000,0.2500,0.1517,0.4776
2026_07_21_gym,flight_45,C,37,666.1,0.4865,0.2500,0.1517,0.4776
2026_07_21_gym,flight_41,B,13,1248.9,0.5385,0.2000,0.1889,0.4833
2026_07_21_gym,flight_41,A,14,1232.3,0.5714,0.1818,0.2032,0.4866
2026_07_21_gym,flight_41,A,15,1215.6,0.6000,0.1818,0.2032,0.4866
2026_07_21_gym,flight_41,B,15,1215.6,0.6000,0.2000,0.1889,0.4833
2026_07_21_gym,flight_41,A,18,1165.6,0.6667,0.2593,0.2101,0.5744
2026_07_21_gym,flight_41,B,18,1165.6,0.6667,0.2667,0.2208,0.5978
2026_07_21_gym,flight_41,A,19,1149.0,0.6842,0.2593,0.2101,0.5744
2026_07_21_gym,flight_41,B,19,1149.0,0.6316,0.2667,0.2208,0.5978
2026_07_21_gym,flight_41,C,19,1149.0,0.5789,0.2500,0.2007,0.5511
2026_07_21_gym,flight_41,A,20,1132.3,0.7000,0.2593,0.2101,0.5744
2026_07_21_gym,flight_41,B,20,1132.3,0.7000,0.2667,0.2208,0.5978
2026_07_21_gym,flight_41,A,21,1115.7,0.6667,0.2593,0.2101,0.5744
2026_07_21_gym,flight_41,B,21,1115.7,0.7143,0.2667,0.2208,0.5978
2026_07_21_gym,flight_41,A,22,1099.0,0.7273,0.2880,0.2124,0.6066
2026_07_21_gym,flight_41,A,23,1082.4,0.7391,0.2880,0.2124,0.6066
2026_07_21_gym,flight_41,B,23,1082.4,0.7391,0.2857,0.2125,0.6045
2026_07_21_gym,flight_41,C,23,1082.4,0.6522,0.2667,0.1974,0.5627
2026_07_21_gym,flight_41,A,24,1065.7,0.7500,0.2880,0.2124,0.6066
2026_07_21_gym,flight_41,B,24,1065.7,0.7500,0.2857,0.2125,0.6045
2026_07_21_gym,flight_41,A,25,1049.1,0.7200,0.2880,0.2124,0.6066
2026_07_21_gym,flight_41,B,25,1049.1,0.7200,0.2857,0.2125,0.6045
2026_07_21_gym,flight_41,A,26,1032.4,0.7308,0.2880,0.2124,0.6066
2026_07_21_gym,flight_41,B,26,1032.4,0.7308,0.2857,0.2125,0.6045
2026_07_21_gym,flight_41,A,27,1015.8,0.7037,0.2880,0.2124,0.6066
2026_07_21_gym,flight_41,B,27,1015.8,0.7037,0.2857,0.2125,0.6045
2026_07_21_gym,flight_41,C,27,1015.8,0.7037,0.2667,0.1974,0.5627
2026_07_21_gym,flight_41,A,28,999.1,0.7500,0.2941,0.2110,0.6107
2026_07_21_gym,flight_41,B,28,999.1,0.7500,0.2917,0.2065,0.6013
2026_07_21_gym,flight_41,C,28,999.1,0.6786,0.2800,0.1979,0.5769
