stratum,axis,percentile,target_value_ms,model,n_points,median_error_mm,p90_error_mm
short,obs_duration_ms,25,183.2,A,165,1344.54,4812.13
short,obs_duration_ms,25,183.2,B,165,466.77,859.31
short,obs_duration_ms,25,183.2,C,163,233.04,423.12
short,obs_duration_ms,50,333.0,A,210,372.06,1267.18
short,obs_duration_ms,50,333.0,B,210,349.86,617.69
short,obs_duration_ms,50,333.0,C,210,169.0,325.6
short,obs_duration_ms,75,499.6,A,250,201.8,535.39
short,obs_duration_ms,75,499.6,B,250,267.86,507.98
short,obs_duration_ms,75,499.6,C,250,138.27,305.17
short,obs_duration_ms,90,632.8,A,188,176.46,326.19
short,obs_duration_ms,90,632.8,B,188,224.52,455.25
short,obs_duration_ms,90,632.8,C,188,137.82,261.53
short,lead_time_ms,25,166.5,A,162,178.36,555.3
short,lead_time_ms,25,166.5,B,162,240.04,419.47
short,lead_time_ms,25,166.5,C,159,157.87,295.52
short,lead_time_ms,50,316.4,A,154,407.6,1163.7
short,lead_time_ms,50,316.4,B,154,335.17,500.77
short,lead_time_ms,50,316.4,C,153,158.84,297.23
short,lead_time_ms,75,482.9,A,208,1815.34,8812.17
short,lead_time_ms,75,482.9,B,207,523.67,815.84
short,lead_time_ms,75,482.9,C,205,254.31,569.01
short,lead_time_ms,90,616.1,A,187,5202.49,36504.42
short,lead_time_ms,90,616.1,B,184,683.66,1638.77
short,lead_time_ms,90,616.1,C,178,329.66,1203.71
long,obs_duration_ms,25,366.4,A,502,2626.07,7032.93
long,obs_duration_ms,25,366.4,B,501,705.53,963.99
long,obs_duration_ms,25,366.4,C,496,240.46,540.53
long,obs_duration_ms,50,699.4,A,898,608.22,1221.85
long,obs_duration_ms,50,699.4,B,898,536.01,720.02
long,obs_duration_ms,50,699.4,C,898,153.41,280.33
long,obs_duration_ms,75,1032.4,A,1281,284.78,495.95
long,obs_duration_ms,75,1032.4,B,1282,419.85,593.05
long,obs_duration_ms,75,1032.4,C,1283,123.38,228.68
long,obs_duration_ms,90,1232.2,A,1222,212.04,332.03
long,obs_duration_ms,90,1232.2,B,1222,375.23,521.02
long,obs_duration_ms,90,1232.2,C,1222,114.16,217.2
long,lead_time_ms,25,349.7,A,502,283.32,395.63
long,lead_time_ms,25,349.7,B,503,422.19,560.48
long,lead_time_ms,25,349.7,C,503,117.94,232.32
long,lead_time_ms,50,666.1,A,713,610.59,1083.05
long,lead_time_ms,50,666.1,B,713,540.39,692.63
long,lead_time_ms,50,666.1,C,713,153.22,275.92
long,lead_time_ms,75,999.1,A,1184,2404.8,10588.38
long,lead_time_ms,75,999.1,B,1180,714.67,969.31
long,lead_time_ms,75,999.1,C,1147,253.19,603.03
long,lead_time_ms,90,1215.6,A,1166,12088.33,121678.47
long,lead_time_ms,90,1215.6,B,1132,956.83,2473.36
long,lead_time_ms,90,1215.6,C,1070,503.41,2295.34
