flight,k,residual_rms_mm
flight_01,3.07555556e-06,26.7518
flight_01,8.27218391e-06,24.9338
flight_01,1.34688123e-05,23.2443
flight_01,1.86654406e-05,21.7132
flight_01,2.38620690e-05,20.3763
flight_01,2.90586973e-05,19.2738
flight_01,3.42553257e-05,18.4477
flight_01,3.94519540e-05,17.9357
flight_01,4.46485824e-05,17.7648
flight_01,4.98452107e-05,17.9443
flight_01,5.50418391e-05,18.4635
flight_01,6.02384674e-05,19.2946
flight_01,6.54350958e-05,20.3990
flight_01,7.06317241e-05,21.7344
flight_01,7.58283525e-05,23.2607
flight_01,8.10249808e-05,24.9422
flight_01,8.62216092e-05,26.7492
flight_01,9.14182375e-05,28.6574
flight_01,9.66148659e-05,30.6473
flight_01,1.01811494e-04,32.7035
flight_01,1.07008123e-04,34.8137
flight_01,1.12204751e-04,36.9681
flight_01,1.17401379e-04,39.1590
flight_01,1.22598008e-04,41.3799
flight_01,1.27794636e-04,43.6258
flight_01,1.32991264e-04,45.8925
flight_01,1.38187893e-04,48.1766
flight_01,1.43384521e-04,50.4752
flight_01,1.48581149e-04,52.7859
flight_01,1.53777778e-04,55.1066
flight_22,3.07555556e-06,60.9043
flight_22,8.27218391e-06,56.4997
flight_22,1.34688123e-05,52.2222
flight_22,1.86654406e-05,48.0962
flight_22,2.38620690e-05,44.1537
flight_22,2.90586973e-05,40.4375
flight_22,3.42553257e-05,37.0043
flight_22,3.94519540e-05,33.9275
flight_22,4.46485824e-05,31.2994
flight_22,4.98452107e-05,29.2276
flight_22,5.50418391e-05,27.8227
flight_22,6.02384674e-05,27.1744
flight_22,6.54350958e-05,27.3233
flight_22,7.06317241e-05,28.2442
flight_22,7.58283525e-05,29.8543
flight_22,8.10249808e-05,32.0395
flight_22,8.62216092e-05,34.6820
flight_22,9.14182375e-05,37.6774
flight_22,9.66148659e-05,40.9409
flight_22,1.01811494e-04,44.4070
flight_22,1.07008123e-04,48.0258
flight_22,1.12204751e-04,51.7600
flight_22,1.17401379e-04,55.5817
flight_22,1.22598008e-04,59.4697
flight_22,1.27794636e-04,63.4078
flight_22,1.32991264e-04,67.3837
flight_22,1.38187893e-04,71.3879
flight_22,1.43384521e-04,75.4130
flight_22,1.48581149e-04,79.4530
flight_22,1.53777778e-04,83.5033
pooled,3.07555556e-06,55.0977
pooled,8.27218391e-06,51.1258
pooled,1.34688123e-05,47.2770
pooled,1.86654406e-05,43.5757
pooled,2.38620690e-05,40.0539
pooled,2.90586973e-05,36.7540
pooled,3.42553257e-05,33.7312
pooled,3.94519540e-05,31.0558
pooled,4.46485824e-05,28.8138
pooled,4.98452107e-05,27.1016
pooled,5.50418391e-05,26.0121
pooled,6.02384674e-05,25.6137
pooled,6.54350958e-05,25.9270
pooled,7.06317241e-05,26.9171
pooled,7.58283525e-05,28.5040
pooled,8.10249808e-05,30.5865
pooled,8.62216092e-05,33.0634
pooled,9.14182375e-05,35.8463
pooled,9.66148659e-05,38.8633
pooled,1.01811494e-04,42.0586
pooled,1.07008123e-04,45.3896
pooled,1.12204751e-04,48.8242
pooled,1.17401379e-04,52.3378
pooled,1.22598008e-04,55.9121
pooled,1.27794636e-04,59.5327
pooled,1.32991264e-04,63.1887
pooled,1.38187893e-04,66.8716
pooled,1.43384521e-04,70.5745
pooled,1.48581149e-04,74.2922
pooled,1.53777778e-04,78.0204
