flight,variant,k,residual_rms_mm
flight_01,plain,3.07555556e-06,26.7518
flight_01,plain,8.27218391e-06,24.9338
flight_01,plain,1.34688123e-05,23.2443
flight_01,plain,1.86654406e-05,21.7132
flight_01,plain,2.38620690e-05,20.3763
flight_01,plain,2.90586973e-05,19.2738
flight_01,plain,3.42553257e-05,18.4477
flight_01,plain,3.94519540e-05,17.9357
flight_01,plain,4.46485824e-05,17.7648
flight_01,plain,4.98452107e-05,17.9443
flight_01,plain,5.50418391e-05,18.4635
flight_01,plain,6.02384674e-05,19.2946
flight_01,plain,6.54350958e-05,20.3990
flight_01,plain,7.06317241e-05,21.7344
flight_01,plain,7.58283525e-05,23.2607
flight_01,plain,8.10249808e-05,24.9422
flight_01,plain,8.62216092e-05,26.7492
flight_01,plain,9.14182375e-05,28.6574
flight_01,plain,9.66148659e-05,30.6473
flight_01,plain,1.01811494e-04,32.7035
flight_01,plain,1.07008123e-04,34.8137
flight_01,plain,1.12204751e-04,36.9681
flight_01,plain,1.17401379e-04,39.1590
flight_01,plain,1.22598008e-04,41.3799
flight_01,plain,1.27794636e-04,43.6258
flight_01,plain,1.32991264e-04,45.8925
flight_01,plain,1.38187893e-04,48.1766
flight_01,plain,1.43384521e-04,50.4752
flight_01,plain,1.48581149e-04,52.7859
flight_01,plain,1.53777778e-04,55.1066
flight_01,ransac,3.07555556e-06,26.7518
flight_01,ransac,8.27218391e-06,24.9338
flight_01,ransac,1.34688123e-05,23.2443
flight_01,ransac,1.86654406e-05,21.7132
flight_01,ransac,2.38620690e-05,20.3763
flight_01,ransac,2.90586973e-05,19.2738
flight_01,ransac,3.42553257e-05,18.4477
flight_01,ransac,3.94519540e-05,17.9357
flight_01,ransac,4.46485824e-05,17.7648
flight_01,ransac,4.98452107e-05,17.9443
flight_01,ransac,5.50418391e-05,18.4635
flight_01,ransac,6.02384674e-05,19.2946
flight_01,ransac,6.54350958e-05,20.3990
flight_01,ransac,7.06317241e-05,21.7344
flight_01,ransac,7.58283525e-05,23.2607
flight_01,ransac,8.10249808e-05,24.9422
flight_01,ransac,8.62216092e-05,26.7492
flight_01,ransac,9.14182375e-05,28.6574
flight_01,ransac,9.66148659e-05,30.6473
flight_01,ransac,1.01811494e-04,32.7035
flight_01,ransac,1.07008123e-04,34.8137
flight_01,ransac,1.12204751e-04,36.9681
flight_01,ransac,1.17401379e-04,39.1590
flight_01,ransac,1.22598008e-04,41.3799
flight_01,ransac,1.27794636e-04,43.6258
flight_01,ransac,1.32991264e-04,45.8925
flight_01,ransac,1.38187893e-04,48.1766
flight_01,ransac,1.43384521e-04,50.4752
flight_01,ransac,1.48581149e-04,52.7859
flight_01,ransac,1.53777778e-04,55.1066
flight_22,plain,3.07555556e-06,60.9043
flight_22,plain,8.27218391e-06,56.4997
flight_22,plain,1.34688123e-05,52.2222
flight_22,plain,1.86654406e-05,48.0962
flight_22,plain,2.38620690e-05,44.1537
flight_22,plain,2.90586973e-05,40.4375
