session,flight,threshold_mm,seed,status,wall_ms,error_mm,n_inliers,n_fit_points,accepted_frames,fit_window_duration_ms
2026_07_15_gym,flight_11,50.0,0,ok,96.9586,549.2413,14,26,43;44;45;46;47;48;50;51;59;62;63;65;66;68,416.3030
2026_07_15_gym,flight_11,50.0,1,ok,96.1485,589.7248,12,26,43;44;45;47;48;49;59;62;63;65;66;68,416.3030
2026_07_15_gym,flight_11,50.0,2,ok,90.3947,747.5150,10,26,43;44;45;47;48;50;51;59;60;62,416.3030
2026_07_15_gym,flight_11,50.0,3,ok,106.8394,348.1688,9,26,43;44;45;47;48;49;53;64;68,416.3030
2026_07_15_gym,flight_11,50.0,4,ok,129.8284,479.0186,11,26,45;46;47;50;51;59;62;63;65;66;68,416.3030
2026_07_15_gym,flight_11,50.0,5,ok,99.7204,553.4743,13,26,43;44;45;46;47;48;50;59;62;63;65;66;68,416.3030
2026_07_15_gym,flight_11,50.0,6,ok,100.9327,630.1039,14,26,43;44;45;46;47;48;50;51;59;60;62;63;65;66,416.3030
2026_07_15_gym,flight_11,50.0,7,ok,98.3091,676.8382,10,26,43;44;47;48;49;59;62;63;65;66,416.3030
2026_07_15_gym,flight_11,50.0,8,ok,103.3429,516.2192,13,26,44;45;46;47;48;50;51;59;62;63;65;66;68,416.3030
2026_07_15_gym,flight_11,50.0,9,ok,113.8628,520.4605,10,26,45;46;50;51;59;60;62;63;65;66,416.3030
2026_07_15_gym,flight_11,50.0,10,ok,116.9233,565.5052,14,26,43;44;45;46;47;48;49;50;59;62;63;65;66;68,416.3030
2026_07_15_gym,flight_11,50.0,11,ok,125.9569,850.3121,11,26,43;44;45;46;47;48;50;51;56;59;60,416.3030
2026_07_15_gym,flight_11,50.0,12,ok,119.8471,383.8757,11,26,44;45;46;47;48;50;51;59;63;64;68,416.3030
2026_07_15_gym,flight_11,50.0,13,ok,120.5274,616.9432,11,26,43;44;47;48;49;59;62;63;65;66;68,416.3030
2026_07_15_gym,flight_11,50.0,14,ok,122.1634,462.4406,11,26,45;46;50;51;59;60;62;63;65;66;68,416.3030
2026_07_15_gym,flight_11,50.0,15,ok,118.1381,589.7248,12,26,43;44;45;47;48;49;59;62;63;65;66;68,416.3030
2026_07_15_gym,flight_11,50.0,16,ok,114.7284,595.3665,13,26,44;45;46;47;48;50;51;59;60;62;63;65;66,416.3030
2026_07_15_gym,flight_11,50.0,17,ok,108.2644,516.2192,13,26,44;45;46;47;48;50;51;59;62;63;65;66;68,416.3030
2026_07_15_gym,flight_11,50.0,18,ok,110.8864,348.1688,9,26,43;44;45;47;48;49;53;64;68,416.3030
2026_07_15_gym,flight_11,50.0,19,ok,103.4645,499.0032,12,26,44;45;46;47;50;51;59;62;63;65;66;68,416.3030
2026_07_15_gym,flight_11,50.0,20,ok,94.5922,665.7282,11,26,43;44;47;48;49;50;59;62;63;65;66,416.3030
2026_07_15_gym,flight_11,50.0,21,ok,99.3311,516.2192,13,26,44;45;46;47;48;50;51;59;62;63;65;66;68,416.3030
2026_07_15_gym,flight_11,50.0,22,ok,100.1654,575.8228,12,26,44;45;46;47;50;51;59;60;62;63;65;66,416.3030
2026_07_15_gym,flight_11,50.0,23,ok,103.1614,660.3729,13,26,43;44;45;46;47;48;50;51;59;60;62;63;65,416.3030
2026_07_15_gym,flight_11,50.0,24,ok,105.7955,144.8978,10,26,43;44;45;47;48;49;53;61;64;67,416.3030
2026_07_15_gym,flight_11,75.0,0,ok,106.4570,583.9115,17,26,43;44;45;46;47;48;49;50;51;53;59;60;62;63;65;66;68,416.3030
2026_07_15_gym,flight_11,75.0,1,ok,103.9456,367.9154,18,26,43;44;45;46;47;48;49;50;51;53;59;61;62;63;64;66;67;68,416.3030
2026_07_15_gym,flight_11,75.0,2,ok,95.4676,508.0232,17,26,43;44;45;46;47;48;49;50;51;53;59;62;63;64;65;66;68,416.3030
2026_07_15_gym,flight_11,75.0,3,ok,102.8585,375.3682,17,26,43;44;45;46;47;48;49;50;53;59;61;62;63;64;66;67;68,416.3030
2026_07_15_gym,flight_11,75.0,4,ok,104.0959,403.3369,17,26,43;44;45;46;47;48;49;50;51;53;59;62;63;64;66;67;68,416.3030
2026_07_15_gym,flight_11,75.0,5,ok,98.6434,583.9115,17,26,43;44;45;46;47;48;49;50;51;53;59;60;62;63;65;66;68,416.3030
2026_07_15_gym,flight_11,75.0,6,ok,97.0475,596.6777,18,26,43;44;45;46;47;48;49;50;51;53;56;59;60;62;63;65;66;68,416.3030
2026_07_15_gym,flight_11,75.0,7,ok,92.7820,583.9115,17,26,43;44;45;46;47;48;49;50;51;53;59;60;62;63;65;66;68,416.3030
2026_07_15_gym,flight_11,75.0,8,ok,106.6459,583.9115,17,26,43;44;45;46;47;48;49;50;51;53;59;60;62;63;65;66;68,416.3030
2026_07_15_gym,flight_11,75.0,9,ok,107.3827,375.3682,17,26,43;44;45;46;47;48;49;50;53;59;61;62;63;64;66;67;68,416.3030
2026_07_15_gym,flight_11,75.0,10,ok,110.3627,508.0232,17,26,43;44;45;46;47;48;49;50;51;53;59;62;63;64;65;66;68,416.3030
2026_07_15_gym,flight_11,75.0,11,ok,103.7327,508.0232,17,26,43;44;45;46;47;48;49;50;51;53;59;62;63;64;65;66;68,416.3030
2026_07_15_gym,flight_11,75.0,12,ok,101.5989,483.3910,16,26,44;45;46;47;48;49;50;51;53;59;62;63;64;65;66;68,416.3030
2026_07_15_gym,flight_11,75.0,13,ok,97.1578,508.0232,17,26,43;44;45;46;47;48;49;50;51;53;59;62;63;64;65;66;68,416.3030
2026_07_15_gym,flight_11,75.0,14,ok,97.3994,497.6416,13,26,45;46;47;50;51;56;59;60;62;63;65;66;68,416.3030
2026_07_15_gym,flight_11,75.0,15,ok,120.6053,583.9115,17,26,43;44;45;46;47;48;49;50;51;53;59;60;62;63;65;66;68,416.3030
2026_07_15_gym,flight_11,75.0,16,ok,108.1394,596.6369,17,26,43;44;45;46;47;48;49;50;51;56;59;60;62;63;65;66;68,416.3030
2026_07_15_gym,flight_11,75.0,17,ok,101.2773,508.0232,17,26,43;44;45;46;47;48;49;50;51;53;59;62;63;64;65;66;68,416.3030
2026_07_15_gym,flight_11,75.0,18,ok,110.9850,302.0534,15,26,43;44;45;46;47;48;49;50;53;59;61;63;64;67;68,416.3030
2026_07_15_gym,flight_11,75.0,19,ok,108.7701,544.7069,15,26,44;45;46;47;48;50;51;56;59;60;62;63;65;66;68,416.3030
2026_07_15_gym,flight_11,75.0,20,ok,109.9969,639.8386,16,26,43;44;45;46;47;48;49;50;51;53;59;60;62;63;65;66,416.3030
