threshold_mm,session,flight,n_seeds,n_pairs,mean_jaccard
50.0,2026_07_21_gym,flight_121,16,120,0.6602
50.0,2026_07_21_gym,flight_122,16,120,0.4766
50.0,2026_07_21_gym,flight_38,11,55,0.7909
50.0,2026_07_21_gym,flight_45,16,120,0.5608
50.0,2026_07_21_gym,flight_46,2,1,0.4545
50.0,2026_07_21_gym,flight_22,25,300,0.6576
50.0,2026_07_21_gym,flight_125,20,190,0.4084
75.0,2026_07_21_gym,flight_121,25,300,0.6112
75.0,2026_07_21_gym,flight_122,25,300,0.5888
75.0,2026_07_21_gym,flight_38,24,276,0.6898
75.0,2026_07_21_gym,flight_45,25,300,0.6316
75.0,2026_07_21_gym,flight_46,24,276,0.6393
75.0,2026_07_21_gym,flight_22,25,300,0.7757
75.0,2026_07_21_gym,flight_125,25,300,0.5332
100.0,2026_07_21_gym,flight_121,25,300,0.6867
100.0,2026_07_21_gym,flight_122,25,300,0.6335
100.0,2026_07_21_gym,flight_38,25,300,0.6930
100.0,2026_07_21_gym,flight_45,25,300,0.7131
100.0,2026_07_21_gym,flight_46,25,300,0.7682
100.0,2026_07_21_gym,flight_22,25,300,0.8365
100.0,2026_07_21_gym,flight_125,25,300,0.6698
125.0,2026_07_21_gym,flight_121,25,300,0.7801
125.0,2026_07_21_gym,flight_122,25,300,0.7065
125.0,2026_07_21_gym,flight_38,25,300,0.7242
125.0,2026_07_21_gym,flight_45,25,300,0.8260
125.0,2026_07_21_gym,flight_46,25,300,0.8476
125.0,2026_07_21_gym,flight_22,25,300,0.9127
125.0,2026_07_21_gym,flight_125,25,300,0.8057
150.0,2026_07_21_gym,flight_121,25,300,0.8523
150.0,2026_07_21_gym,flight_122,25,300,0.7979
150.0,2026_07_21_gym,flight_38,25,300,0.7998
150.0,2026_07_21_gym,flight_45,25,300,0.8896
150.0,2026_07_21_gym,flight_46,25,300,0.9144
150.0,2026_07_21_gym,flight_22,25,300,0.9697
150.0,2026_07_21_gym,flight_125,25,300,0.9205
