session,flight,n_iterations,seed,status,wall_ms,error_mm,n_inliers,n_fit_points,rejected_frac,fit_window_duration_ms
2026_07_15_gym,flight_11,3,0,ok,102.9649,583.9115,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,3,1,ok,113.4945,367.9154,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,3,2,ok,100.3842,508.0232,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,3,3,ok,127.9267,375.3682,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,3,4,ok,123.2727,403.3369,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,3,5,ok,104.9254,583.9115,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,3,6,ok,99.7162,596.6777,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,3,7,ok,90.8919,583.9115,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,3,8,ok,103.7813,583.9115,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,3,9,ok,106.0665,375.3682,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,3,10,ok,110.0322,508.0232,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,3,11,ok,106.6845,508.0232,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,3,12,ok,97.5570,483.3910,16,26,0.3846,416.3030
2026_07_15_gym,flight_11,3,13,ok,96.5927,508.0232,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,3,14,ok,101.8195,497.6416,13,26,0.5000,416.3030
2026_07_15_gym,flight_11,3,15,ok,111.1715,583.9115,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,3,16,ok,103.3448,596.6369,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,3,17,ok,104.8161,508.0232,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,3,18,ok,101.2743,302.0534,15,26,0.4231,416.3030
2026_07_15_gym,flight_11,3,19,ok,99.2488,544.7069,15,26,0.4231,416.3030
2026_07_15_gym,flight_11,3,20,ok,106.6830,639.8386,16,26,0.3846,416.3030
2026_07_15_gym,flight_11,3,21,ok,111.6335,531.7420,18,26,0.3077,416.3030
