n_iterations,session,flight,seed_std_mm,population_median_std_mm,threshold_mm
3,2026_07_15_gym,flight_12,169.37,40.77,167.13
3,2026_07_21_gym,flight_121,225.03,40.77,167.13
3,2026_07_21_gym,flight_122,247.58,40.77,167.13
3,2026_07_21_gym,flight_124,183.54,40.77,167.13
3,2026_07_21_gym,flight_38,258.76,40.77,167.13
3,2026_07_21_gym,flight_45,200.84,40.77,167.13
3,2026_07_21_gym,flight_42,174.86,40.77,167.13
3,2026_07_21_gym,flight_46,187.45,40.77,167.13
5,2026_07_15_gym,flight_12,169.12,32.17,147.72
5,2026_07_21_gym,flight_121,201.03,32.17,147.72
5,2026_07_21_gym,flight_122,274.14,32.17,147.72
5,2026_07_21_gym,flight_124,173.89,32.17,147.72
5,2026_07_21_gym,flight_38,250.51,32.17,147.72
5,2026_07_21_gym,flight_45,202.17,32.17,147.72
5,2026_07_21_gym,flight_42,166.21,32.17,147.72
5,2026_07_21_gym,flight_46,178.01,32.17,147.72
7,2026_07_15_gym,flight_12,168.55,27.95,124.79
7,2026_07_15_gym,flight_15,134.15,27.95,124.79
7,2026_07_15_gym,flight_49,137.30,27.95,124.79
7,2026_07_21_gym,flight_121,198.31,27.95,124.79
7,2026_07_21_gym,flight_122,271.76,27.95,124.79
7,2026_07_21_gym,flight_125,140.14,27.95,124.79
7,2026_07_21_gym,flight_22,131.58,27.95,124.79
7,2026_07_21_gym,flight_28,126.03,27.95,124.79
7,2026_07_21_gym,flight_45,213.95,27.95,124.79
7,2026_07_21_gym,flight_46,136.24,27.95,124.79
10,2026_07_15_gym,flight_15,128.73,22.39,98.72
10,2026_07_15_gym,flight_31,114.49,22.39,98.72
10,2026_07_15_gym,flight_49,137.26,22.39,98.72
10,2026_07_15_gym,flight_50,109.42,22.39,98.72
10,2026_07_21_gym,flight_106,110.47,22.39,98.72
10,2026_07_21_gym,flight_103,113.42,22.39,98.72
10,2026_07_21_gym,flight_121,192.43,22.39,98.72
10,2026_07_21_gym,flight_122,312.83,22.39,98.72
10,2026_07_21_gym,flight_125,146.51,22.39,98.72
10,2026_07_21_gym,flight_124,99.95,22.39,98.72
10,2026_07_21_gym,flight_22,121.68,22.39,98.72
10,2026_07_21_gym,flight_21,102.26,22.39,98.72
10,2026_07_21_gym,flight_28,132.24,22.39,98.72
10,2026_07_21_gym,flight_37,124.41,22.39,98.72
10,2026_07_21_gym,flight_39,107.26,22.39,98.72
10,2026_07_21_gym,flight_45,203.14,22.39,98.72
10,2026_07_21_gym,flight_42,109.66,22.39,98.72
10,2026_07_21_gym,flight_46,141.11,22.39,98.72
15,2026_07_15_gym,flight_15,138.69,21.22,91.16
15,2026_07_15_gym,flight_49,124.05,21.22,91.16
15,2026_07_15_gym,flight_50,98.37,21.22,91.16
15,2026_07_21_gym,flight_103,93.54,21.22,91.16
15,2026_07_21_gym,flight_121,179.30,21.22,91.16
15,2026_07_21_gym,flight_122,310.38,21.22,91.16
15,2026_07_21_gym,flight_22,107.89,21.22,91.16
15,2026_07_21_gym,flight_28,138.72,21.22,91.16
15,2026_07_21_gym,flight_37,126.36,21.22,91.16
15,2026_07_21_gym,flight_38,201.93,21.22,91.16
15,2026_07_21_gym,flight_39,106.61,21.22,91.16
15,2026_07_21_gym,flight_45,198.66,21.22,91.16
15,2026_07_21_gym,flight_46,143.32,21.22,91.16
15,2026_07_21_gym,flight_48,93.19,21.22,91.16
15,2026_07_21_gym,flight_56,95.92,21.22,91.16
25,2026_07_15_gym,flight_15,136.68,18.97,85.77
25,2026_07_15_gym,flight_49,124.50,18.97,85.77
25,2026_07_21_gym,flight_121,136.72,18.97,85.77
25,2026_07_21_gym,flight_122,312.88,18.97,85.77
25,2026_07_21_gym,flight_125,97.63,18.97,85.77
25,2026_07_21_gym,flight_22,101.33,18.97,85.77
25,2026_07_21_gym,flight_28,140.16,18.97,85.77
25,2026_07_21_gym,flight_37,128.07,18.97,85.77
25,2026_07_21_gym,flight_41,376.30,18.97,85.77
25,2026_07_21_gym,flight_38,202.36,18.97,85.77
25,2026_07_21_gym,flight_45,198.63,18.97,85.77
25,2026_07_21_gym,flight_46,95.88,18.97,85.77
25,2026_07_21_gym,flight_48,111.05,18.97,85.77
25,2026_07_21_gym,flight_56,178.54,18.97,85.77
